"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;17;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Adept";"Gateway";24;2
"Building";"Pylon";NA;25;0
"Building";"Stargate";NA;23;0
"Building";"Nexus";NA;23;0
"Building";"Forge";NA;26;0
"Unit";"Sentry";"Gateway";28;2
"Building";"Assimilator";NA;36;0
"Building";"Pylon";NA;38;0
"Unit";"Oracle";"Stargate";37;3
"Building";"Pylon";NA;47;0
"Unit";"Phoenix";"Stargate";47;2
"Building";"TwilightCouncil";NA;47;0
"Building";"FleetBeacon";NA;47;0
"Building";"Assimilator";NA;53;0
"Building";"Nexus";NA;42;0
"Building";"PhotonCannon";NA;53;0
"Building";"PhotonCannon";NA;53;0
"Building";"PhotonCannon";NA;53;0
"Building";"PhotonCannon";NA;53;0
"Building";"ShieldBattery";NA;53;0
"Building";"PhotonCannon";NA;53;0
"Building";"ShieldBattery";NA;53;0
"Building";"TemplarArchive";NA;53;0
"Unit";"Mothership";"Mothership Core";53;6
"Building";"HighTemplar";NA;57;0
"Building";"Gateway";NA;53;0
"Building";"Gateway";NA;54;0
"Building";"PhotonCannon";NA;57;0
"Building";"Gateway";NA;55;0
"Building";"Gateway";NA;55;0
"Building";"Pylon";NA;57;0
"Building";"PhotonCannon";NA;57;0
"Building";"Gateway";NA;55;0
"Building";"PhotonCannon";NA;57;0
"Building";"ShieldBattery";NA;57;0
"Building";"OracleStasisTrap";NA;63;0
"Building";"HighTemplar";NA;63;0
"Building";"HighTemplar";NA;63;0
"Unit";"Tempest";"Stargate";63;4
"Building";"ShieldBattery";NA;63;0
"Building";"HighTemplar";NA;70;0
"Building";"HighTemplar";NA;70;0
"Building";"Assimilator";NA;63;0
"Building";"PhotonCannon";NA;63;0
"Building";"Assimilator";NA;63;0
"Building";"PhotonCannon";NA;63;0
"Building";"PhotonCannon";NA;63;0
"Building";"PhotonCannon";NA;63;0
"Building";"Pylon";NA;70;0
"Building";"Pylon";NA;70;0
"Unit";"Phoenix";"Stargate";70;2
"Building";"Pylon";NA;70;0
"Building";"HighTemplar";NA;75;0
"Building";"Pylon";NA;75;0
"Building";"Pylon";NA;75;0
"Building";"PhotonCannon";NA;75;0
"Unit";"Phoenix";"Stargate";75;2
"Building";"ShieldBattery";NA;75;0
"Building";"PhotonCannon";NA;75;0
"Unit";"Zealot";"Gateway";83;2
"Unit";"Zealot";"Gateway";83;2
"Building";"Pylon";NA;83;0
"Building";"RoboticsFacility";NA;78;0
"Building";"Pylon";NA;83;0
"Building";"HighTemplar";NA;90;0
"Building";"HighTemplar";NA;90;0
"Building";"PhotonCannon";NA;83;0
"Building";"PhotonCannon";NA;83;0
"Building";"Stargate";NA;83;0
"Building";"Stargate";NA;83;0
"Upgrade";"Charge";"TwilightCouncil";78;0
"Building";"Stargate";NA;83;0
"Upgrade";"ProtossAirWeaponsLevel1";"CyberneticsCore";78;0
"Unit";"Zealot";"Gateway";90;2
"Unit";"Zealot";"Gateway";90;2
"Unit";"Zealot";"Gateway";90;2
"Unit";"Zealot";"Gateway";90;2
"Building";"Pylon";NA;90;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";78;0
"Building";"Assimilator";NA;90;0
"Unit";"Observer";"Robotics Facility";90;1
"Building";"Assimilator";NA;90;0
"Building";"Pylon";NA;99;0
"Unit";"Observer";"Robotics Facility";99;1
"Building";"PhotonCannon";NA;99;0
"Building";"PhotonCannon";NA;99;0
"Building";"PhotonCannon";NA;99;0
"Building";"Nexus";NA;90;0
"Building";"PhotonCannon";NA;99;0
"Building";"ShieldBattery";NA;99;0
"Building";"ShieldBattery";NA;99;0
"Building";"Pylon";NA;100;0
"Building";"Pylon";NA;100;0
"Building";"Pylon";NA;100;0
"Building";"Pylon";NA;100;0
"Unit";"Phoenix";"Stargate";100;2
"Unit";"Observer";"Robotics Facility";100;1
"Unit";"Carrier";"Stargate";100;6
"Unit";"Carrier";"Stargate";100;6
"Upgrade";"ProtossAirWeaponsLevel2";"CyberneticsCore";99;0
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";99;0
"Unit";"Carrier";"Stargate";100;6
"Unit";"Carrier";"Stargate";100;6
"Building";"Gateway";NA;109;0
"Building";"Gateway";NA;109;0
"Building";"Gateway";NA;115;0
"Building";"Gateway";NA;115;0
"Building";"Gateway";NA;115;0
"Building";"Stargate";NA;115;0
"Building";"Stargate";NA;115;0
"Unit";"Phoenix";"Stargate";127;2
"Unit";"Zealot";"Gateway";129;2
"Unit";"Carrier";"Stargate";115;6
"Unit";"Carrier";"Stargate";115;6
"Unit";"Carrier";"Stargate";121;6
"Unit";"Carrier";"Stargate";121;6
"Building";"DarkShrine";NA;127;0
"Building";"Pylon";NA;155;0
"Building";"DarkTemplar";NA;155;0
"Building";"DarkTemplar";NA;155;0
"Building";"DarkTemplar";NA;155;0
"Building";"DarkTemplar";NA;155;0
"Building";"DarkTemplar";NA;155;0
"Building";"DarkTemplar";NA;155;0
"Building";"DarkTemplar";NA;155;0
