"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;19;0
"Building";"Pylon";NA;21;0
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";23;2
"Unit";"Zealot";"Gateway";28;2
"Building";"Stargate";NA;26;0
"Building";"Pylon";NA;38;0
"Unit";"Oracle";"Stargate";37;3
"Building";"Gateway";NA;37;0
"Building";"Gateway";NA;37;0
"Building";"Pylon";NA;43;0
"Building";"Pylon";NA;43;0
"Unit";"Adept";"Gateway";49;2
"Unit";"Adept";"Gateway";49;2
"Unit";"Adept";"Gateway";49;2
"Building";"OracleStasisTrap";NA;57;0
"Unit";"Oracle";"Stargate";46;3
"Building";"Pylon";NA;56;0
"Unit";"Adept";"Gateway";61;2
"Unit";"Adept";"Gateway";61;2
"Unit";"Adept";"Gateway";61;2
"Building";"Assimilator";NA;56;0
"Building";"Assimilator";NA;58;0
"Building";"Nexus";NA;41;0
"Building";"ShieldBattery";NA;73;0
"Building";"Forge";NA;72;0
"Building";"TwilightCouncil";NA;71;0
"Unit";"Zealot";"Gateway";82;2
"Unit";"Zealot";"Gateway";82;2
"Unit";"Zealot";"Gateway";84;2
"Building";"Assimilator";NA;81;0
"Building";"Assimilator";NA;81;0
"Building";"RoboticsFacility";NA;78;0
"Building";"TemplarArchive";NA;81;0
"Building";"Gateway";NA;79;0
"Building";"Gateway";NA;79;0
"Unit";"Zealot";"Gateway";94;2
"Unit";"Zealot";"Gateway";94;2
"Unit";"Zealot";"Gateway";94;2
"Building";"HighTemplar";NA;101;0
"Building";"Pylon";NA;101;0
"Building";"Pylon";NA;101;0
"Building";"Gateway";NA;91;0
"Building";"Gateway";NA;91;0
"Building";"HighTemplar";NA;101;0
"Building";"HighTemplar";NA;101;0
"Building";"HighTemplar";NA;101;0
"Building";"HighTemplar";NA;101;0
