"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;15;0
"Unit";"Zealot";"Gateway";19;2
"Building";"CyberneticsCore";NA;19;0
"Building";"Pylon";NA;19;0
"Building";"Assimilator";NA;21;0
"Unit";"Adept";"Gateway";21;2
"Building";"Nexus";NA;18;0
"Building";"Gateway";NA;22;0
"Building";"ShieldBattery";NA;26;0
"Unit";"Sentry";"Gateway";27;2
"Building";"Stargate";NA;26;0
"Building";"Pylon";NA;29;0
"Unit";"Adept";"Gateway";28;2
"Building";"Pylon";NA;36;0
"Building";"Assimilator";NA;38;0
"Building";"Assimilator";NA;38;0
"Unit";"Sentry";"Gateway";45;2
"Unit";"Adept";"Gateway";48;2
"Unit";"Oracle";"Stargate";40;3
"Building";"RoboticsFacility";NA;42;0
"Unit";"Sentry";"Gateway";54;2
"Building";"Pylon";NA;56;0
"Unit";"Adept";"Gateway";57;2
"Building";"Pylon";NA;57;0
"Building";"TwilightCouncil";NA;56;0
"Building";"Gateway";NA;56;0
"Building";"Pylon";NA;60;0
"Building";"Gateway";NA;56;0
"Building";"Gateway";NA;60;0
