"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;15;0
"Unit";"Zealot";"Gateway";19;2
"Unit";"Zealot";"Gateway";21;2
"Building";"CyberneticsCore";NA;19;0
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";24;2
"Building";"Pylon";NA;24;0
"Building";"Assimilator";NA;25;0
"Unit";"Adept";"Gateway";25;2
"Building";"TwilightCouncil";NA;33;0
"Unit";"Adept";"Gateway";36;2
"Unit";"Adept";"Gateway";40;2
"Building";"ShieldBattery";NA;41;0
"Building";"ShieldBattery";NA;41;0
"Building";"Pylon";NA;43;0
"Unit";"Sentry";"Gateway";48;2
"Building";"RoboticsFacility";NA;41;0
"Building";"Gateway";NA;47;0
"Unit";"Stalker";"Gateway";56;2
"Building";"Gateway";NA;47;0
"Building";"DarkShrine";NA;41;0
"Building";"Gateway";NA;47;0
"Unit";"Immortal";"Robotics Facility";48;4
"Building";"DarkTemplar";NA;64;0
"Unit";"Stalker";"Gateway";68;2
"Unit";"Zealot";"Gateway";70;2
"Unit";"Zealot";"Gateway";72;2
"Unit";"Zealot";"Gateway";72;2
"Unit";"Zealot";"Gateway";77;2
"Unit";"Zealot";"Gateway";77;2
"Unit";"Zealot";"Gateway";81;2
"Unit";"Zealot";"Gateway";84;2
"Unit";"Zealot";"Gateway";84;2
"Unit";"Zealot";"Gateway";88;2
"Unit";"Zealot";"Gateway";90;2
"Unit";"Zealot";"Gateway";90;2
"Unit";"Zealot";"Gateway";90;2
