"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;15;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Adept";"Gateway";22;2
"Building";"Nexus";NA;20;0
"Unit";"Adept";"Gateway";27;2
"Building";"Stargate";NA;24;0
"Unit";"Oracle";"Stargate";31;3
"Building";"Pylon";NA;37;0
"Building";"Gateway";NA;35;0
"Unit";"Phoenix";"Stargate";42;2
"Building";"Assimilator";NA;45;0
"Building";"Pylon";NA;46;0
"Building";"Assimilator";NA;46;0
"Building";"RoboticsFacility";NA;42;0
"Building";"TwilightCouncil";NA;44;0
"Building";"Pylon";NA;55;0
"Building";"Pylon";NA;57;0
"Building";"TemplarArchive";NA;54;0
"Building";"Gateway";NA;52;0
"Building";"Gateway";NA;52;0
"Building";"HighTemplar";NA;61;0
"Building";"HighTemplar";NA;61;0
"Building";"HighTemplar";NA;61;0
"Building";"HighTemplar";NA;61;0
"Building";"Pylon";NA;59;0
"Unit";"Archon";"High Templar";61;0
"Unit";"Archon";"High Templar";61;0
"Building";"Pylon";NA;63;0
"Building";"Nexus";NA;56;0
"Unit";"Zealot";"Gateway";65;2
"Building";"Forge";NA;61;0
"Unit";"Zealot";"Gateway";65;2
"Unit";"Zealot";"Gateway";65;2
"Unit";"Zealot";"Gateway";72;2
"Unit";"Zealot";"Gateway";76;2
"Building";"Gateway";NA;63;0
"Building";"Gateway";NA;63;0
"Building";"Pylon";NA;75;0
"Building";"Gateway";NA;63;0
"Building";"Gateway";NA;64;0
"Building";"RoboticsFacility";NA;64;0
"Unit";"Zealot";"Gateway";79;2
"Unit";"Zealot";"Gateway";79;2
"Unit";"Zealot";"Gateway";79;2
"Unit";"Zealot";"Gateway";79;2
"Building";"HighTemplar";NA;89;0
"Building";"HighTemplar";NA;89;0
"Building";"HighTemplar";NA;89;0
"Building";"HighTemplar";NA;89;0
"Building";"HighTemplar";NA;89;0
"Building";"HighTemplar";NA;90;0
"Unit";"Zealot";"Gateway";90;2
"Unit";"Archon";"High Templar";90;0
"Unit";"Archon";"High Templar";90;0
"Unit";"Archon";"High Templar";92;0
"Unit";"Zealot";"Gateway";94;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";96;2
"Unit";"Sentry";"Gateway";109;2
"Unit";"Sentry";"Gateway";109;2
"Building";"Pylon";NA;109;0
"Building";"Pylon";NA;109;0
"Building";"Pylon";NA;113;0
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";113;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Zealot";"Gateway";131;2
