"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;17
"Building";"Assimilator";NA;18
"Building";"Nexus";NA;20
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Adept";"Gateway";23
"Building";"Stargate";NA;26
"Unit";"Adept";"Gateway";27
"Unit";"Phoenix";"Stargate";33
"Unit";"Oracle";"Stargate";37
"Building";"Gateway";NA;40
"Building";"Gateway";NA;40
"Building";"Pylon";NA;42
"Building";"TwilightCouncil";NA;44
"Building";"Pylon";NA;45
"Building";"Pylon";NA;46
"Building";"Assimilator";NA;50
"Building";"Assimilator";NA;50
"Building";"Pylon";NA;52
"Building";"RoboticsFacility";NA;52
"Unit";"Adept";"Gateway";52
"Unit";"Adept";"Gateway";54
"Unit";"Adept";"Gateway";56
"Unit";"Adept";"Gateway";60
"Unit";"Adept";"Gateway";62
"Unit";"Adept";"Gateway";64
"Unit";"Immortal";"Robotics Facility";66
"Building";"Gateway";NA;70
"Building";"Gateway";NA;70
"Building";"Gateway";NA;70
"Building";"Pylon";NA;72
"Unit";"Sentry";"Gateway";72
"Unit";"Sentry";"Gateway";74
"Unit";"Sentry";"Gateway";76
"Building";"Nexus";NA;78
"Building";"OracleStasisTrap";NA;78
"Building";"Pylon";NA;78
"Building";"Forge";NA;78
"Unit";"Immortal";"Robotics Facility";78
"Upgrade";"Charge";"TwilightCouncil";84
"Unit";"Zealot";"Gateway";84
"Unit";"Zealot";"Gateway";86
"Unit";"Zealot";"Gateway";88
"Building";"OracleStasisTrap";NA;90
"Unit";"Immortal";"Robotics Facility";92
"Building";"TemplarArchive";NA;96
"Building";"Pylon";NA;96
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";97
"Building";"Gateway";NA;99
"Building";"Gateway";NA;100
"Building";"HighTemplar";NA;100
"Building";"HighTemplar";NA;103
"Unit";"Zealot";"Gateway";103
"Unit";"Zealot";"Gateway";105
"Unit";"Zealot";"Gateway";107
"Unit";"Immortal";"Robotics Facility";109
"Building";"ShieldBattery";NA;114
"Unit";"Zealot";"Gateway";114
"Unit";"Zealot";"Gateway";116
"Unit";"Zealot";"Gateway";118
"Unit";"Archon";"High Templar";120
"Unit";"Zealot";"Gateway";120
"Unit";"Zealot";"Gateway";122
"Unit";"Zealot";"Gateway";124
"Unit";"Zealot";"Gateway";126
"Unit";"Zealot";"Gateway";128
"Unit";"Zealot";"Gateway";130
"Building";"Pylon";NA;132
"Building";"HighTemplar";NA;134
"Building";"HighTemplar";NA;134
"Building";"HighTemplar";NA;134
"Building";"HighTemplar";NA;134
"Unit";"Zealot";"Gateway";137
"Unit";"Zealot";"Gateway";139
"Unit";"Zealot";"Gateway";141
"Building";"ShieldBattery";NA;143
"Unit";"Sentry";"Gateway";143
"Building";"Pylon";NA;148
"Unit";"Observer";"Robotics Facility";148
"Building";"Assimilator";NA;149
"Building";"Assimilator";NA;149
"Unit";"Zealot";"Gateway";149
"Unit";"Zealot";"Gateway";151
"Unit";"Zealot";"Gateway";153
"Unit";"Zealot";"Gateway";155
"Unit";"Zealot";"Gateway";157
"Building";"Pylon";NA;159
"Unit";"Zealot";"Gateway";159
"Unit";"Zealot";"Gateway";161
"Unit";"Zealot";"Gateway";163
"Building";"HighTemplar";NA;168
"Building";"HighTemplar";NA;168
"Unit";"Zealot";"Gateway";168
"Unit";"Zealot";"Gateway";170
"Unit";"Archon";"High Templar";172
"Unit";"Archon";"High Templar";172
"Unit";"Archon";"High Templar";172
"Unit";"Zealot";"Gateway";172
"Unit";"Zealot";"Gateway";174
"Unit";"Zealot";"Gateway";176
"Unit";"Zealot";"Gateway";178
"Upgrade";"SprayProtoss";NA;180
"Upgrade";"SprayProtoss";NA;180
"Upgrade";"WarpGateResearch";NA;180
"Upgrade";"SprayProtoss";NA;180
"Upgrade";"AdeptPiercingAttack";NA;180
"Upgrade";"SprayProtoss";NA;180
"Upgrade";"PsiStormTech";NA;180
"Upgrade";"ProtossGroundArmorsLevel1";NA;180
