"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"CyberneticsCore";NA;20;0
"Unit";"Adept";"Gateway";21;2
"Building";"Nexus";NA;19;0
"Unit";"Adept";"Gateway";23;2
"Building";"Stargate";NA;23;0
"Building";"ShieldBattery";NA;26;0
"Unit";"Oracle";"Stargate";31;3
"Unit";"Stalker";"Gateway";34;2
"Unit";"Oracle";"Stargate";34;3
"Building";"Assimilator";NA;41;0
"Building";"Pylon";NA;41;0
"Building";"Assimilator";NA;41;0
"Building";"Pylon";NA;52;0
"Building";"Pylon";NA;54;0
"Unit";"Oracle";"Stargate";54;3
"Building";"Stargate";NA;55;0
"Building";"Stargate";NA;55;0
"Building";"Nexus";NA;52;0
"Unit";"Oracle";"Stargate";57;3
"Unit";"Adept";"Gateway";66;2
"Building";"Pylon";NA;64;0
"Building";"Assimilator";NA;66;0
"Building";"ShieldBattery";NA;64;0
"Building";"Pylon";NA;69;0
"Building";"Assimilator";NA;66;0
"Unit";"Oracle";"Stargate";64;3
"Unit";"Oracle";"Stargate";66;3
"Unit";"Adept";"Gateway";78;2
"Unit";"Oracle";"Stargate";73;3
"Building";"Gateway";NA;73;0
"Unit";"Oracle";"Stargate";81;3
"Unit";"Oracle";"Stargate";83;3
"Building";"Pylon";NA;92;0
"Unit";"Oracle";"Stargate";89;3
"Building";"Pylon";NA;95;0
"Building";"Forge";NA;92;0
"Unit";"Oracle";"Stargate";95;3
"Building";"TwilightCouncil";NA;97;0
"Unit";"Adept";"Gateway";106;2
"Unit";"Adept";"Gateway";106;2
"Unit";"Oracle";"Stargate";103;3
"Unit";"Oracle";"Stargate";103;3
"Unit";"Oracle";"Stargate";103;3
"Unit";"Oracle";"Stargate";111;3
"Unit";"Oracle";"Stargate";111;3
"Unit";"Oracle";"Stargate";120;3
"Unit";"Zealot";"Gateway";134;2
"Unit";"Zealot";"Gateway";134;2
"Building";"Pylon";NA;134;0
"Unit";"Oracle";"Stargate";126;3
"Unit";"Oracle";"Stargate";126;3
"Building";"Gateway";NA;126;0
"Building";"Pylon";NA;144;0
"Building";"Gateway";NA;126;0
"Building";"Gateway";NA;126;0
"Building";"Pylon";NA;144;0
"Building";"Gateway";NA;126;0
"Building";"Gateway";NA;126;0
"Building";"Gateway";NA;129;0
"Building";"Gateway";NA;132;0
"Building";"Pylon";NA;153;0
"Unit";"Oracle";"Stargate";150;3
"Unit";"Oracle";"Stargate";150;3
"Upgrade";"Charge";"TwilightCouncil";132;0
"Unit";"Oracle";"Stargate";153;3
