"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;15;0
"Building";"Assimilator";NA;20;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"Nexus";NA;19;0
"Unit";"Stalker";"Gateway";22;2
"Building";"TwilightCouncil";NA;24;0
"Building";"ShieldBattery";NA;34;0
"Building";"RoboticsFacility";NA;32;0
"Building";"Gateway";NA;33;0
"Building";"Gateway";NA;33;0
"Building";"Gateway";NA;34;0
"Unit";"Zealot";"Gateway";34;2
"Unit";"Zealot";"Gateway";34;2
"Unit";"Zealot";"Gateway";34;2
"Building";"Pylon";NA;34;0
"Building";"Gateway";NA;34;0
"Building";"Gateway";NA;34;0
"Unit";"Zealot";"Gateway";40;2
"Building";"Pylon";NA;34;0
"Building";"Gateway";NA;34;0
"Upgrade";"Charge";"TwilightCouncil";34;0
"Building";"Pylon";NA;42;0
"Building";"Pylon";NA;42;0
"Unit";"Zealot";"Gateway";42;2
"Unit";"Zealot";"Gateway";42;2
"Unit";"Zealot";"Gateway";42;2
"Unit";"Zealot";"Gateway";42;2
"Unit";"Zealot";"Gateway";42;2
"Unit";"Zealot";"Gateway";42;2
"Unit";"Zealot";"Gateway";42;2
"Unit";"Zealot";"Gateway";56;2
"Unit";"Zealot";"Gateway";56;2
"Unit";"Zealot";"Gateway";56;2
"Unit";"Zealot";"Gateway";56;2
"Unit";"Zealot";"Gateway";56;2
"Unit";"Zealot";"Gateway";56;2
"Unit";"Zealot";"Gateway";56;2
"Unit";"Zealot";"Gateway";70;2
"Unit";"Zealot";"Gateway";70;2
