"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;16;0
"Building";"Gateway";NA;18;0
"Building";"CyberneticsCore";NA;20;0
"Building";"Pylon";NA;21;0
"Building";"Nexus";NA;21;0
"Unit";"Adept";"Gateway";21;2
"Unit";"Adept";"Gateway";23;2
"Building";"Assimilator";NA;26;0
"Building";"Pylon";NA;27;0
"Unit";"Stalker";"Gateway";28;2
"Unit";"Adept";"Gateway";31;2
"Building";"TwilightCouncil";NA;34;0
"Unit";"Adept";"Gateway";36;2
"Building";"Gateway";NA;42;0
"Unit";"Adept";"Gateway";45;2
"Unit";"Adept";"Gateway";47;2
"Building";"Assimilator";NA;51;0
"Building";"Assimilator";NA;51;0
"Building";"Pylon";NA;52;0
"Unit";"Sentry";"Gateway";52;2
"Building";"Pylon";NA;54;0
"Unit";"Sentry";"Gateway";54;2
"Building";"Gateway";NA;57;0
"Building";"Gateway";NA;57;0
"Unit";"Sentry";"Gateway";57;2
"Unit";"Sentry";"Gateway";59;2
"Building";"RoboticsFacility";NA;63;0
"Building";"Gateway";NA;63;0
"Building";"Gateway";NA;64;0
"Building";"Gateway";NA;65;0
"Building";"Pylon";NA;65;0
"Unit";"Sentry";"Gateway";67;2
"Unit";"Sentry";"Gateway";69;2
"Unit";"Sentry";"Gateway";71;2
"Building";"Pylon";NA;73;0
"Building";"Pylon";NA;73;0
"Building";"Pylon";NA;73;0
"Building";"Pylon";NA;73;0
"Building";"Pylon";NA;73;0
"Unit";"Adept";"Gateway";73;2
"Unit";"Adept";"Gateway";75;2
"Unit";"Adept";"Gateway";77;2
"Unit";"Adept";"Gateway";79;2
"Unit";"Sentry";"Gateway";81;2
"Building";"Pylon";NA;83;0
"Unit";"Sentry";"Gateway";83;2
"Unit";"Sentry";"Gateway";85;2
"Unit";"Adept";"Gateway";87;2
"Unit";"Adept";"Gateway";89;2
"Unit";"Adept";"Gateway";91;2
"Unit";"Adept";"Gateway";93;2
"Unit";"Sentry";"Gateway";95;2
"Unit";"Adept";"Gateway";97;2
"Unit";"Stalker";"Gateway";99;2
"Unit";"Stalker";"Gateway";101;2
"Unit";"Stalker";"Gateway";103;2
"Unit";"Stalker";"Gateway";105;2
"Unit";"Stalker";"Gateway";107;2
"Unit";"Adept";"Gateway";109;2
"Unit";"Adept";"Gateway";111;2
"Unit";"Adept";"Gateway";113;2
"Unit";"Adept";"Gateway";115;2
"Unit";"Adept";"Gateway";117;2
"Unit";"Adept";"Gateway";119;2
"Unit";"Adept";"Gateway";121;2
"Unit";"Stalker";"Gateway";123;2
"Unit";"Adept";"Gateway";125;2
"Unit";"Adept";"Gateway";127;2
"Unit";"Adept";"Gateway";129;2
"Unit";"Adept";"Gateway";131;2
"Unit";"Adept";"Gateway";133;2
"Unit";"Adept";"Gateway";135;2
"Unit";"Stalker";"Gateway";137;2
"Unit";"Stalker";"Gateway";139;2
"Unit";"Adept";"Gateway";141;2
"Unit";"Adept";"Gateway";143;2
"Unit";"Adept";"Gateway";145;2
"Unit";"Adept";"Gateway";147;2
"Unit";"Adept";"Gateway";149;2
"Unit";"Adept";"Gateway";151;2
"Unit";"Adept";"Gateway";153;2
"Unit";"Stalker";"Gateway";155;2
"Unit";"Adept";"Gateway";157;2
"Unit";"Adept";"Gateway";159;2
"Unit";"Adept";"Gateway";161;2
"Unit";"Adept";"Gateway";163;2
"Unit";"Adept";"Gateway";165;2
"Unit";"Adept";"Gateway";167;2
"Unit";"Stalker";"Gateway";169;2
"Unit";"Stalker";"Gateway";171;2
"Unit";"Immortal";"Robotics Facility";173;4
"Unit";"Sentry";"Gateway";177;2
"Unit";"Sentry";"Gateway";179;2
"Unit";"Sentry";"Gateway";181;2
"Unit";"Sentry";"Gateway";183;2
"Unit";"Adept";"Gateway";185;2
"Unit";"Adept";"Gateway";187;2
"Unit";"Adept";"Gateway";189;2
"Building";"DarkShrine";NA;191;0
"Unit";"Adept";"Gateway";191;2
"Unit";"Adept";"Gateway";193;2
"Unit";"Adept";"Gateway";195;2
"Unit";"Adept";"Gateway";197;2
"Unit";"Adept";"Gateway";199;2
"Unit";"Adept";"Gateway";201;2
"Unit";"Adept";"Gateway";203;2
"Unit";"Adept";"Gateway";205;2
"Unit";"Immortal";"Robotics Facility";207;4
"Building";"Nexus";NA;211;0
"Unit";"Sentry";"Gateway";211;2
"Unit";"Sentry";"Gateway";213;2
"Building";"Pylon";NA;215;0
"Unit";"Sentry";"Gateway";215;2
"Unit";"Stalker";"Gateway";217;2
"Unit";"Adept";"Gateway";219;2
"Unit";"Stalker";"Gateway";221;2
"Unit";"Stalker";"Gateway";223;2
"Unit";"Stalker";"Gateway";225;2
"Unit";"Stalker";"Gateway";227;2
"Unit";"Stalker";"Gateway";229;2
"Unit";"Stalker";"Gateway";231;2
"Unit";"Stalker";"Gateway";233;2
"Unit";"Stalker";"Gateway";235;2
"Unit";"Stalker";"Gateway";237;2
"Unit";"Stalker";"Gateway";239;2
"Upgrade";"SprayProtoss";NA;241;0
"Upgrade";"SprayProtoss";NA;241;0
"Upgrade";"WarpGateResearch";NA;241;0
"Upgrade";"AdeptPiercingAttack";NA;241;0
"Upgrade";"SprayProtoss";NA;241;0
"Upgrade";"SprayProtoss";NA;241;0
