"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;19
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Adept";"Gateway";23
"Building";"TwilightCouncil";NA;27
"Unit";"Adept";"Gateway";28
"Unit";"Adept";"Gateway";34
"Building";"Gateway";NA;38
"Building";"Gateway";NA;38
"Building";"Pylon";NA;40
"Unit";"Adept";"Gateway";40
"Building";"Pylon";NA;44
"Building";"Pylon";NA;46
"Building";"Assimilator";NA;46
"Building";"Assimilator";NA;46
"Unit";"Adept";"Gateway";47
"Unit";"Adept";"Gateway";50
"Unit";"Adept";"Gateway";52
"Building";"Stargate";NA;55
"Building";"Stargate";NA;56
"Unit";"Adept";"Gateway";56
"Unit";"Adept";"Gateway";63
"Unit";"Adept";"Gateway";65
"Unit";"Adept";"Gateway";67
"Building";"Pylon";NA;69
"Building";"Pylon";NA;70
"Building";"Pylon";NA;71
"Unit";"Phoenix";"Stargate";73
"Unit";"Phoenix";"Stargate";75
"Unit";"Sentry";"Gateway";77
"Unit";"Adept";"Gateway";79
"Unit";"Adept";"Gateway";81
"Unit";"Phoenix";"Stargate";84
"Unit";"Phoenix";"Stargate";87
"Unit";"Sentry";"Gateway";89
"Unit";"Sentry";"Gateway";91
"Upgrade";"ProtossAirWeaponsLevel1";"CyberneticsCore";93
"Unit";"Adept";"Gateway";93
"Unit";"Phoenix";"Stargate";95
"Building";"Pylon";NA;97
"Building";"CyberneticsCore";NA;97
"Unit";"Phoenix";"Stargate";97
"Building";"Pylon";NA;99
"Building";"Pylon";NA;99
"Building";"Pylon";NA;99
"Building";"Pylon";NA;99
"Building";"Pylon";NA;99
"Building";"Pylon";NA;99
"Unit";"Phoenix";"Stargate";99
"Unit";"Adept";"Gateway";101
"Building";"Gateway";NA;103
"Unit";"Phoenix";"Stargate";103
"Building";"Gateway";NA;105
"Unit";"Adept";"Gateway";105
"Building";"Gateway";NA;107
"Unit";"Adept";"Gateway";107
"Unit";"Phoenix";"Stargate";109
"Unit";"Phoenix";"Stargate";111
"Unit";"Adept";"Gateway";113
"Unit";"Adept";"Gateway";115
"Unit";"Adept";"Gateway";117
"Unit";"Phoenix";"Stargate";119
"Building";"Pylon";NA;121
"Unit";"Adept";"Gateway";121
"Unit";"Sentry";"Gateway";123
"Unit";"Sentry";"Gateway";125
"Building";"Nexus";NA;127
"Building";"Pylon";NA;127
"Building";"Pylon";NA;127
"Unit";"Phoenix";"Stargate";127
"Unit";"Phoenix";"Stargate";129
"Unit";"Adept";"Gateway";132
"Unit";"Adept";"Gateway";134
"Unit";"Adept";"Gateway";136
"Building";"RoboticsFacility";NA;138
"Building";"Forge";NA;138
"Building";"Pylon";NA;138
"Unit";"Adept";"Gateway";138
"Unit";"Adept";"Gateway";140
"Unit";"Adept";"Gateway";142
"Unit";"Adept";"Gateway";144
"Unit";"Adept";"Gateway";146
"Unit";"Adept";"Gateway";148
"Unit";"Adept";"Gateway";150
"Unit";"Adept";"Gateway";152
"Unit";"Adept";"Gateway";154
"Unit";"Adept";"Gateway";156
"Unit";"Adept";"Gateway";158
"Unit";"Adept";"Gateway";160
"Unit";"Adept";"Gateway";162
"Unit";"Adept";"Gateway";164
"Upgrade";"SprayProtoss";NA;166
"Upgrade";"SprayProtoss";NA;166
"Upgrade";"WarpGateResearch";NA;166
"Upgrade";"AdeptPiercingAttack";NA;166
"Upgrade";"SprayProtoss";NA;166
"Upgrade";"SprayProtoss";NA;166
