"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;15
"Building";"Nexus";NA;17
"Building";"Gateway";NA;17
"Building";"Assimilator";NA;18
"Building";"Assimilator";NA;19
"Building";"Gateway";NA;21
"Building";"CyberneticsCore";NA;22
"Unit";"Adept";"Gateway";28
"Unit";"Adept";"Gateway";30
"Building";"Pylon";NA;33
"Unit";"Stalker";"Gateway";36
"Building";"Stargate";NA;38
"Building";"Pylon";NA;40
"Building";"Pylon";NA;42
"Unit";"Oracle";"Stargate";45
"Building";"TwilightCouncil";NA;48
"Unit";"Zealot";"Gateway";50
"Unit";"Zealot";"Gateway";52
"Building";"Assimilator";NA;56
"Building";"Assimilator";NA;56
"Building";"Pylon";NA;58
"Building";"RoboticsFacility";NA;58
"Upgrade";"Charge";"TwilightCouncil";59
"Building";"Pylon";NA;60
"Building";"Nexus";NA;62
"Building";"Gateway";NA;62
"Building";"Gateway";NA;62
"Building";"Gateway";NA;62
"Building";"Gateway";NA;62
"Building";"Gateway";NA;62
"Building";"Gateway";NA;62
"Building";"TemplarArchive";NA;62
"Unit";"Zealot";"Gateway";63
"Unit";"Zealot";"Gateway";65
"Building";"Pylon";NA;69
"Building";"Forge";NA;70
"Building";"Pylon";NA;70
"Unit";"Zealot";"Gateway";71
"Unit";"Zealot";"Gateway";74
"Building";"HighTemplar";NA;79
"Building";"HighTemplar";NA;79
"Building";"HighTemplar";NA;79
"Building";"HighTemplar";NA;79
"Unit";"Zealot";"Gateway";79
"Unit";"Zealot";"Gateway";81
"Unit";"Zealot";"Gateway";83
"Unit";"Zealot";"Gateway";85
"Unit";"Archon";"High Templar";89
"Unit";"Archon";"High Templar";89
"Building";"Pylon";NA;92
"Building";"HighTemplar";NA;92
"Building";"HighTemplar";NA;92
"Unit";"Zealot";"Gateway";92
"Unit";"Zealot";"Gateway";94
"Building";"Pylon";NA;97
"Unit";"Archon";"High Templar";97
"Unit";"Zealot";"Gateway";97
"Unit";"Zealot";"Gateway";99
"Unit";"Zealot";"Gateway";101
"Unit";"Zealot";"Gateway";103
"Unit";"Sentry";"Gateway";107
"Unit";"Sentry";"Gateway";109
"Building";"Assimilator";NA;113
"Unit";"Zealot";"Gateway";113
"Unit";"Zealot";"Gateway";115
"Unit";"Zealot";"Gateway";117
"Unit";"Zealot";"Gateway";119
"Unit";"Zealot";"Gateway";121
"Building";"Pylon";NA;123
"Building";"Assimilator";NA;123
"Unit";"Zealot";"Gateway";123
"Unit";"Zealot";"Gateway";125
"Unit";"Zealot";"Gateway";127
"Building";"Pylon";NA;130
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";130
"Unit";"Zealot";"Gateway";130
"Unit";"Zealot";"Gateway";132
"Unit";"Zealot";"Gateway";134
"Unit";"Zealot";"Gateway";136
"Unit";"Zealot";"Gateway";138
"Building";"HighTemplar";NA;140
"Building";"HighTemplar";NA;140
"Unit";"Immortal";"Robotics Facility";140
"Building";"HighTemplar";NA;144
"Unit";"Zealot";"Gateway";144
"Unit";"Zealot";"Gateway";146
"Unit";"Zealot";"Gateway";148
"Unit";"Zealot";"Gateway";150
"Unit";"Zealot";"Gateway";152
"Building";"Pylon";NA;154
"Building";"Pylon";NA;154
"Building";"HighTemplar";NA;156
"Building";"HighTemplar";NA;156
"Building";"PhotonCannon";NA;156
"Unit";"Immortal";"Robotics Facility";156
"Building";"RoboticsFacility";NA;160
"Unit";"Archon";"High Templar";160
"Building";"HighTemplar";NA;160
"Unit";"Zealot";"Gateway";160
"Unit";"Oracle";"Stargate";162
"Building";"Nexus";NA;165
"Building";"PhotonCannon";NA;165
"Building";"Pylon";NA;165
"Unit";"Zealot";"Gateway";165
"Unit";"Zealot";"Gateway";167
"Unit";"Immortal";"Robotics Facility";170
"Building";"HighTemplar";NA;174
"Building";"HighTemplar";NA;174
"Building";"Pylon";NA;174
"Building";"Assimilator";NA;177
"Building";"Assimilator";NA;177
"Unit";"Zealot";"Gateway";177
"Unit";"Zealot";"Gateway";179
"Unit";"Zealot";"Gateway";181
"Unit";"Zealot";"Gateway";184
"Unit";"Zealot";"Gateway";186
"Unit";"Immortal";"Robotics Facility";188
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";192
