"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;17;0
"Building";"Assimilator";NA;17;0
"Building";"Nexus";NA;20;0
"Building";"CyberneticsCore";NA;21;0
"Building";"Assimilator";NA;21;0
"Building";"Pylon";NA;22;0
"Unit";"Adept";"Gateway";23;2
"Building";"Stargate";NA;26;0
"Unit";"Adept";"Gateway";27;2
"Unit";"Oracle";"Stargate";33;3
"Building";"Pylon";NA;39;0
"Unit";"Phoenix";"Stargate";41;2
"Building";"Gateway";NA;45;0
"Building";"RoboticsFacility";NA;47;0
"Building";"Assimilator";NA;48;0
"Building";"Assimilator";NA;49;0
"Building";"TwilightCouncil";NA;51;0
"Building";"Pylon";NA;52;0
"Building";"Gateway";NA;53;0
"Building";"Gateway";NA;53;0
"Building";"Pylon";NA;54;0
"Building";"TemplarArchive";NA;55;0
"Building";"Nexus";NA;55;0
"Building";"Pylon";NA;55;0
"Building";"Forge";NA;57;0
"Building";"Pylon";NA;59;0
"Unit";"Observer";"Robotics Facility";59;1
"Building";"HighTemplar";NA;60;0
"Building";"HighTemplar";NA;61;0
"Building";"HighTemplar";NA;61;0
"Building";"HighTemplar";NA;62;0
"Unit";"Archon";"High Templar";62;0
"Unit";"Archon";"High Templar";62;0
"Building";"ShieldBattery";NA;62;0
"Building";"Gateway";NA;62;0
"Building";"Gateway";NA;62;0
"Unit";"Zealot";"Gateway";66;2
"Unit";"Zealot";"Gateway";68;2
"Unit";"Zealot";"Gateway";70;2
"Unit";"Zealot";"Gateway";72;2
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";74;0
"Building";"Assimilator";NA;81;0
"Building";"Assimilator";NA;81;0
"Upgrade";"Charge";"TwilightCouncil";81;0
"Building";"HighTemplar";NA;81;0
"Building";"HighTemplar";NA;81;0
"Unit";"Zealot";"Gateway";81;2
"Unit";"Zealot";"Gateway";83;2
"Building";"Gateway";NA;85;0
"Unit";"Archon";"High Templar";85;0
"Unit";"Zealot";"Gateway";85;2
"Building";"Gateway";NA;87;0
"Unit";"Zealot";"Gateway";88;2
"Building";"Pylon";NA;90;0
"Building";"OracleStasisTrap";NA;92;0
"Building";"HighTemplar";NA;92;0
"Building";"HighTemplar";NA;92;0
"Building";"HighTemplar";NA;92;0
"Building";"HighTemplar";NA;92;0
"Unit";"Immortal";"Robotics Facility";92;4
"Unit";"Zealot";"Gateway";96;2
"Unit";"Zealot";"Gateway";98;2
"Building";"PhotonCannon";NA;100;0
"Building";"PhotonCannon";NA;100;0
"Building";"Pylon";NA;100;0
"Building";"Nexus";NA;100;0
"Building";"Pylon";NA;100;0
"Building";"Pylon";NA;100;0
"Unit";"Zealot";"Gateway";100;2
"Unit";"Zealot";"Gateway";102;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Immortal";"Robotics Facility";106;4
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";110;0
"Building";"HighTemplar";NA;110;0
"Building";"PhotonCannon";NA;110;0
"Unit";"Zealot";"Gateway";110;2
"Unit";"Zealot";"Gateway";112;2
"Unit";"Zealot";"Gateway";114;2
"Unit";"Zealot";"Gateway";116;2
"Unit";"Zealot";"Gateway";118;2
"Building";"Pylon";NA;124;0
"Building";"ShieldBattery";NA;124;0
"Building";"Pylon";NA;124;0
"Building";"Assimilator";NA;124;0
"Building";"Pylon";NA;124;0
"Building";"HighTemplar";NA;124;0
"Building";"Assimilator";NA;124;0
"Building";"HighTemplar";NA;124;0
"Building";"Pylon";NA;124;0
"Building";"PhotonCannon";NA;124;0
"Building";"HighTemplar";NA;124;0
"Building";"HighTemplar";NA;124;0
"Unit";"Archon";"High Templar";124;0
"Unit";"Archon";"High Templar";124;0
"Building";"HighTemplar";NA;124;0
"Building";"HighTemplar";NA;124;0
"Unit";"Archon";"High Templar";124;0
"Building";"PhotonCannon";NA;126;0
"Building";"PhotonCannon";NA;126;0
"Building";"ShieldBattery";NA;126;0
"Unit";"Observer";"Robotics Facility";126;1
"Building";"PhotonCannon";NA;127;0
"Building";"Pylon";NA;127;0
"Unit";"Oracle";"Stargate";127;3
"Building";"Pylon";NA;130;0
"Building";"ShieldBattery";NA;130;0
"Building";"Pylon";NA;130;0
"Unit";"Immortal";"Robotics Facility";130;4
"Building";"Gateway";NA;134;0
"Building";"Gateway";NA;134;0
"Building";"HighTemplar";NA;134;0
"Building";"HighTemplar";NA;134;0
"Unit";"Zealot";"Gateway";134;2
"Unit";"Zealot";"Gateway";136;2
"Unit";"Zealot";"Gateway";138;2
"Unit";"Zealot";"Gateway";140;2
"Unit";"Zealot";"Gateway";142;2
"Unit";"Zealot";"Gateway";144;2
"Building";"PhotonCannon";NA;146;0
"Upgrade";"ProtossGroundWeaponsLevel3";"Forge";146;0
"Unit";"Immortal";"Robotics Facility";146;4
"Building";"FleetBeacon";NA;150;0
"Building";"PhotonCannon";NA;150;0
"Unit";"Zealot";"Gateway";150;2
"Unit";"Zealot";"Gateway";152;2
"Unit";"Zealot";"Gateway";154;2
"Unit";"Zealot";"Gateway";156;2
"Unit";"Zealot";"Gateway";158;2
"Unit";"Archon";"High Templar";160;0
"Unit";"Zealot";"Gateway";160;2
"Unit";"Zealot";"Gateway";162;2
"Unit";"Immortal";"Robotics Facility";164;4
"Unit";"Zealot";"Gateway";168;2
"Unit";"Zealot";"Gateway";170;2
"Unit";"Zealot";"Gateway";172;2
"Unit";"Zealot";"Gateway";174;2
"Unit";"Zealot";"Gateway";176;2
"Unit";"Zealot";"Gateway";178;2
"Building";"Pylon";NA;180;0
"Building";"HighTemplar";NA;180;0
"Building";"HighTemplar";NA;180;0
"Building";"Pylon";NA;180;0
"Building";"Gateway";NA;180;0
"Building";"Gateway";NA;180;0
"Building";"HighTemplar";NA;180;0
"Building";"HighTemplar";NA;180;0
"Building";"HighTemplar";NA;180;0
"Building";"Pylon";NA;180;0
"Unit";"Mothership";"Mothership Core";180;6
"Unit";"Observer";"Robotics Facility";186;1
"Building";"HighTemplar";NA;187;0
"Building";"HighTemplar";NA;187;0
"Building";"HighTemplar";NA;187;0
"Building";"HighTemplar";NA;187;0
"Building";"HighTemplar";NA;187;0
"Unit";"Archon";"High Templar";187;0
"Unit";"Archon";"High Templar";187;0
"Unit";"Archon";"High Templar";187;0
"Unit";"Zealot";"Gateway";187;2
"Unit";"Archon";"High Templar";189;0
"Building";"Stargate";NA;189;0
"Unit";"Observer";"Robotics Facility";189;1
"Unit";"Zealot";"Gateway";190;2
"Unit";"Zealot";"Gateway";192;2
"Unit";"Zealot";"Gateway";194;2
"Building";"Stargate";NA;196;0
"Unit";"Zealot";"Gateway";196;2
"Unit";"Zealot";"Gateway";198;2
"Building";"Stargate";NA;200;0
"Unit";"Zealot";"Gateway";200;2
"Unit";"Zealot";"Gateway";202;2
"Unit";"Zealot";"Gateway";204;2
"Unit";"Zealot";"Gateway";206;2
"Unit";"Zealot";"Gateway";208;2
"Unit";"Immortal";"Robotics Facility";210;4
"Upgrade";"ProtossShieldsLevel1";"Forge";214;0
"Unit";"Zealot";"Gateway";214;2
"Unit";"Zealot";"Gateway";216;2
"Unit";"Zealot";"Gateway";218;2
"Unit";"Tempest";"Stargate";220;4
"Building";"CyberneticsCore";NA;224;0
"Unit";"Tempest";"Stargate";224;4
"Unit";"Zealot";"Gateway";228;2
"Building";"HighTemplar";NA;230;0
"Building";"HighTemplar";NA;230;0
"Building";"HighTemplar";NA;230;0
"Building";"HighTemplar";NA;230;0
"Unit";"Zealot";"Gateway";230;2
"Unit";"Zealot";"Gateway";232;2
"Unit";"Zealot";"Gateway";234;2
"Unit";"Archon";"High Templar";236;0
"Unit";"Archon";"High Templar";236;0
"Unit";"Zealot";"Gateway";236;2
"Unit";"Zealot";"Gateway";238;2
"Unit";"Zealot";"Gateway";240;2
"Unit";"Zealot";"Gateway";242;2
"Building";"HighTemplar";NA;244;0
"Building";"HighTemplar";NA;244;0
"Building";"HighTemplar";NA;244;0
"Building";"HighTemplar";NA;244;0
"Building";"HighTemplar";NA;244;0
"Building";"HighTemplar";NA;244;0
"Unit";"Zealot";"Gateway";244;2
"Unit";"Zealot";"Gateway";246;2
"Unit";"Zealot";"Gateway";248;2
"Unit";"Zealot";"Gateway";250;2
"Unit";"Zealot";"Gateway";252;2
"Upgrade";"SprayProtoss";NA;254;0
"Upgrade";"SprayProtoss";NA;254;0
"Upgrade";"WarpGateResearch";NA;254;0
"Upgrade";"SprayProtoss";NA;254;0
"Upgrade";"SprayProtoss";NA;254;0
"Upgrade";"SprayProtoss";NA;254;0
"Upgrade";"PsiStormTech";NA;254;0
"Upgrade";"SprayProtoss";NA;254;0
"Upgrade";"PhoenixRangeUpgrade";NA;254;0
