"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Pylon";NA;13;0
"Building";"Pylon";NA;17;0
"Building";"Forge";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Gateway";NA;18;0
"Building";"CyberneticsCore";NA;21;0
"Building";"Pylon";NA;23;0
"Building";"Assimilator";NA;23;0
"Building";"Nexus";NA;21;0
"Building";"PhotonCannon";NA;23;0
"Building";"TwilightCouncil";NA;23;0
"Building";"Pylon";NA;25;0
"Unit";"Adept";"Gateway";24;2
"Unit";"Adept";"Gateway";30;2
"Unit";"Adept";"Gateway";35;2
"Building";"Gateway";NA;32;0
"Building";"Pylon";NA;40;0
"Building";"Assimilator";NA;40;0
"Unit";"Adept";"Gateway";40;2
"Building";"Gateway";NA;39;0
"Building";"Pylon";NA;45;0
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";33;0
"Unit";"Adept";"Gateway";47;2
"Unit";"Adept";"Gateway";47;2
"Unit";"Adept";"Gateway";53;2
"Unit";"Adept";"Gateway";53;2
"Building";"Stargate";NA;45;0
"Building";"Stargate";NA;47;0
"Building";"ShieldBattery";NA;51;0
"Unit";"Adept";"Gateway";59;2
"Unit";"Adept";"Gateway";59;2
"Unit";"Adept";"Gateway";59;2
"Building";"Nexus";NA;45;0
"Building";"Pylon";NA;59;0
"Building";"Gateway";NA;51;0
"Unit";"Adept";"Gateway";68;2
"Unit";"Adept";"Gateway";68;2
"Unit";"Phoenix";"Stargate";65;2
"Unit";"Phoenix";"Stargate";65;2
"Unit";"Adept";"Gateway";79;2
"Unit";"Adept";"Gateway";81;2
"Unit";"Adept";"Gateway";81;2
"Unit";"Phoenix";"Stargate";79;2
"Unit";"Phoenix";"Stargate";79;2
"Unit";"Adept";"Gateway";92;2
"Unit";"Adept";"Gateway";92;2
"Building";"Pylon";NA;87;0
"Building";"Pylon";NA;87;0
"Unit";"Phoenix";"Stargate";93;2
"Building";"Pylon";NA;99;0
"Building";"Pylon";NA;99;0
"Building";"Assimilator";NA;99;0
"Building";"Assimilator";NA;99;0
"Building";"Assimilator";NA;99;0
"Upgrade";"Charge";"TwilightCouncil";79;0
"Building";"ShieldBattery";NA;99;0
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Zealot";"Gateway";104;2
"Unit";"Phoenix";"Stargate";104;2
"Unit";"Phoenix";"Stargate";104;2
"Building";"TemplarArchive";NA;101;0
"Building";"HighTemplar";NA;120;0
"Unit";"Zealot";"Gateway";120;2
"Unit";"Zealot";"Gateway";120;2
"Unit";"Zealot";"Gateway";120;2
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";87;0
"Unit";"Phoenix";"Stargate";115;2
"Unit";"Zealot";"Gateway";128;2
"Unit";"Zealot";"Gateway";128;2
"Building";"HighTemplar";NA;130;0
"Building";"Pylon";NA;128;0
"Building";"Pylon";NA;128;0
"Unit";"Zealot";"Gateway";134;2
"Unit";"Zealot";"Gateway";134;2
"Building";"HighTemplar";NA;141;0
"Building";"HighTemplar";NA;141;0
"Unit";"Zealot";"Gateway";142;2
"Unit";"Zealot";"Gateway";142;2
"Unit";"Phoenix";"Stargate";138;2
"Unit";"Phoenix";"Stargate";138;2
"Building";"Nexus";NA;126;0
"Building";"Assimilator";NA;141;0
"Building";"Assimilator";NA;141;0
"Building";"Gateway";NA;138;0
"Building";"Gateway";NA;138;0
"Building";"RoboticsFacility";NA;142;0
"Building";"Pylon";NA;150;0
"Building";"Pylon";NA;150;0
"Unit";"Zealot";"Gateway";151;2
"Unit";"Zealot";"Gateway";151;2
"Unit";"Zealot";"Gateway";151;2
"Unit";"Zealot";"Gateway";151;2
"Unit";"Archon";"High Templar";151;0
"Building";"FleetBeacon";NA;150;0
"Building";"Stargate";NA;150;0
"Building";"Stargate";NA;150;0
"Unit";"Zealot";"Gateway";163;2
"Upgrade";"ProtossGroundWeaponsLevel3";"Forge";138;0
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";163;2
"Unit";"Zealot";"Gateway";163;2
"Building";"Nexus";NA;150;0
"Unit";"Carrier";"Stargate";151;6
"Unit";"Carrier";"Stargate";151;6
"Unit";"Zealot";"Gateway";179;2
"Unit";"Zealot";"Gateway";179;2
"Unit";"Zealot";"Gateway";179;2
"Unit";"Zealot";"Gateway";179;2
"Unit";"Zealot";"Gateway";179;2
"Building";"Stargate";NA;175;0
"Building";"Stargate";NA;178;0
