"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;17
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;19
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Adept";"Gateway";23
"Building";"Stargate";NA;26
"Unit";"Adept";"Gateway";27
"Unit";"Oracle";"Stargate";34
"Building";"Pylon";NA;41
"Building";"Pylon";NA;42
"Building";"Gateway";NA;42
"Unit";"Phoenix";"Stargate";43
"Building";"Assimilator";NA;47
"Unit";"Adept";"Gateway";47
"Building";"Assimilator";NA;50
"Building";"RoboticsFacility";NA;53
"Building";"Gateway";NA;54
"Building";"Gateway";NA;54
"Building";"Gateway";NA;54
"Building";"Gateway";NA;54
"Unit";"Sentry";"Gateway";54
"Unit";"Sentry";"Gateway";56
"Building";"Gateway";NA;58
"Building";"Gateway";NA;58
"Building";"Pylon";NA;58
"Building";"Pylon";NA;58
"Building";"RoboticsBay";NA;58
"Unit";"Sentry";"Gateway";58
"Unit";"Sentry";"Gateway";60
"Building";"Pylon";NA;62
"Building";"Pylon";NA;62
"Unit";"Sentry";"Gateway";62
"Unit";"Sentry";"Gateway";64
"Unit";"Adept";"Gateway";66
"Unit";"Adept";"Gateway";68
"Building";"Pylon";NA;70
"Building";"Pylon";NA;70
"Unit";"Adept";"Gateway";70
"Unit";"Adept";"Gateway";72
"Unit";"Adept";"Gateway";74
"Unit";"Adept";"Gateway";76
"Unit";"Adept";"Gateway";78
"Unit";"Adept";"Gateway";80
"Unit";"Sentry";"Gateway";82
"Unit";"Sentry";"Gateway";84
"Unit";"Stalker";"Gateway";86
"Unit";"Stalker";"Gateway";88
"Unit";"Stalker";"Gateway";90
"Unit";"Stalker";"Gateway";92
"Unit";"Zealot";"Gateway";94
"Building";"OracleStasisTrap";NA;96
"Unit";"Stalker";"Gateway";96
"Unit";"Stalker";"Gateway";98
"Unit";"Stalker";"Gateway";100
"Unit";"Stalker";"Gateway";102
"Unit";"Zealot";"Gateway";104
"Unit";"Zealot";"Gateway";106
"Unit";"Zealot";"Gateway";108
"Unit";"Stalker";"Gateway";111
"Unit";"Stalker";"Gateway";113
"Unit";"Stalker";"Gateway";115
"Unit";"Adept";"Gateway";117
"Unit";"Adept";"Gateway";119
"Upgrade";"SprayProtoss";NA;121
"Upgrade";"SprayProtoss";NA;121
"Upgrade";"WarpGateResearch";NA;121
