"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Nexus";NA;17
"Building";"Gateway";NA;17
"Building";"Assimilator";NA;18
"Building";"Assimilator";NA;19
"Building";"Pylon";NA;20
"Building";"CyberneticsCore";NA;22
"Unit";"Adept";"Gateway";27
"Building";"Stargate";NA;30
"Unit";"Adept";"Gateway";33
"Unit";"Oracle";"Stargate";39
"Building";"Pylon";NA;42
"Building";"Gateway";NA;44
"Building";"Gateway";NA;46
"Building";"TwilightCouncil";NA;46
"Building";"Assimilator";NA;46
"Unit";"Adept";"Gateway";48
"Building";"Pylon";NA;50
"Unit";"Phoenix";"Stargate";50
"Building";"Pylon";NA;53
"Building";"Pylon";NA;54
"Unit";"Adept";"Gateway";58
"Unit";"Adept";"Gateway";60
"Unit";"Adept";"Gateway";62
"Building";"Pylon";NA;64
"Building";"Nexus";NA;65
"Unit";"Adept";"Gateway";66
"Unit";"Adept";"Gateway";68
"Unit";"Adept";"Gateway";70
"Unit";"Adept";"Gateway";75
"Unit";"Adept";"Gateway";77
"Unit";"Adept";"Gateway";79
"Building";"Assimilator";NA;82
"Building";"RoboticsFacility";NA;82
"Building";"Pylon";NA;82
"Unit";"Adept";"Gateway";85
"Unit";"Adept";"Gateway";87
"Building";"Pylon";NA;90
"Building";"Forge";NA;90
"Unit";"Sentry";"Gateway";93
"Unit";"Sentry";"Gateway";95
"Unit";"Sentry";"Gateway";97
"Unit";"Immortal";"Robotics Facility";100
"Building";"Assimilator";NA;106
"Building";"Assimilator";NA;106
"Building";"Gateway";NA;106
"Building";"Gateway";NA;106
"Unit";"Sentry";"Gateway";106
"Unit";"Zealot";"Gateway";111
"Unit";"Zealot";"Gateway";113
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";116
"Building";"Pylon";NA;117
"Building";"Pylon";NA;117
"Unit";"Observer";"Robotics Facility";117
"Unit";"Adept";"Gateway";118
"Building";"Gateway";NA;120
"Building";"Gateway";NA;120
"Building";"TemplarArchive";NA;120
"Building";"Gateway";NA;120
"Upgrade";"Charge";"TwilightCouncil";120
"Building";"Pylon";NA;120
"Building";"Pylon";NA;120
"Unit";"Immortal";"Robotics Facility";120
"Unit";"Adept";"Gateway";124
"Unit";"Adept";"Gateway";126
"Unit";"Phoenix";"Stargate";128
"Building";"PhotonCannon";NA;130
"Building";"Pylon";NA;130
"Building";"Nexus";NA;130
"Building";"Pylon";NA;130
"Building";"HighTemplar";NA;130
"Building";"HighTemplar";NA;130
"Building";"Pylon";NA;133
"Building";"HighTemplar";NA;133
"Building";"Pylon";NA;133
"Building";"HighTemplar";NA;133
"Unit";"Zealot";"Gateway";133
"Unit";"Zealot";"Gateway";135
"Unit";"Zealot";"Gateway";137
"Building";"PhotonCannon";NA;139
"Building";"Gateway";NA;139
"Building";"Gateway";NA;139
"Unit";"Immortal";"Robotics Facility";139
"Building";"OracleStasisTrap";NA;143
"Building";"Assimilator";NA;143
"Building";"Assimilator";NA;143
"Unit";"Zealot";"Gateway";143
"Unit";"Zealot";"Gateway";145
"Upgrade";"ProtossGroundWeaponsLevel2";"Forge";147
"Building";"HighTemplar";NA;149
"Building";"HighTemplar";NA;149
"Unit";"Zealot";"Gateway";149
"Unit";"Zealot";"Gateway";151
"Unit";"Zealot";"Gateway";153
"Unit";"Archon";"High Templar";155
"Unit";"Zealot";"Gateway";155
"Unit";"Zealot";"Gateway";157
"Unit";"Zealot";"Gateway";159
"Unit";"Immortal";"Robotics Facility";161
"Unit";"Zealot";"Gateway";166
"Unit";"Zealot";"Gateway";168
"Unit";"Zealot";"Gateway";170
"Unit";"Zealot";"Gateway";172
"Unit";"Zealot";"Gateway";178
"Unit";"Zealot";"Gateway";180
"Unit";"Zealot";"Gateway";182
"Unit";"Zealot";"Gateway";184
"Unit";"Immortal";"Robotics Facility";189
"Building";"PhotonCannon";NA;193
"Unit";"Zealot";"Gateway";193
"Unit";"Zealot";"Gateway";195
"Unit";"Zealot";"Gateway";197
"Building";"HighTemplar";NA;199
"Building";"HighTemplar";NA;199
"Building";"HighTemplar";NA;199
"Building";"HighTemplar";NA;199
"Building";"HighTemplar";NA;199
"Building";"HighTemplar";NA;199
"Unit";"Archon";"High Templar";199
"Unit";"Archon";"High Templar";199
"Unit";"Archon";"High Templar";199
"Unit";"Phoenix";"Stargate";199
"Unit";"Phoenix";"Stargate";201
"Building";"PhotonCannon";NA;203
"Building";"PhotonCannon";NA;203
"Building";"HighTemplar";NA;203
"Building";"HighTemplar";NA;203
"Building";"HighTemplar";NA;203
"Building";"HighTemplar";NA;203
"Unit";"Archon";"High Templar";203
"Unit";"Archon";"High Templar";203
"Unit";"Immortal";"Robotics Facility";203
