"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;17
"Building";"Nexus";NA;19
"Building";"CyberneticsCore";NA;20
"Building";"Assimilator";NA;21
"Building";"Pylon";NA;22
"Unit";"Adept";"Gateway";23
"Building";"TwilightCouncil";NA;27
"Unit";"Stalker";"Gateway";28
"Building";"RoboticsFacility";NA;34
"Building";"DarkShrine";NA;38
"Building";"Pylon";NA;38
"Building";"Gateway";NA;39
"Building";"Assimilator";NA;42
"Building";"Assimilator";NA;43
"Building";"Pylon";NA;43
"Building";"Pylon";NA;44
"Unit";"Observer";"Robotics Facility";46
"Building";"DarkTemplar";NA;49
"Building";"DarkTemplar";NA;49
"Building";"Nexus";NA;51
"Building";"Pylon";NA;52
"Unit";"Immortal";"Robotics Facility";54
"Building";"Pylon";NA;60
"Unit";"Archon";"High Templar";60
"Building";"DarkTemplar";NA;60
"Building";"DarkTemplar";NA;60
"Unit";"Archon";"High Templar";60
"Building";"Forge";NA;62
"Building";"Gateway";NA;62
"Building";"Gateway";NA;64
"Unit";"Immortal";"Robotics Facility";64
"Unit";"Sentry";"Gateway";70
"Unit";"Sentry";"Gateway";72
"Building";"Gateway";NA;74
"Building";"Gateway";NA;74
"Building";"Gateway";NA;74
"Unit";"Sentry";"Gateway";75
"Unit";"Sentry";"Gateway";77
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";79
"Unit";"Immortal";"Robotics Facility";79
"Upgrade";"Charge";"TwilightCouncil";83
"Building";"Gateway";NA;83
"Building";"Gateway";NA;83
"Building";"Pylon";NA;86
"Unit";"Zealot";"Gateway";86
"Building";"Pylon";NA;88
"Building";"Pylon";NA;88
"Building";"Pylon";NA;88
"Building";"DarkTemplar";NA;88
"Building";"DarkTemplar";NA;88
"Unit";"Zealot";"Gateway";88
"Unit";"Zealot";"Gateway";90
"Unit";"Immortal";"Robotics Facility";92
"Unit";"Phoenix";"Stargate";96
"Unit";"Archon";"High Templar";98
"Building";"Pylon";NA;98
"Building";"DarkTemplar";NA;98
"Building";"DarkTemplar";NA;98
"Unit";"Zealot";"Gateway";98
"Unit";"Zealot";"Gateway";100
"Building";"Pylon";NA;102
"Unit";"Archon";"High Templar";102
"Unit";"Zealot";"Gateway";102
"Unit";"Zealot";"Gateway";104
"Unit";"Zealot";"Gateway";106
"Building";"Pylon";NA;108
"Unit";"Zealot";"Gateway";108
"Unit";"Zealot";"Gateway";110
"Building";"DarkTemplar";NA;112
"Building";"DarkTemplar";NA;112
"Unit";"Zealot";"Gateway";112
"Building";"Pylon";NA;114
"Unit";"Archon";"High Templar";114
"Unit";"Zealot";"Gateway";114
"Unit";"Zealot";"Gateway";116
"Unit";"Zealot";"Gateway";118
"Unit";"Zealot";"Gateway";120
"Unit";"Zealot";"Gateway";122
"Unit";"Zealot";"Gateway";124
"Unit";"Zealot";"Gateway";126
"Unit";"Zealot";"Gateway";128
"Unit";"Zealot";"Gateway";130
"Building";"DarkTemplar";NA;132
"Building";"DarkTemplar";NA;132
"Unit";"Zealot";"Gateway";132
"Unit";"Zealot";"Gateway";134
"Unit";"Zealot";"Gateway";136
"Unit";"Zealot";"Gateway";138
"Upgrade";"SprayProtoss";NA;140
"Upgrade";"SprayProtoss";NA;140
"Upgrade";"WarpGateResearch";NA;140
"Upgrade";"SprayProtoss";NA;140
"Upgrade";"SprayProtoss";NA;140
