"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Nexus";NA;17;0
"Building";"Gateway";NA;17;0
"Building";"Assimilator";NA;18;0
"Building";"Assimilator";NA;19;0
"Building";"Pylon";NA;20;0
"Building";"CyberneticsCore";NA;22;0
"Unit";"Zealot";"Gateway";22;2
"Unit";"Stalker";"Gateway";30;2
"Building";"TwilightCouncil";NA;33;0
"Building";"RoboticsFacility";NA;36;0
"Unit";"Adept";"Gateway";36;2
"Building";"Pylon";NA;38;0
"Building";"DarkShrine";NA;42;0
"Building";"Gateway";NA;42;0
"Building";"Gateway";NA;42;0
"Building";"Gateway";NA;44;0
"Building";"Assimilator";NA;46;0
"Building";"Assimilator";NA;46;0
"Building";"Pylon";NA;47;0
"Unit";"Observer";"Robotics Facility";51;1
"Building";"Pylon";NA;53;0
"Building";"Nexus";NA;53;0
"Building";"DarkTemplar";NA;53;0
"Building";"DarkTemplar";NA;53;0
"Building";"DarkTemplar";NA;53;0
"Building";"Pylon";NA;54;0
"Building";"DarkTemplar";NA;54;0
"Unit";"Immortal";"Robotics Facility";56;4
"Unit";"Archon";"High Templar";60;0
"Unit";"Archon";"High Templar";60;0
"Building";"Pylon";NA;64;0
"Unit";"Adept";"Gateway";64;2
"Unit";"Adept";"Gateway";66;2
"Unit";"Immortal";"Robotics Facility";68;4
"Building";"Gateway";NA;78;0
"Building";"Gateway";NA;78;0
"Unit";"Sentry";"Gateway";78;2
"Unit";"Sentry";"Gateway";80;2
"Unit";"Sentry";"Gateway";82;2
"Unit";"Sentry";"Gateway";84;2
"Building";"Gateway";NA;86;0
"Building";"Gateway";NA;87;0
"Building";"Gateway";NA;87;0
"Building";"Assimilator";NA;88;0
"Unit";"Immortal";"Robotics Facility";89;4
"Building";"Pylon";NA;93;0
"Building";"Pylon";NA;93;0
"Unit";"Sentry";"Gateway";93;2
"Unit";"Sentry";"Gateway";95;2
"Building";"Pylon";NA;97;0
"Building";"Pylon";NA;97;0
"Unit";"Stalker";"Gateway";97;2
"Unit";"Stalker";"Gateway";99;2
"Building";"Pylon";NA;101;0
"Building";"Pylon";NA;101;0
"Building";"Pylon";NA;101;0
"Unit";"Stalker";"Gateway";101;2
"Unit";"Stalker";"Gateway";103;2
"Unit";"Stalker";"Gateway";105;2
"Unit";"Stalker";"Gateway";107;2
"Unit";"Stalker";"Gateway";109;2
"Unit";"Stalker";"Gateway";111;2
"Unit";"Stalker";"Gateway";113;2
"Unit";"Stalker";"Gateway";115;2
"Unit";"Stalker";"Gateway";117;2
"Unit";"Stalker";"Gateway";119;2
"Unit";"Stalker";"Gateway";121;2
"Unit";"Stalker";"Gateway";123;2
"Unit";"Stalker";"Gateway";125;2
"Unit";"Stalker";"Gateway";127;2
"Unit";"Stalker";"Gateway";129;2
"Unit";"Zealot";"Gateway";131;2
"Unit";"Zealot";"Gateway";133;2
"Unit";"Zealot";"Gateway";135;2
"Unit";"Zealot";"Gateway";137;2
"Unit";"Zealot";"Gateway";139;2
"Unit";"Zealot";"Gateway";141;2
"Unit";"Stalker";"Gateway";143;2
"Unit";"Stalker";"Gateway";145;2
"Unit";"Stalker";"Gateway";147;2
"Upgrade";"SprayProtoss";NA;149;0
"Upgrade";"SprayProtoss";NA;149;0
"Upgrade";"WarpGateResearch";NA;149;0
"Upgrade";"SprayProtoss";NA;149;0
"Upgrade";"SprayProtoss";NA;149;0
"Upgrade";"BlinkTech";NA;149;0
