"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;16
"Building";"Gateway";NA;18
"Building";"CyberneticsCore";NA;19
"Unit";"Zealot";"Gateway";19
"Building";"Pylon";NA;21
"Unit";"Adept";"Gateway";22
"Unit";"Adept";"Gateway";24
"Unit";"Adept";"Gateway";26
"Unit";"Adept";"Gateway";29
"Building";"Nexus";NA;32
"Building";"Pylon";NA;33
"Building";"Assimilator";NA;33
"Unit";"Adept";"Gateway";34
"Unit";"Adept";"Gateway";36
"Building";"TwilightCouncil";NA;40
"Building";"Gateway";NA;44
"Unit";"Adept";"Gateway";45
"Unit";"Adept";"Gateway";47
"Unit";"Stalker";"Gateway";52
"Unit";"Sentry";"Gateway";54
"Building";"RoboticsFacility";NA;57
"Building";"Pylon";NA;59
"Building";"Pylon";NA;60
"Building";"Assimilator";NA;62
"Building";"DarkShrine";NA;62
"Building";"Assimilator";NA;62
"Unit";"Adept";"Gateway";64
"Unit";"Adept";"Gateway";66
"Unit";"Adept";"Gateway";68
"Building";"Pylon";NA;71
"Building";"Pylon";NA;72
"Unit";"Immortal";"Robotics Facility";75
"Building";"Pylon";NA;79
"Building";"Nexus";NA;80
"Unit";"Adept";"Gateway";81
"Unit";"Adept";"Gateway";83
"Building";"DarkTemplar";NA;85
"Building";"Pylon";NA;85
"Unit";"Immortal";"Robotics Facility";85
"Building";"DarkTemplar";NA;89
"Building";"DarkTemplar";NA;89
"Unit";"Immortal";"Robotics Facility";91
"Unit";"Sentry";"Gateway";96
"Building";"Gateway";NA;98
"Building";"Gateway";NA;98
"Building";"Gateway";NA;98
"Building";"Gateway";NA;98
"Building";"Gateway";NA;98
"Unit";"Sentry";"Gateway";99
"Unit";"Sentry";"Gateway";101
"Building";"Pylon";NA;105
"Building";"Pylon";NA;106
"Building";"Forge";NA;107
"Unit";"Observer";"Robotics Facility";107
"Building";"Assimilator";NA;110
"Building";"Assimilator";NA;110
"Building";"TemplarArchive";NA;110
"Building";"Pylon";NA;110
"Unit";"Zealot";"Gateway";110
"Building";"DarkTemplar";NA;112
"Unit";"Zealot";"Gateway";112
"Unit";"Zealot";"Gateway";114
"Unit";"Zealot";"Gateway";116
"Unit";"Zealot";"Gateway";118
"Unit";"Zealot";"Gateway";120
"Building";"PhotonCannon";NA;125
"Unit";"Immortal";"Robotics Facility";125
"Building";"Pylon";NA;129
"Building";"Stargate";NA;131
"Building";"PhotonCannon";NA;131
"Building";"PhotonCannon";NA;131
"Building";"PhotonCannon";NA;131
"Building";"Pylon";NA;131
"Building";"Pylon";NA;131
"Building";"HighTemplar";NA;131
"Building";"HighTemplar";NA;131
"Upgrade";"ProtossGroundWeaponsLevel1";"Forge";131
"Unit";"Stalker";"Gateway";131
"Unit";"Stalker";"Gateway";133
"Unit";"Archon";"High Templar";135
"Unit";"Immortal";"Robotics Facility";135
"Building";"HighTemplar";NA;139
"Unit";"Stalker";"Gateway";142
"Unit";"Stalker";"Gateway";144
"Unit";"Stalker";"Gateway";146
"Unit";"Stalker";"Gateway";148
"Upgrade";"Charge";"TwilightCouncil";150
"Building";"HighTemplar";NA;150
"Building";"Pylon";NA;150
"Building";"Nexus";NA;150
"Building";"Pylon";NA;150
"Building";"HighTemplar";NA;151
"Building";"Pylon";NA;151
"Building";"HighTemplar";NA;151
"Building";"Pylon";NA;151
"Unit";"Zealot";"Gateway";151
"Unit";"Zealot";"Gateway";153
"Unit";"Zealot";"Gateway";155
"Unit";"Zealot";"Gateway";157
"Unit";"Zealot";"Gateway";159
"Unit";"Zealot";"Gateway";161
"Unit";"Zealot";"Gateway";163
"Unit";"Zealot";"Gateway";165
"Unit";"Zealot";"Gateway";167
"Building";"Pylon";NA;169
"Building";"PhotonCannon";NA;169
"Unit";"Immortal";"Robotics Facility";169
"Building";"PhotonCannon";NA;173
"Building";"HighTemplar";NA;173
"Building";"HighTemplar";NA;173
"Building";"HighTemplar";NA;173
"Building";"HighTemplar";NA;173
"Unit";"Archon";"High Templar";173
"Unit";"Archon";"High Templar";173
