"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Pylon";NA;14;0
"Building";"Gateway";NA;16;0
"Building";"Assimilator";NA;17;0
"Building";"Forge";NA;19;0
"Building";"Pylon";NA;21;0
"Building";"PhotonCannon";NA;24;0
"Building";"PhotonCannon";NA;25;0
"Building";"CyberneticsCore";NA;26;0
"Building";"Pylon";NA;27;0
"Building";"Assimilator";NA;27;0
"Building";"Nexus";NA;27;0
"Unit";"Adept";"Gateway";28;2
"Building";"PhotonCannon";NA;30;0
"Building";"Stargate";NA;30;0
"Unit";"Adept";"Gateway";31;2
"Unit";"Oracle";"Stargate";35;3
"Unit";"Oracle";"Stargate";44;3
"Building";"Pylon";NA;48;0
"Building";"Nexus";NA;51;0
"Building";"Pylon";NA;52;0
"Building";"OracleStasisTrap";NA;52;0
"Unit";"Phoenix";"Stargate";53;2
"Building";"Pylon";NA;56;0
"Building";"Assimilator";NA;57;0
"Building";"Assimilator";NA;57;0
"Building";"Stargate";NA;57;0
"Building";"Stargate";NA;57;0
"Building";"PhotonCannon";NA;58;0
"Unit";"Oracle";"Stargate";61;3
"Unit";"Adept";"Gateway";66;2
"Unit";"Oracle";"Stargate";72;3
"Unit";"Oracle";"Stargate";75;3
"Building";"Assimilator";NA;80;0
"Building";"Pylon";NA;80;0
"Building";"Assimilator";NA;80;0
"Unit";"Oracle";"Stargate";83;3
"Unit";"Oracle";"Stargate";89;3
"Building";"PhotonCannon";NA;93;0
"Unit";"Oracle";"Stargate";93;3
"Building";"PhotonCannon";NA;96;0
"Building";"Pylon";NA;96;0
"Building";"Pylon";NA;98;0
"Building";"Pylon";NA;98;0
"Building";"Stargate";NA;98;0
"Unit";"Oracle";"Stargate";98;3
"Building";"Nexus";NA;103;0
"Unit";"Oracle";"Stargate";103;3
"Building";"Pylon";NA;106;0
"Building";"Pylon";NA;106;0
"Unit";"Oracle";"Stargate";106;3
"Building";"Pylon";NA;111;0
"Building";"Pylon";NA;112;0
"Building";"Pylon";NA;112;0
"Unit";"Oracle";"Stargate";112;3
"Unit";"Oracle";"Stargate";115;3
"Unit";"Oracle";"Stargate";118;3
"Unit";"Oracle";"Stargate";121;3
"Building";"Pylon";NA;127;0
"Unit";"Oracle";"Stargate";127;3
"Unit";"Oracle";"Stargate";130;3
"Building";"PhotonCannon";NA;133;0
"Building";"PhotonCannon";NA;133;0
"Building";"PhotonCannon";NA;133;0
"Unit";"Oracle";"Stargate";137;3
"Building";"PhotonCannon";NA;140;0
"Building";"PhotonCannon";NA;140;0
"Building";"PhotonCannon";NA;140;0
"Building";"Assimilator";NA;140;0
"Building";"PhotonCannon";NA;142;0
"Building";"Assimilator";NA;142;0
"Building";"Pylon";NA;145;0
"Unit";"Phoenix";"Stargate";146;2
"Unit";"Phoenix";"Stargate";148;2
"Unit";"Phoenix";"Stargate";150;2
"Unit";"Phoenix";"Stargate";152;2
"Building";"Stargate";NA;154;0
"Building";"Stargate";NA;154;0
"Unit";"Phoenix";"Stargate";154;2
"Unit";"Phoenix";"Stargate";164;2
"Unit";"Phoenix";"Stargate";166;2
"Unit";"Phoenix";"Stargate";169;2
"Upgrade";"ProtossAirWeaponsLevel1";"CyberneticsCore";187;0
"Building";"Pylon";NA;187;0
"Building";"Pylon";NA;187;0
"Building";"Pylon";NA;187;0
"Building";"Pylon";NA;187;0
"Building";"Pylon";NA;187;0
"Building";"Assimilator";NA;187;0
"Building";"Assimilator";NA;187;0
"Building";"FleetBeacon";NA;187;0
"Upgrade";"SprayProtoss";NA;187;0
"Upgrade";"SprayProtoss";NA;187;0
"Upgrade";"SprayProtoss";NA;187;0
"Upgrade";"SprayProtoss";NA;187;0
"Upgrade";"SprayProtoss";NA;187;0
"Upgrade";"SprayProtoss";NA;187;0
"Upgrade";"SprayProtoss";NA;187;0
