"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Pylon";NA;14
"Building";"Gateway";NA;16
"Building";"Assimilator";NA;16
"Building";"Nexus";NA;21
"Building";"CyberneticsCore";NA;22
"Building";"Assimilator";NA;23
"Building";"Pylon";NA;23
"Unit";"Adept";"Gateway";24
"Building";"TwilightCouncil";NA;26
"Unit";"Stalker";"Gateway";27
"Building";"Pylon";NA;31
"Building";"RoboticsFacility";NA;33
"Building";"DarkShrine";NA;37
"Unit";"Adept";"Gateway";40
"Building";"Gateway";NA;43
"Building";"Gateway";NA;43
"Building";"Gateway";NA;44
"Building";"Assimilator";NA;49
"Building";"Assimilator";NA;49
"Building";"Pylon";NA;49
"Building";"Pylon";NA;51
"Building";"DarkTemplar";NA;53
"Building";"Pylon";NA;54
"Building";"DarkTemplar";NA;54
"Building";"DarkTemplar";NA;54
"Building";"DarkTemplar";NA;54
"Unit";"Archon";"High Templar";54
"Unit";"Archon";"High Templar";54
"Building";"Nexus";NA;55
"Building";"Pylon";NA;57
"Building";"DarkTemplar";NA;57
"Building";"DarkTemplar";NA;57
"Building";"DarkTemplar";NA;57
"Building";"DarkTemplar";NA;58
"Building";"Pylon";NA;59
"Unit";"Archon";"High Templar";59
"Unit";"Archon";"High Templar";59
"Unit";"Immortal";"Robotics Facility";60
"Unit";"Zealot";"Gateway";67
"Unit";"Zealot";"Gateway";69
"Building";"Pylon";NA;71
"Upgrade";"Charge";"TwilightCouncil";71
"Unit";"Immortal";"Robotics Facility";73
"Building";"Gateway";NA;77
"Building";"Gateway";NA;77
"Building";"Gateway";NA;79
"Building";"Gateway";NA;79
"Building";"Pylon";NA;79
"Building";"Pylon";NA;79
"Unit";"Sentry";"Gateway";80
"Unit";"Sentry";"Gateway";82
"Unit";"Zealot";"Gateway";84
"Unit";"Zealot";"Gateway";86
"Building";"Pylon";NA;88
"Building";"TemplarArchive";NA;89
"Building";"Assimilator";NA;89
"Building";"Assimilator";NA;89
"Unit";"Immortal";"Robotics Facility";90
"Unit";"Zealot";"Gateway";94
"Unit";"Zealot";"Gateway";96
"Unit";"Zealot";"Gateway";98
"Unit";"Zealot";"Gateway";100
"Building";"Pylon";NA;103
"Building";"DarkTemplar";NA;104
"Building";"DarkTemplar";NA;104
"Building";"DarkTemplar";NA;104
"Building";"DarkTemplar";NA;104
"Unit";"Archon";"High Templar";107
"Unit";"Zealot";"Gateway";107
"Unit";"Zealot";"Gateway";109
"Unit";"Zealot";"Gateway";111
"Unit";"Zealot";"Gateway";113
"Building";"Pylon";NA;116
"Unit";"Observer";"Robotics Facility";116
"Building";"Nexus";NA;117
"Building";"Pylon";NA;117
"Unit";"Zealot";"Gateway";117
"Unit";"Zealot";"Gateway";119
"Unit";"Zealot";"Gateway";121
"Unit";"Zealot";"Gateway";123
"Unit";"Zealot";"Gateway";125
"Unit";"Zealot";"Gateway";127
"Unit";"Zealot";"Gateway";129
"Unit";"Zealot";"Gateway";131
"Unit";"Immortal";"Robotics Facility";133
"Building";"HighTemplar";NA;138
"Building";"HighTemplar";NA;138
"Building";"HighTemplar";NA;138
"Unit";"Zealot";"Gateway";139
"Building";"HighTemplar";NA;143
"Building";"HighTemplar";NA;143
"Unit";"Zealot";"Gateway";143
"Unit";"Zealot";"Gateway";145
"Building";"Forge";NA;148
"Building";"Forge";NA;149
"Building";"Pylon";NA;150
"Building";"DarkTemplar";NA;153
"Building";"DarkTemplar";NA;153
"Building";"DarkTemplar";NA;153
"Building";"DarkTemplar";NA;153
"Unit";"Immortal";"Robotics Facility";154
"Unit";"Archon";"High Templar";158
"Unit";"Archon";"High Templar";158
"Unit";"Archon";"High Templar";158
"Unit";"Zealot";"Gateway";158
"Unit";"Zealot";"Gateway";160
"Unit";"Zealot";"Gateway";162
"Unit";"Zealot";"Gateway";164
"Building";"Assimilator";NA;167
"Building";"Assimilator";NA;167
"Unit";"Immortal";"Robotics Facility";167
"Unit";"Zealot";"Gateway";171
"Unit";"Zealot";"Gateway";173
"Unit";"Zealot";"Gateway";175
"Unit";"Zealot";"Gateway";177
