"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Building";"Refinery";NA;15;0
"Unit";"SCV";"Command Center";16;1
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Unit";"SCV";"Command Center";19;1
"Unit";"Reaper";"Barracks";19;1
"Building";"SupplyDepot";NA;19;0
"Unit";"SCV";"Command Center";20;1
"Building";"Refinery";NA;21;0
"Unit";"SCV";"Command Center";22;1
"Building";"Factory";NA;19;0
"Unit";"SCV";"Command Center";22;1
"Building";"CommandCenter";NA;19;0
"Building";"Bunker";NA;22;0
"Building";"BarracksReactor";NA;22;0
"Unit";"SCV";"Command Center";23;1
"Unit";"Marine";"Barracks";24;1
"Unit";"Marine";"Barracks";24;1
"Unit";"SCV";"Command Center";25;1
"Building";"Starport";NA;24;0
"Unit";"SCV";"Command Center";27;1
"Unit";"SCV";"Command Center";28;1
"Unit";"Marine";"Barracks";28;1
"Unit";"Marine";"Barracks";28;1
"Unit";"Cyclone";"Factory";29;3
"Unit";"Marine";"Barracks";32;1
"Unit";"Marine";"Barracks";32;1
"Unit";"Marine";"Barracks";37;1
"Unit";"Cyclone";"Factory";35;3
"Unit";"Marine";"Barracks";37;1
"Unit";"Marine";"Barracks";42;1
"Unit";"Marine";"Barracks";42;1
"Unit";"Marine";"Barracks";44;1
"Unit";"Marine";"Barracks";44;1
"Unit";"SCV";"Command Center";44;1
"Unit";"SCV";"Command Center";44;1
"Building";"FactoryTechLab";NA;44;0
"Unit";"Liberator";"Starport";44;3
"Unit";"Marine";"Barracks";48;1
"Unit";"Marine";"Barracks";48;1
"Building";"Barracks";NA;44;0
"Building";"SupplyDepot";NA;48;0
"Building";"SupplyDepot";NA;48;0
"Building";"SupplyDepot";NA;48;0
"Unit";"Marine";"Barracks";53;1
"Unit";"Marine";"Barracks";53;1
"Building";"BarracksTechLab";NA;53;0
"Building";"Bunker";NA;53;0
"Unit";"Marine";"Barracks";55;1
"Unit";"Marine";"Barracks";55;1
"Building";"SupplyDepot";NA;55;0
"Building";"SupplyDepot";NA;55;0
