"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Building";"Barracks";NA;15;0
"Building";"BarracksTechLab";NA;15;0
"Building";"BarracksTechLab";NA;15;0
"Unit";"Marauder";"Barracks";15;2
"Building";"Barracks";NA;15;0
"Unit";"Marauder";"Barracks";15;2
"Unit";"Marauder";"Barracks";17;2
"Building";"BarracksTechLab";NA;19;0
"Unit";"Marauder";"Barracks";19;2
"Unit";"Marauder";"Barracks";19;2
"Unit";"Marauder";"Barracks";23;2
"Unit";"Marauder";"Barracks";23;2
"Unit";"Marauder";"Barracks";25;2
"Building";"Refinery";NA;25;0
"Unit";"Marauder";"Barracks";29;2
"Unit";"Marauder";"Barracks";29;2
"Unit";"Marauder";"Barracks";31;2
"Unit";"Marauder";"Barracks";35;2
"Unit";"Marauder";"Barracks";37;2
"Unit";"Marauder";"Barracks";37;2
"Unit";"Marauder";"Barracks";39;2
"Unit";"Marauder";"Barracks";43;2
"Unit";"Marauder";"Barracks";43;2
