"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Refinery";NA;21;0
"Building";"BarracksReactor";NA;20;0
"Building";"CommandCenter";NA;19;0
"Unit";"Marine";"Barracks";23;1
"Unit";"Marine";"Barracks";23;1
"Building";"Factory";NA;22;0
"Unit";"Marine";"Barracks";27;1
"Unit";"Marine";"Barracks";27;1
"Building";"Refinery";NA;27;0
"Building";"FactoryTechLab";NA;28;0
"Unit";"Marine";"Barracks";31;1
"Building";"Factory";NA;28;0
"Building";"Refinery";NA;38;0
"Unit";"Hellion";"Factory";38;2
"Unit";"Hellion";"Factory";38;2
"Unit";"Hellion";"Factory";46;2
"Unit";"Hellion";"Factory";46;2
"Unit";"Hellion";"Factory";54;2
"Unit";"Hellion";"Factory";56;2
"Building";"Starport";NA;50;0
"Unit";"Hellion";"Factory";58;2
"Building";"BarracksReactor";NA;58;0
"Unit";"Hellion";"Factory";67;2
"Unit";"Hellion";"Factory";67;2
"Unit";"Hellion";"Factory";69;2
"Building";"Armory";NA;67;0
"Unit";"Hellion";"Factory";74;2
"Unit";"Medivac";"Starport";69;2
"Unit";"Medivac";"Starport";69;2
"Unit";"Hellion";"Factory";76;2
"Unit";"Hellion";"Factory";87;2
"Building";"CommandCenter";NA;67;0
"Building";"Factory";NA;79;0
"Unit";"Hellion";"Factory";90;2
"Building";"Armory";NA;79;0
"Building";"BarracksReactor";NA;87;0
"Unit";"Liberator";"Starport";86;3
"Unit";"Liberator";"Starport";87;3
"Unit";"Hellion";"Factory";93;2
"Unit";"Hellion";"Factory";94;2
"Unit";"Hellion";"Factory";100;2
"Building";"FactoryReactor";NA;97;0
"Unit";"Hellion";"Factory";108;2
"Unit";"Hellion";"Factory";108;2
"Unit";"Liberator";"Starport";97;3
"Unit";"Liberator";"Starport";100;3
"Unit";"Hellion";"Factory";111;2
"Unit";"Hellion";"Factory";111;2
"Unit";"Hellion";"Factory";111;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";91;0
"Unit";"Hellion";"Factory";123;2
"Building";"Refinery";NA;129;0
"Unit";"Hellion";"Factory";129;2
"Building";"Refinery";NA;129;0
"Unit";"Hellion";"Factory";129;2
"Unit";"Hellion";"Factory";129;2
