"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Refinery";NA;15
"Building";"Barracks";NA;16
"Building";"Refinery";NA;19
"Unit";"Marine";"Barracks";20
"Building";"Factory";NA;21
"Unit";"Marine";"Barracks";21
"Unit";"Marine";"Barracks";22
"Unit";"Marine";"Barracks";25
"Building";"Starport";NA;26
"Building";"FactoryTechLab";NA;26
"Unit";"Marine";"Barracks";27
"Building";"CommandCenter";NA;29
"Unit";"Marine";"Barracks";30
"Building";"FactoryTechLab";NA;31
"Unit";"Banshee";"Starport";31
"Unit";"Marine";"Barracks";35
"Building";"Barracks";NA;36
"Building";"BarracksTechLab";NA;37
"Building";"Barracks";NA;38
"Unit";"Marine";"Barracks";38
"Unit";"Marine";"Barracks";39
"Unit";"Marine";"Barracks";42
"Unit";"Marine";"Barracks";43
"Upgrade";"Stimpack";"TechLab";46
"Unit";"Marine";"Barracks";46
"Unit";"Marine";"Barracks";47
"Unit";"Banshee";"Starport";48
"Unit";"Marine";"Barracks";52
"Unit";"Marine";"Barracks";53
"Unit";"Marine";"Barracks";54
"Unit";"Marine";"Barracks";56
"Unit";"Marine";"Barracks";59
"Unit";"Marine";"Barracks";61
"Unit";"Marine";"Barracks";65
"Unit";"Marine";"Barracks";66
"Unit";"Marine";"Barracks";67
"Unit";"Marine";"Barracks";68
"Unit";"Marine";"Barracks";69
"Unit";"Marine";"Barracks";70
"Building";"CommandCenter";NA;72
"Building";"Barracks";NA;73
"Building";"Barracks";NA;73
"Unit";"Marine";"Barracks";73
"Unit";"Marine";"Barracks";74
"Unit";"Marine";"Barracks";75
"Unit";"Marine";"Barracks";76
"Unit";"Marine";"Barracks";77
"Unit";"Marine";"Barracks";78
"Unit";"Marine";"Barracks";79
"Unit";"Marine";"Barracks";80
"Unit";"Marine";"Barracks";82
"Unit";"Marine";"Barracks";83
"Unit";"Marine";"Barracks";84
"Unit";"Marine";"Barracks";85
"Unit";"Marine";"Barracks";86
"Unit";"Marine";"Barracks";87
"Unit";"Marine";"Barracks";88
"Unit";"Marine";"Barracks";89
"Unit";"Marine";"Barracks";90
"Unit";"Marine";"Barracks";91
"Building";"Barracks";NA;94
"Building";"Barracks";NA;94
"Building";"Barracks";NA;94
"Building";"Starport";NA;94
"Unit";"Marine";"Barracks";94
"Building";"Barracks";NA;95
"Unit";"Marine";"Barracks";95
"Unit";"Marine";"Barracks";96
"Unit";"Marine";"Barracks";97
"Unit";"Marine";"Barracks";98
"Unit";"Marine";"Barracks";99
"Unit";"Marine";"Barracks";100
"Unit";"Marine";"Barracks";101
"Unit";"Marine";"Barracks";102
"Unit";"Marine";"Barracks";103
"Unit";"Marine";"Barracks";105
"Unit";"Marine";"Barracks";106
"Building";"Refinery";NA;107
"Unit";"Marine";"Barracks";107
"Unit";"Marine";"Barracks";108
"Unit";"Marine";"Barracks";109
"Building";"Refinery";NA;110
"Building";"BarracksTechLab";NA;110
"Building";"BarracksReactor";NA;110
"Building";"BarracksReactor";NA;110
"Unit";"Marine";"Barracks";110
"Unit";"Marine";"Barracks";111
"Building";"EngineeringBay";NA;114
"Unit";"Marine";"Barracks";114
"Unit";"Marine";"Barracks";115
"Unit";"Marine";"Barracks";117
"Unit";"Marine";"Barracks";118
"Unit";"Marine";"Barracks";119
"Unit";"Marine";"Barracks";120
"Unit";"Marine";"Barracks";121
"Unit";"Marine";"Barracks";122
"Unit";"Marine";"Barracks";123
"Unit";"Marine";"Barracks";127
"Unit";"Marine";"Barracks";128
"Unit";"Marine";"Barracks";129
"Unit";"Marine";"Barracks";130
"Unit";"Marine";"Barracks";131
"Unit";"Marine";"Barracks";132
"Unit";"Marine";"Barracks";133
"Unit";"Marine";"Barracks";134
"Unit";"Marine";"Barracks";135
"Unit";"Marine";"Barracks";136
"Unit";"Marine";"Barracks";137
"Unit";"Marine";"Barracks";138
"Unit";"Marine";"Barracks";139
"Unit";"Marine";"Barracks";140
"Unit";"Marine";"Barracks";141
"Unit";"Marine";"Barracks";142
"Unit";"Marine";"Barracks";143
"Unit";"Marine";"Barracks";144
"Unit";"Marine";"Barracks";145
"Unit";"Marine";"Barracks";146
"Upgrade";"SprayTerran";NA;147
"Upgrade";"SprayTerran";NA;147
"Upgrade";"BansheeCloak";NA;147
"Upgrade";"SprayTerran";NA;147
"Upgrade";"SprayTerran";NA;147
"Upgrade";"ShieldWall";NA;147
