"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;14;0
"Building";"Barracks";NA;15;0
"Unit";"Marine";"Barracks";19;1
"Unit";"Marine";"Barracks";21;1
"Unit";"Marine";"Barracks";22;1
"Building";"Factory";NA;21;0
"Building";"Refinery";NA;22;0
"Building";"CommandCenter";NA;21;0
"Unit";"Cyclone";"Factory";24;3
"Building";"BarracksReactor";NA;24;0
"Unit";"Cyclone";"Factory";30;3
"Building";"BarracksTechLab";NA;31;0
"Building";"Refinery";NA;36;0
"Unit";"Cyclone";"Factory";36;3
"Unit";"Cyclone";"Factory";37;3
"Building";"Bunker";NA;36;0
"Unit";"Cyclone";"Factory";47;3
"Building";"Starport";NA;47;0
"Building";"Refinery";NA;49;0
"Building";"CommandCenter";NA;54;0
"Building";"BarracksReactor";NA;60;0
"Building";"BarracksTechLab";NA;70;0
"Building";"Armory";NA;65;0
"Building";"Factory";NA;75;0
"Building";"Factory";NA;75;0
"Building";"EngineeringBay";NA;80;0
"Building";"BarracksTechLab";NA;84;0
"Building";"SensorTower";NA;84;0
"Building";"MissileTurret";NA;84;0
"Building";"MissileTurret";NA;85;0
"Building";"BarracksTechLab";NA;85;0
"Building";"MissileTurret";NA;85;0
"Building";"SensorTower";NA;85;0
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";82;0
"Unit";"Hellion";"Factory";85;2
"Unit";"Hellion";"Factory";85;2
"Building";"Factory";NA;85;0
"Building";"SensorTower";NA;85;0
"Unit";"Hellion";"Factory";85;2
"Building";"Refinery";NA;92;0
"Building";"Refinery";NA;92;0
"Building";"MissileTurret";NA;100;0
"Building";"Factory";NA;95;0
"Building";"SensorTower";NA;110;0
"Unit";"Hellion";"Factory";110;2
"Unit";"Hellion";"Factory";110;2
"Unit";"Hellion";"Factory";110;2
"Building";"Starport";NA;110;0
"Unit";"Hellion";"Factory";110;2
"Building";"Armory";NA;110;0
"Unit";"Liberator";"Starport";110;3
"Unit";"Liberator";"Starport";116;3
"Building";"CommandCenter";NA;110;0
"Building";"MissileTurret";NA;121;0
"Building";"MissileTurret";NA;123;0
"Building";"StarportReactor";NA;118;0
"Building";"MissileTurret";NA;123;0
"Building";"MissileTurret";NA;123;0
"Building";"Refinery";NA;123;0
"Unit";"Liberator";"Starport";118;3
"Building";"Factory";NA;121;0
"Unit";"Hellion";"Factory";130;2
"Unit";"Liberator";"Starport";127;3
"Unit";"Hellion";"Factory";132;2
"Unit";"Hellion";"Factory";132;2
"Unit";"Hellion";"Factory";135;2
"Building";"Refinery";NA;138;0
"Building";"FactoryTechLab";NA;145;0
"Upgrade";"TerranShipWeaponsLevel1";"Armory";130;0
"Unit";"Hellion";"Factory";145;2
"Unit";"Hellion";"Factory";145;2
"Unit";"Hellion";"Factory";147;2
"Unit";"Hellion";"Factory";150;2
"Unit";"Hellion";"Factory";150;2
"Building";"Factory";NA;145;0
"Building";"Armory";NA;145;0
"Building";"Factory";NA;147;0
"Unit";"Hellion";"Factory";159;2
"Building";"SensorTower";NA;166;0
"Building";"CommandCenter";NA;145;0
"Unit";"Hellion";"Factory";174;2
"Unit";"Hellion";"Factory";174;2
"Unit";"Hellion";"Factory";174;2
"Building";"Refinery";NA;174;0
"Unit";"Hellion";"Factory";174;2
"Building";"Refinery";NA;174;0
"Unit";"Hellion";"Factory";174;2
"Building";"CommandCenter";NA;166;0
"Building";"FactoryTechLab";NA;180;0
"Unit";"Hellion";"Factory";186;2
"Unit";"Hellion";"Factory";186;2
"Building";"FactoryTechLab";NA;186;0
"Unit";"Hellion";"Factory";190;2
"Unit";"Hellion";"Factory";190;2
"Unit";"Hellion";"Factory";190;2
"Unit";"Hellion";"Factory";190;2
"Unit";"Liberator";"Starport";190;3
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";185;0
"Unit";"Liberator";"Starport";198;3
"Unit";"Hellion";"Factory";201;2
"Unit";"Hellion";"Factory";201;2
"Building";"CommandCenter";NA;190;0
"Unit";"Cyclone";"Factory";201;3
"Unit";"Cyclone";"Factory";201;3
"Unit";"Cyclone";"Factory";201;3
"Unit";"Hellion";"Factory";204;2
"Unit";"Hellion";"Factory";206;2
"Unit";"Hellion";"Factory";206;2
"Unit";"Hellion";"Factory";208;2
"Unit";"Hellion";"Factory";208;2
"Unit";"Liberator";"Starport";201;3
"Unit";"Hellion";"Factory";208;2
"Unit";"Hellion";"Factory";211;2
"Unit";"Hellion";"Factory";217;2
"Unit";"Medivac";"Starport";208;2
"Unit";"Hellion";"Factory";217;2
