"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Refinery";NA;15
"Building";"Barracks";NA;16
"Unit";"Reaper";"Barracks";19
"Building";"CommandCenter";NA;20
"Unit";"Reaper";"Barracks";21
"Building";"Factory";NA;22
"Building";"Refinery";NA;23
"Unit";"Marine";"Barracks";24
"Unit";"Hellion";"Factory";26
"Building";"Starport";NA;28
"Unit";"Marine";"Barracks";29
"Unit";"Marine";"Barracks";31
"Unit";"Cyclone";"Factory";32
"Building";"BarracksReactor";NA;39
"Building";"FactoryTechLab";NA;42
"Building";"StarportTechLab";NA;42
"Building";"CommandCenter";NA;43
"Unit";"Marine";"Barracks";44
"Unit";"Marine";"Barracks";45
"Building";"Bunker";NA;47
"Unit";"Raven";"Starport";49
"Unit";"Marine";"Barracks";51
"Unit";"Marine";"Barracks";52
"Building";"Refinery";NA;54
"Building";"Refinery";NA;54
"Unit";"Marine";"Barracks";55
"Unit";"Marine";"Barracks";56
"Building";"EngineeringBay";NA;61
"Building";"EngineeringBay";NA;61
"Building";"Barracks";NA;62
"Building";"StarportReactor";NA;63
"Building";"Barracks";NA;63
"Unit";"Marine";"Barracks";66
"Upgrade";"Stimpack";"TechLab";68
"Building";"StarportReactor";NA;70
"Unit";"Marine";"Barracks";70
"Unit";"Marine";"Barracks";72
"Building";"Barracks";NA;73
"Upgrade";"TerranInfantryWeaponsLevel1";"EngineeringBay";75
"Building";"MissileTurret";NA;76
"Unit";"Marine";"Barracks";76
"Unit";"Marine";"Barracks";77
"Unit";"Marine";"Barracks";78
"Building";"SensorTower";NA;79
"Building";"Barracks";NA;80
"Unit";"Marine";"Barracks";81
"Unit";"Marine";"Barracks";82
"Building";"Refinery";NA;84
"Building";"Refinery";NA;84
"Unit";"Marine";"Barracks";84
"Unit";"Marine";"Barracks";85
"Unit";"Marine";"Barracks";86
"Unit";"Marine";"Barracks";87
"Unit";"Marine";"Barracks";90
"Unit";"Medivac";"Starport";92
"Unit";"Marine";"Barracks";94
"Unit";"Marine";"Barracks";95
