"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;14;0
"Building";"Refinery";NA;16;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Factory";NA;19;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"Cyclone";"Factory";23;3
"Building";"BarracksReactor";NA;23;0
"Building";"Starport";NA;23;0
"Unit";"Marine";"Barracks";28;1
"Unit";"Marine";"Barracks";28;1
"Building";"StarportTechLab";NA;29;0
"Unit";"Cyclone";"Factory";28;3
"Building";"CommandCenter";NA;22;0
"Building";"Refinery";NA;34;0
"Unit";"Raven";"Starport";34;2
"Unit";"Cyclone";"Factory";35;3
"Unit";"Cyclone";"Factory";35;3
"Building";"Refinery";NA;47;0
"Unit";"Cyclone";"Factory";49;3
"Unit";"Cyclone";"Factory";49;3
"Unit";"Cyclone";"Factory";60;3
"Unit";"Cyclone";"Factory";60;3
"Building";"BarracksTechLab";NA;62;0
"Unit";"Raven";"Starport";61;2
"Unit";"Cyclone";"Factory";73;3
"Unit";"Cyclone";"Factory";73;3
