"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Building";"Refinery";NA;15;0
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Unit";"SCV";"Command Center";18;1
"Unit";"Reaper";"Barracks";18;1
"Unit";"SCV";"Command Center";19;1
"Building";"Refinery";NA;19;0
"Unit";"Marine";"Barracks";19;1
"Building";"SupplyDepot";NA;22;0
"Unit";"SCV";"Command Center";22;1
"Building";"Bunker";NA;22;0
"Building";"Factory";NA;21;0
"Building";"CommandCenter";NA;19;0
"Unit";"SCV";"Command Center";23;1
"Unit";"Marine";"Barracks";22;1
"Unit";"SCV";"Command Center";23;1
"Unit";"Marine";"Barracks";25;1
"Unit";"SCV";"Command Center";26;1
"Unit";"Cyclone";"Factory";25;3
"Building";"Starport";NA;24;0
"Unit";"Marine";"Barracks";26;1
"Unit";"SCV";"Command Center";31;1
"Building";"FactoryTechLab";NA;31;0
"Unit";"SCV";"Command Center";32;1
"Unit";"SCV";"Command Center";33;1
"Unit";"Marine";"Barracks";32;1
"Building";"SupplyDepot";NA;32;0
"Unit";"SCV";"Command Center";36;1
"Building";"EngineeringBay";NA;33;0
"Unit";"SCV";"Command Center";37;1
"Unit";"Cyclone";"Factory";36;3
"Unit";"Marine";"Barracks";37;1
"Unit";"SCV";"Command Center";37;1
"Building";"MissileTurret";NA;37;0
"Building";"MissileTurret";NA;37;0
"Unit";"SCV";"Command Center";42;1
"Unit";"SCV";"Command Center";43;1
"Building";"SupplyDepot";NA;41;0
"Unit";"SCV";"Command Center";45;1
"Unit";"SCV";"Command Center";45;1
"Unit";"Marine";"Barracks";45;1
"Unit";"Marine";"Barracks";47;1
"Building";"SupplyDepot";NA;48;0
"Building";"SupplyDepot";NA;48;0
