"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Refinery";NA;21;0
"Building";"BarracksReactor";NA;20;0
"Unit";"Marine";"Barracks";23;1
"Unit";"Marine";"Barracks";23;1
"Building";"CommandCenter";NA;19;0
"Building";"Factory";NA;22;0
"Unit";"Marine";"Barracks";25;1
"Unit";"Marine";"Barracks";25;1
"Unit";"Marine";"Barracks";30;1
"Unit";"Marine";"Barracks";30;1
"Unit";"Cyclone";"Factory";30;3
"Building";"Starport";NA;28;0
"Unit";"Marine";"Barracks";32;1
"Unit";"Marine";"Barracks";33;1
"Building";"EngineeringBay";NA;34;0
"Building";"FactoryTechLab";NA;38;0
"Unit";"Marine";"Barracks";41;1
"Unit";"Marine";"Barracks";41;1
"Building";"MissileTurret";NA;42;0
"Building";"MissileTurret";NA;50;0
"Unit";"Marine";"Barracks";51;1
"Unit";"Medivac";"Starport";49;2
"Unit";"Marine";"Barracks";51;1
"Building";"FactoryTechLab";NA;58;0
"Building";"Refinery";NA;61;0
"Building";"Refinery";NA;61;0
"Unit";"Raven";"Starport";59;2
"Building";"CommandCenter";NA;61;0
"Building";"MissileTurret";NA;73;0
"Building";"MissileTurret";NA;74;0
"Building";"MissileTurret";NA;74;0
"Building";"Factory";NA;71;0
"Building";"Factory";NA;71;0
"Building";"StarportReactor";NA;73;0
"Building";"Refinery";NA;78;0
"Building";"Refinery";NA;79;0
"Building";"Armory";NA;76;0
"Building";"Armory";NA;76;0
"Unit";"Hellion";"Factory";81;2
"Unit";"Hellion";"Factory";81;2
"Building";"CommandCenter";NA;75;0
"Unit";"Hellion";"Factory";85;2
"Unit";"Hellion";"Factory";87;2
"Unit";"Hellion";"Factory";94;2
"Unit";"Hellion";"Factory";96;2
"Building";"Factory";NA;92;0
"Building";"Factory";NA;92;0
"Unit";"Hellion";"Factory";101;2
"Unit";"Hellion";"Factory";103;2
"Building";"FactoryTechLab";NA;105;0
"Building";"FactoryTechLab";NA;105;0
"Building";"SensorTower";NA;109;0
"Building";"MissileTurret";NA;109;0
"Building";"SensorTower";NA;109;0
"Building";"Refinery";NA;109;0
"Building";"Refinery";NA;109;0
"Unit";"Hellion";"Factory";109;2
"Unit";"Hellion";"Factory";109;2
"Unit";"Hellion";"Factory";109;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";101;0
"Unit";"Hellion";"Factory";111;2
"Unit";"Hellion";"Factory";113;2
"Building";"CommandCenter";NA;109;0
"Unit";"Thor";"Factory";119;6
"Unit";"Thor";"Factory";119;6
"Unit";"Thor";"Factory";119;6
"Unit";"Thor";"Factory";119;6
"Building";"SensorTower";NA;137;0
"Building";"MissileTurret";NA;137;0
"Building";"CommandCenter";NA;119;0
"Unit";"Thor";"Factory";131;6
"Building";"Refinery";NA;143;0
"Building";"Refinery";NA;143;0
"Unit";"Thor";"Factory";137;6
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";119;0
"Unit";"Thor";"Factory";143;6
"Unit";"Thor";"Factory";143;6
"Unit";"Thor";"Factory";161;6
"Unit";"Thor";"Factory";161;6
"Building";"MissileTurret";NA;167;0
"Unit";"Thor";"Factory";167;6
"Unit";"Thor";"Factory";167;6
"Unit";"Thor";"Factory";173;6
"Unit";"Thor";"Factory";179;6
"Unit";"Thor";"Factory";179;6
"Building";"MissileTurret";NA;203;0
"Unit";"Thor";"Factory";203;6
"Unit";"Thor";"Factory";203;6
"Unit";"Thor";"Factory";209;6
"Unit";"Thor";"Factory";209;6
"Building";"Starport";NA;233;0
"Unit";"Liberator";"Starport";233;3
"Building";"Starport";NA;233;0
"Unit";"Liberator";"Starport";233;3
"Building";"Refinery";NA;233;0
"Building";"StarportTechLab";NA;233;0
"Building";"StarportTechLab";NA;239;0
"Unit";"Thor";"Factory";233;6
"Building";"Refinery";NA;239;0
"Unit";"Thor";"Factory";239;6
"Unit";"Thor";"Factory";239;6
"Unit";"Thor";"Factory";245;6
"Upgrade";"TerranVehicleWeaponsLevel3";"Armory";233;0
"Unit";"Liberator";"Starport";245;3
"Unit";"Liberator";"Starport";245;3
"Unit";"Thor";"Factory";245;6
"Unit";"Thor";"Factory";245;6
"Unit";"Thor";"Factory";251;6
"Unit";"Liberator";"Starport";263;3
