"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";16;1
"Building";"Barracks";NA;15;0
"Unit";"SCV";"Command Center";18;1
"Unit";"Marine";"Barracks";18;1
"Unit";"Marine";"Barracks";19;1
"Building";"Bunker";NA;19;0
"Building";"Refinery";NA;20;0
"Unit";"SCV";"Command Center";20;1
"Unit";"SCV";"Command Center";21;1
"Building";"SupplyDepot";NA;21;0
"Building";"CommandCenter";NA;17;0
"Building";"Refinery";NA;21;0
"Unit";"SCV";"Command Center";23;1
"Unit";"Marine";"Barracks";23;1
"Unit";"SCV";"Command Center";23;1
"Building";"Refinery";NA;23;0
"Building";"Refinery";NA;23;0
"Unit";"Marine";"Barracks";24;1
"Unit";"SCV";"Command Center";25;1
"Unit";"SCV";"Command Center";26;1
"Unit";"SCV";"Command Center";27;1
"Unit";"SCV";"Command Center";28;1
"Building";"Factory";NA;25;0
"Unit";"SCV";"Command Center";30;1
"Unit";"SCV";"Command Center";30;1
"Building";"BarracksReactor";NA;27;0
"Unit";"SCV";"Command Center";31;1
"Unit";"SCV";"Command Center";32;1
"Unit";"SCV";"Command Center";33;1
"Building";"Factory";NA;29;0
"Unit";"SCV";"Command Center";34;1
"Unit";"SCV";"Command Center";36;1
"Building";"Starport";NA;32;0
"Unit";"SCV";"Command Center";36;1
"Building";"FactoryTechLab";NA;36;0
"Unit";"Cyclone";"Factory";37;3
"Building";"SupplyDepot";NA;37;0
"Unit";"Cyclone";"Factory";37;3
"Unit";"SCV";"Command Center";38;1
"Building";"SupplyDepot";NA;37;0
"Building";"BarracksReactor";NA;35;0
"Unit";"SCV";"Command Center";42;1
"Unit";"SCV";"Command Center";45;1
"Building";"EngineeringBay";NA;39;0
"Unit";"SCV";"Command Center";48;1
