"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"Marine";"Barracks";19;1
"Building";"Refinery";NA;21;0
"Unit";"Marine";"Barracks";23;1
"Building";"Bunker";NA;23;0
"Building";"CommandCenter";NA;19;0
"Building";"Factory";NA;21;0
"Building";"BarracksReactor";NA;25;0
"Unit";"Hellion";"Factory";27;2
"Unit";"Marine";"Barracks";28;1
"Unit";"Marine";"Barracks";28;1
"Building";"Starport";NA;27;0
"Unit";"Marine";"Barracks";35;1
"Unit";"Marine";"Barracks";35;1
"Unit";"Cyclone";"Factory";33;3
"Building";"StarportTechLab";NA;35;0
"Unit";"Marine";"Barracks";42;1
"Building";"FactoryTechLab";NA;42;0
"Unit";"Marine";"Barracks";44;1
"Unit";"Banshee";"Starport";42;3
"Unit";"Marine";"Barracks";48;1
"Unit";"Marine";"Barracks";48;1
"Unit";"Marine";"Barracks";58;1
"Unit";"Marine";"Barracks";58;1
"Unit";"Banshee";"Starport";53;3
"Building";"CommandCenter";NA;45;0
"Building";"Refinery";NA;58;0
"Building";"Refinery";NA;58;0
"Unit";"Marine";"Barracks";71;1
"Unit";"Marine";"Barracks";71;1
"Building";"EngineeringBay";NA;77;0
"Building";"StarportReactor";NA;75;0
"Building";"Factory";NA;75;0
"Unit";"Marine";"Barracks";80;1
"Unit";"Marine";"Barracks";80;1
"Building";"Factory";NA;77;0
"Unit";"Hellion";"Factory";87;2
"Unit";"Hellion";"Factory";87;2
"Building";"MissileTurret";NA;89;0
"Building";"MissileTurret";NA;89;0
"Building";"MissileTurret";NA;89;0
"Building";"MissileTurret";NA;91;0
"Unit";"Hellion";"Factory";95;2
"Unit";"Hellion";"Factory";95;2
"Building";"SensorTower";NA;99;0
"Unit";"Hellion";"Factory";104;2
"Unit";"Hellion";"Factory";104;2
"Building";"SensorTower";NA;107;0
"Unit";"Hellion";"Factory";107;2
"Building";"SensorTower";NA;107;0
"Building";"Refinery";NA;107;0
"Building";"Refinery";NA;108;0
"Unit";"Hellion";"Factory";109;2
"Unit";"Hellion";"Factory";111;2
"Building";"SensorTower";NA;123;0
"Unit";"Hellion";"Factory";126;2
"Unit";"Hellion";"Factory";126;2
"Building";"Armory";NA;114;0
"Building";"Armory";NA;114;0
"Unit";"Hellion";"Factory";136;2
"Unit";"Hellion";"Factory";136;2
"Building";"CommandCenter";NA;114;0
"Building";"MissileTurret";NA;146;0
"Building";"MissileTurret";NA;146;0
"Building";"MissileTurret";NA;146;0
"Building";"MissileTurret";NA;146;0
"Building";"MissileTurret";NA;146;0
"Building";"MissileTurret";NA;146;0
"Building";"Refinery";NA;146;0
"Building";"SensorTower";NA;146;0
