"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;14;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Refinery";NA;20;0
"Unit";"Reaper";"Barracks";20;1
"Building";"Factory";NA;19;0
"Building";"CommandCenter";NA;19;0
"Building";"BarracksReactor";NA;23;0
"Unit";"Cyclone";"Factory";24;3
"Unit";"Cyclone";"Factory";31;3
"Unit";"Cyclone";"Factory";31;3
"Building";"BarracksTechLab";NA;31;0
"Building";"Refinery";NA;33;0
"Unit";"Hellion";"Factory";39;2
"Building";"CommandCenter";NA;28;0
"Building";"Factory";NA;33;0
"Unit";"Cyclone";"Factory";41;3
"Building";"Refinery";NA;45;0
"Unit";"Cyclone";"Factory";48;3
"Building";"Starport";NA;50;0
"Unit";"Cyclone";"Factory";58;3
"Unit";"Cyclone";"Factory";58;3
"Building";"EngineeringBay";NA;62;0
"Unit";"Hellion";"Factory";62;2
"Unit";"Hellion";"Factory";70;2
"Building";"Refinery";NA;72;0
"Building";"Armory";NA;62;0
"Building";"Armory";NA;68;0
"Building";"Refinery";NA;74;0
"Unit";"Hellion";"Factory";77;2
"Unit";"Hellion";"Factory";85;2
"Building";"Factory";NA;84;0
"Building";"Factory";NA;84;0
"Building";"SensorTower";NA;88;0
"Unit";"Hellion";"Factory";94;2
"Unit";"Hellion";"Factory";94;2
"Unit";"Cyclone";"Factory";96;3
"Unit";"Cyclone";"Factory";96;3
"Unit";"Hellion";"Factory";103;2
"Unit";"Hellion";"Factory";103;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";88;0
"Unit";"Cyclone";"Factory";112;3
"Unit";"Cyclone";"Factory";112;3
"Unit";"Liberator";"Starport";103;3
"Unit";"Cyclone";"Factory";118;3
"Unit";"Hellion";"Factory";124;2
"Building";"FactoryTechLab";NA;136;0
"Unit";"Cyclone";"Factory";134;3
"Unit";"Cyclone";"Factory";134;3
"Unit";"Marine";"Barracks";136;1
"Unit";"Hellion";"Factory";138;2
"Building";"CommandCenter";NA;118;0
"Unit";"Hellion";"Factory";138;2
"Unit";"Hellion";"Factory";145;2
"Building";"FactoryTechLab";NA;153;0
"Unit";"Hellion";"Factory";153;2
"Unit";"Hellion";"Factory";153;2
"Unit";"Thor";"Factory";145;6
"Unit";"Hellion";"Factory";167;2
"Unit";"Hellion";"Factory";167;2
"Unit";"Hellion";"Factory";174;2
"Unit";"Hellion";"Factory";174;2
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";153;0
