"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"Reaper";"Barracks";20;1
"Building";"Refinery";NA;21;0
"Building";"Factory";NA;21;0
"Building";"CommandCenter";NA;19;0
"Unit";"Hellion";"Factory";24;2
"Building";"Starport";NA;24;0
"Building";"FactoryTechLab";NA;29;0
"Unit";"Marine";"Barracks";29;1
"Building";"StarportTechLab";NA;30;0
"Unit";"Marine";"Barracks";32;1
"Unit";"Marine";"Barracks";38;1
"Unit";"Banshee";"Starport";33;3
"Unit";"Marine";"Barracks";39;1
"Building";"Barracks";NA;37;0
"Building";"Barracks";NA;38;0
