"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Barracks";NA;15;0
"Unit";"Marine";"Barracks";19;1
"Unit";"Marine";"Barracks";19;1
"Building";"Bunker";NA;19;0
"Building";"Refinery";NA;20;0
"Building";"Refinery";NA;20;0
"Unit";"Marine";"Barracks";22;1
"Building";"Refinery";NA;22;0
"Unit";"Marine";"Barracks";23;1
"Building";"CommandCenter";NA;19;0
"Building";"BarracksTechLab";NA;27;0
"Building";"Factory";NA;27;0
"Building";"BarracksReactor";NA;29;0
"Building";"Starport";NA;31;0
"Unit";"Marine";"Barracks";36;1
"Unit";"Marine";"Barracks";39;1
"Unit";"Marine";"Barracks";42;1
"Building";"EngineeringBay";NA;42;0
"Building";"MissileTurret";NA;50;0
"Building";"MissileTurret";NA;50;0
"Building";"Refinery";NA;53;0
"Unit";"Marine";"Barracks";54;1
"Building";"CommandCenter";NA;50;0
"Building";"BarracksTechLab";NA;59;0
"Building";"Factory";NA;56;0
"Building";"MissileTurret";NA;61;0
"Building";"MissileTurret";NA;61;0
"Building";"Factory";NA;56;0
"Building";"MissileTurret";NA;62;0
"Building";"SensorTower";NA;62;0
"Building";"Refinery";NA;62;0
"Building";"Refinery";NA;63;0
"Building";"StarportReactor";NA;66;0
"Building";"MissileTurret";NA;74;0
"Building";"MissileTurret";NA;74;0
"Building";"MissileTurret";NA;74;0
"Building";"MissileTurret";NA;74;0
"Building";"MissileTurret";NA;74;0
"Building";"Factory";NA;72;0
"Building";"Factory";NA;72;0
"Building";"CommandCenter";NA;66;0
"Building";"FactoryTechLab";NA;75;0
"Building";"FactoryTechLab";NA;75;0
"Building";"Refinery";NA;78;0
"Building";"Refinery";NA;78;0
"Building";"MissileTurret";NA;81;0
"Building";"MissileTurret";NA;81;0
"Building";"MissileTurret";NA;81;0
"Building";"CommandCenter";NA;78;0
"Building";"Armory";NA;87;0
"Building";"Armory";NA;87;0
"Building";"MissileTurret";NA;88;0
"Building";"CommandCenter";NA;84;0
"Building";"Refinery";NA;88;0
"Building";"MissileTurret";NA;88;0
"Building";"MissileTurret";NA;88;0
"Building";"Starport";NA;88;0
"Building";"Starport";NA;88;0
"Building";"MissileTurret";NA;88;0
"Building";"MissileTurret";NA;88;0
"Building";"Starport";NA;88;0
"Building";"Refinery";NA;88;0
"Building";"StarportTechLab";NA;91;0
"Building";"StarportTechLab";NA;91;0
"Building";"StarportTechLab";NA;91;0
"Building";"Refinery";NA;91;0
"Building";"MissileTurret";NA;91;0
"Building";"MissileTurret";NA;91;0
"Building";"MissileTurret";NA;95;0
"Building";"MissileTurret";NA;95;0
"Building";"Refinery";NA;105;0
"Unit";"Raven";"Starport";104;2
"Unit";"Raven";"Starport";104;2
"Unit";"Raven";"Starport";104;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";95;0
"Unit";"Hellion";"Factory";107;2
"Unit";"Hellion";"Factory";107;2
"Unit";"Hellion";"Factory";107;2
"Unit";"Hellion";"Factory";109;2
"Unit";"Hellion";"Factory";109;2
"Unit";"Hellion";"Factory";113;2
"Unit";"Hellion";"Factory";115;2
"Unit";"Hellion";"Factory";117;2
"Unit";"Hellion";"Factory";119;2
"Unit";"Raven";"Starport";107;2
"Unit";"Raven";"Starport";109;2
"Unit";"Raven";"Starport";109;2
"Unit";"Liberator";"Starport";115;3
"Unit";"Liberator";"Starport";115;3
"Building";"Refinery";NA;141;0
"Building";"CommandCenter";NA;107;0
"Building";"MissileTurret";NA;142;0
"Building";"Refinery";NA;141;0
"Building";"MissileTurret";NA;142;0
"Building";"MissileTurret";NA;142;0
"Unit";"Raven";"Starport";135;2
"Unit";"Raven";"Starport";137;2
"Unit";"Raven";"Starport";137;2
"Unit";"Hellion";"Factory";150;2
"Unit";"Hellion";"Factory";150;2
"Unit";"Hellion";"Factory";150;2
"Unit";"Hellion";"Factory";150;2
"Unit";"Hellion";"Factory";150;2
"Unit";"Hellion";"Factory";156;2
"Unit";"Hellion";"Factory";156;2
"Unit";"Raven";"Starport";150;2
"Unit";"Raven";"Starport";152;2
"Unit";"Raven";"Starport";152;2
"Building";"MissileTurret";NA;174;0
"Building";"MissileTurret";NA;178;0
"Unit";"Hellion";"Factory";178;2
"Unit";"Hellion";"Factory";178;2
"Unit";"Hellion";"Factory";178;2
"Building";"Refinery";NA;179;0
"Unit";"Raven";"Starport";172;2
"Unit";"Raven";"Starport";174;2
"Unit";"Raven";"Starport";174;2
"Building";"MissileTurret";NA;187;0
"Building";"MissileTurret";NA;193;0
"Building";"MissileTurret";NA;193;0
"Unit";"Raven";"Starport";187;2
"Unit";"Raven";"Starport";189;2
"Unit";"Raven";"Starport";189;2
"Building";"Starport";NA;193;0
"Building";"Starport";NA;193;0
"Building";"Starport";NA;193;0
"Building";"MissileTurret";NA;199;0
"Building";"MissileTurret";NA;199;0
"Building";"MissileTurret";NA;199;0
"Building";"CommandCenter";NA;187;0
"Building";"StarportTechLab";NA;199;0
"Building";"StarportTechLab";NA;199;0
"Building";"StarportTechLab";NA;199;0
"Unit";"Raven";"Starport";193;2
"Unit";"Raven";"Starport";195;2
"Unit";"Raven";"Starport";195;2
"Building";"Refinery";NA;199;0
"Building";"Refinery";NA;199;0
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";193;0
"Building";"MissileTurret";NA;205;0
"Building";"MissileTurret";NA;205;0
"Building";"MissileTurret";NA;205;0
"Building";"MissileTurret";NA;205;0
"Building";"MissileTurret";NA;205;0
"Building";"CommandCenter";NA;199;0
"Building";"MissileTurret";NA;205;0
"Unit";"Raven";"Starport";199;2
"Unit";"Raven";"Starport";201;2
"Unit";"Raven";"Starport";201;2
"Unit";"Raven";"Starport";205;2
"Unit";"Raven";"Starport";205;2
"Unit";"Raven";"Starport";205;2
"Building";"MissileTurret";NA;205;0
"Building";"MissileTurret";NA;205;0
"Unit";"Raven";"Starport";205;2
"Unit";"Raven";"Starport";207;2
"Unit";"Raven";"Starport";207;2
"Building";"CommandCenter";NA;205;0
"Building";"MissileTurret";NA;217;0
"Building";"MissileTurret";NA;217;0
"Building";"MissileTurret";NA;217;0
"Unit";"Raven";"Starport";211;2
"Unit";"Raven";"Starport";213;2
"Unit";"Raven";"Starport";215;2
"Unit";"Raven";"Starport";217;2
"Unit";"Raven";"Starport";219;2
"Unit";"Raven";"Starport";219;2
"Unit";"Thor";"Factory";223;6
"Unit";"Thor";"Factory";223;6
"Unit";"Thor";"Factory";223;6
"Unit";"Raven";"Starport";223;2
"Unit";"Raven";"Starport";225;2
"Unit";"Raven";"Starport";227;2
"Unit";"Hellion";"Factory";229;2
"Unit";"Hellion";"Factory";229;2
"Unit";"Hellion";"Factory";229;2
"Unit";"Hellion";"Factory";235;2
"Building";"Refinery";NA;265;0
"Unit";"Raven";"Starport";229;2
"Unit";"Raven";"Starport";231;2
"Unit";"Raven";"Starport";231;2
"Building";"CommandCenter";NA;229;0
"Unit";"Raven";"Starport";253;2
"Unit";"Raven";"Starport";255;2
"Unit";"Raven";"Starport";257;2
"Unit";"Raven";"Starport";267;2
"Unit";"Raven";"Starport";269;2
"Unit";"Raven";"Starport";269;2
"Unit";"Raven";"Starport";273;2
"Unit";"Raven";"Starport";275;2
"Unit";"Raven";"Starport";277;2
"Building";"Refinery";NA;279;0
"Building";"MissileTurret";NA;279;0
"Building";"Refinery";NA;279;0
"Building";"MissileTurret";NA;279;0
"Building";"MissileTurret";NA;279;0
"Building";"CommandCenter";NA;267;0
"Building";"MissileTurret";NA;291;0
"Building";"MissileTurret";NA;291;0
"Building";"MissileTurret";NA;291;0
"Unit";"Raven";"Starport";279;2
"Unit";"Raven";"Starport";281;2
"Unit";"Raven";"Starport";281;2
"Unit";"Raven";"Starport";285;2
"Unit";"Raven";"Starport";287;2
"Unit";"Raven";"Starport";289;2
"Unit";"Thor";"Factory";291;6
"Unit";"Thor";"Factory";291;6
"Building";"CommandCenter";NA;285;0
"Unit";"Raven";"Starport";291;2
"Unit";"Raven";"Starport";293;2
"Unit";"Raven";"Starport";293;2
"Building";"Factory";NA;297;0
"Building";"Factory";NA;297;0
"Building";"Factory";NA;297;0
"Unit";"Raven";"Starport";297;2
"Building";"Factory";NA;299;0
"Unit";"Raven";"Starport";299;2
"Unit";"Thor";"Factory";301;6
"Unit";"Raven";"Starport";301;2
"Unit";"Thor";"Factory";303;6
"Unit";"Thor";"Factory";303;6
"Building";"MissileTurret";NA;318;0
"Building";"MissileTurret";NA;345;0
"Building";"MissileTurret";NA;345;0
"Unit";"Thor";"Factory";315;6
"Building";"FactoryTechLab";NA;351;0
"Building";"FactoryTechLab";NA;351;0
"Building";"FactoryTechLab";NA;351;0
"Building";"FactoryTechLab";NA;351;0
"Building";"MissileTurret";NA;352;0
"Unit";"Raven";"Starport";318;2
"Unit";"Raven";"Starport";320;2
"Upgrade";"TerranShipWeaponsLevel1";"Armory";301;0
"Building";"MissileTurret";NA;362;0
"Unit";"Thor";"Factory";362;6
"Building";"Refinery";NA;368;0
"Building";"Refinery";NA;368;0
"Building";"CommandCenter";NA;362;0
"Building";"CommandCenter";NA;362;0
"Building";"CommandCenter";NA;362;0
"Unit";"Raven";"Starport";368;2
"Building";"MissileTurret";NA;370;0
"Building";"MissileTurret";NA;370;0
"Building";"MissileTurret";NA;370;0
"Building";"MissileTurret";NA;370;0
"Building";"MissileTurret";NA;370;0
"Building";"Refinery";NA;370;0
"Building";"Refinery";NA;370;0
"Unit";"Thor";"Factory";370;6
"Building";"MissileTurret";NA;370;0
"Building";"MissileTurret";NA;370;0
"Building";"MissileTurret";NA;370;0
"Building";"MissileTurret";NA;370;0
"Unit";"Raven";"Starport";376;2
"Unit";"Raven";"Starport";376;2
"Unit";"Raven";"Starport";376;2
"Unit";"Raven";"Starport";376;2
"Building";"MissileTurret";NA;380;0
"Building";"MissileTurret";NA;384;0
"Unit";"Raven";"Starport";376;2
"Unit";"Raven";"Starport";376;2
"Unit";"Raven";"Starport";376;2
"Unit";"Raven";"Starport";378;2
"Unit";"Raven";"Starport";380;2
"Unit";"Thor";"Factory";384;6
"Unit";"Thor";"Factory";384;6
"Unit";"Thor";"Factory";384;6
