"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Refinery";NA;19;0
"Building";"Factory";NA;20;0
"Building";"BarracksReactor";NA;21;0
"Building";"CommandCenter";NA;19;0
"Building";"BarracksTechLab";NA;25;0
"Unit";"Hellion";"Factory";25;2
"Unit";"Hellion";"Factory";25;2
"Building";"Starport";NA;24;0
"Unit";"Hellion";"Factory";26;2
"Unit";"Hellion";"Factory";28;2
"Unit";"Hellion";"Factory";33;2
"Unit";"Hellion";"Factory";35;2
"Unit";"Hellion";"Factory";47;2
"Unit";"Banshee";"Starport";39;3
"Unit";"Hellion";"Factory";47;2
"Unit";"Hellion";"Factory";60;2
"Unit";"Hellion";"Factory";60;2
"Unit";"Banshee";"Starport";51;3
"Unit";"Hellion";"Factory";64;2
"Unit";"Hellion";"Factory";66;2
"Building";"Refinery";NA;71;0
"Building";"Refinery";NA;71;0
"Building";"CommandCenter";NA;58;0
"Unit";"Banshee";"Starport";68;3
"Building";"Factory";NA;71;0
"Building";"Factory";NA;71;0
"Unit";"Hellion";"Factory";84;2
"Unit";"Hellion";"Factory";84;2
"Building";"FactoryTechLab";NA;86;0
"Building";"StarportReactor";NA;86;0
"Unit";"Hellion";"Factory";86;2
"Unit";"Hellion";"Factory";88;2
"Building";"Armory";NA;86;0
"Building";"Armory";NA;86;0
"Unit";"Hellion";"Factory";96;2
"Unit";"Hellion";"Factory";96;2
"Building";"Refinery";NA;96;0
"Building";"Refinery";NA;96;0
"Building";"FactoryTechLab";NA;96;0
"Unit";"Hellion";"Factory";103;2
"Unit";"Liberator";"Starport";96;3
"Unit";"Liberator";"Starport";96;3
"Building";"Factory";NA;96;0
"Building";"Factory";NA;96;0
"Unit";"Hellion";"Factory";105;2
"Unit";"Hellion";"Factory";119;2
"Unit";"Hellion";"Factory";119;2
"Building";"FactoryReactor";NA;119;0
"Unit";"Liberator";"Starport";122;3
"Unit";"Liberator";"Starport";122;3
"Unit";"Hellion";"Factory";127;2
"Unit";"Hellion";"Factory";127;2
"Unit";"Hellion";"Factory";127;2
"Unit";"Hellion";"Factory";127;2
"Unit";"Hellion";"Factory";144;2
"Unit";"Hellion";"Factory";144;2
"Unit";"Hellion";"Factory";144;2
"Building";"CommandCenter";NA;122;0
"Unit";"Hellion";"Factory";144;2
"Unit";"Medivac";"Starport";147;2
"Unit";"Medivac";"Starport";147;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";124;0
"Unit";"Hellion";"Factory";162;2
"Unit";"Hellion";"Factory";162;2
"Unit";"Hellion";"Factory";162;2
"Unit";"Hellion";"Factory";162;2
"Unit";"Hellion";"Factory";170;2
"Unit";"Hellion";"Factory";170;2
"Unit";"Hellion";"Factory";170;2
"Unit";"Hellion";"Factory";170;2
"Unit";"Hellion";"Factory";173;2
"Unit";"Hellion";"Factory";182;2
"Unit";"Hellion";"Factory";182;2
