"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"BarracksReactor";NA;20;0
"Building";"CommandCenter";NA;19;0
"Unit";"Marine";"Barracks";23;1
"Unit";"Marine";"Barracks";23;1
"Building";"Refinery";NA;23;0
"Building";"Factory";NA;22;0
"Unit";"Marine";"Barracks";27;1
"Unit";"Hellion";"Factory";27;2
"Building";"Bunker";NA;27;0
"Building";"Bunker";NA;27;0
"Unit";"Hellion";"Factory";27;2
"Building";"EngineeringBay";NA;27;0
"Building";"EngineeringBay";NA;27;0
