"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Building";"Refinery";NA;15;0
"Unit";"SCV";"Command Center";16;1
"Unit";"SCV";"Command Center";17;1
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"SCV";"Command Center";19;1
"Building";"Refinery";NA;19;0
"Building";"SupplyDepot";NA;19;0
"Unit";"Marine";"Barracks";20;1
"Unit";"SCV";"Command Center";21;1
"Unit";"SCV";"Command Center";23;1
"Building";"CommandCenter";NA;19;0
"Unit";"SCV";"Command Center";23;1
"Building";"BarracksReactor";NA;22;0
"Building";"Factory";NA;21;0
"Building";"GhostAcademy";NA;24;0
"Unit";"SCV";"Command Center";25;1
"Building";"Barracks";NA;23;0
"Building";"SupplyDepot";NA;25;0
"Unit";"Hellion";"Factory";25;2
"Building";"BarracksTechLab";NA;26;0
"Building";"BarracksTechLab";NA;26;0
"Unit";"Hellion";"Factory";26;2
"Unit";"Hellion";"Factory";26;2
"Unit";"Hellion";"Factory";30;2
"Unit";"Hellion";"Factory";32;2
"Unit";"SCV";"Command Center";32;1
"Unit";"SCV";"Command Center";32;1
"Building";"SupplyDepot";NA;32;0
"Unit";"SCV";"Command Center";38;1
"Unit";"Hellion";"Factory";36;2
"Unit";"SCV";"Command Center";38;1
"Building";"SupplyDepot";NA;38;0
"Unit";"SCV";"Command Center";42;1
"Unit";"SCV";"Command Center";42;1
"Unit";"Hellion";"Factory";42;2
"Unit";"Hellion";"Factory";42;2
"Unit";"SCV";"Command Center";42;1
"Building";"Refinery";NA;42;0
"Unit";"SCV";"Command Center";48;1
"Unit";"Hellion";"Factory";48;2
"Unit";"SCV";"Command Center";49;1
"Building";"Armory";NA;42;0
"Unit";"Hellion";"Factory";48;2
"Unit";"SCV";"Command Center";49;1
"Unit";"SCV";"Command Center";52;1
"Building";"SupplyDepot";NA;50;0
"Unit";"Hellion";"Factory";55;2
"Unit";"Hellion";"Factory";57;2
"Unit";"Hellion";"Factory";59;2
"Unit";"Hellion";"Factory";59;2
"Unit";"SCV";"Command Center";61;1
"Unit";"SCV";"Command Center";61;1
