"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Barracks";NA;16
"Building";"Refinery";NA;16
"Building";"Barracks";NA;17
"Unit";"Reaper";"Barracks";19
"Building";"Barracks";NA;20
"Building";"Refinery";NA;20
"Unit";"Reaper";"Barracks";20
"Unit";"Reaper";"Barracks";22
"Unit";"Reaper";"Barracks";24
"Unit";"Reaper";"Barracks";25
"Unit";"Reaper";"Barracks";27
"Unit";"Reaper";"Barracks";29
"Unit";"Reaper";"Barracks";30
"Building";"CommandCenter";NA;31
"Unit";"Reaper";"Barracks";32
"Building";"BarracksTechLab";NA;34
"Building";"Factory";NA;34
"Unit";"Marine";"Barracks";35
"Unit";"Marine";"Barracks";36
"Unit";"Marine";"Barracks";38
"Unit";"Marine";"Barracks";39
"Unit";"Marine";"Barracks";41
"Building";"Refinery";NA;42
"Unit";"Marine";"Barracks";42
"Unit";"Marine";"Barracks";44
"Unit";"Marine";"Barracks";45
"Upgrade";"Stimpack";"TechLab";47
"Unit";"Marine";"Barracks";47
"Building";"Starport";NA;48
"Building";"FactoryReactor";NA;48
"Building";"BarracksReactor";NA;50
"Building";"BarracksReactor";NA;50
"Unit";"Marine";"Barracks";50
"Unit";"Marine";"Barracks";54
"Unit";"Medivac";"Starport";57
"Unit";"Medivac";"Starport";59
"Unit";"Marine";"Barracks";62
"Unit";"Marine";"Barracks";63
"Unit";"Marine";"Barracks";64
"Unit";"Marine";"Barracks";66
"Building";"FactoryTechLab";NA;68
"Unit";"Marine";"Barracks";68
"Unit";"Marine";"Barracks";69
"Building";"CommandCenter";NA;71
"Unit";"Marine";"Barracks";72
"Unit";"Marine";"Barracks";74
"Unit";"Marine";"Barracks";75
"Unit";"Marine";"Barracks";76
"Unit";"Marine";"Barracks";79
"Building";"EngineeringBay";NA;81
"Building";"EngineeringBay";NA;81
"Unit";"Marine";"Barracks";81
"Unit";"Marine";"Barracks";82
"Unit";"Marine";"Barracks";83
"Building";"Barracks";NA;85
"Building";"Barracks";NA;85
"Building";"Refinery";NA;85
"Unit";"Medivac";"Starport";85
"Unit";"Medivac";"Starport";87
"Unit";"Marine";"Barracks";90
"Unit";"Marine";"Barracks";91
"Unit";"Marine";"Barracks";92
"Unit";"Marine";"Barracks";95
"Unit";"Marine";"Barracks";96
"Unit";"Marine";"Barracks";97
"Unit";"Marine";"Barracks";98
"Building";"Armory";NA;101
"Upgrade";"TerranInfantryWeaponsLevel1";"EngineeringBay";101
"Building";"BarracksTechLab";NA;101
"Building";"BarracksTechLab";NA;101
"Unit";"Marine";"Barracks";101
"Unit";"Marine";"Barracks";102
"Unit";"Medivac";"Starport";103
"Unit";"Marauder";"Barracks";105
"Unit";"Marauder";"Barracks";107
"Unit";"Marine";"Barracks";111
"Unit";"Marauder";"Barracks";112
"Unit";"Marauder";"Barracks";114
"Unit";"Marine";"Barracks";116
"Unit";"Marine";"Barracks";117
"Unit";"Marine";"Barracks";118
"Unit";"Marine";"Barracks";121
"Unit";"Marine";"Barracks";122
"Building";"Barracks";NA;123
"Building";"Barracks";NA;123
"Building";"Barracks";NA;123
"Unit";"Marauder";"Barracks";123
"Unit";"Marauder";"Barracks";125
"Unit";"Marauder";"Barracks";127
"Unit";"Marine";"Barracks";129
"Unit";"Marine";"Barracks";130
"Unit";"Marine";"Barracks";131
"Unit";"Marauder";"Barracks";133
"Unit";"Marauder";"Barracks";135
"Unit";"Marauder";"Barracks";137
"Unit";"Marine";"Barracks";139
"Unit";"Marine";"Barracks";140
"Unit";"Medivac";"Starport";141
"Unit";"Medivac";"Starport";143
"Unit";"Marine";"Barracks";145
"Unit";"Marine";"Barracks";146
"Building";"BarracksTechLab";NA;147
"Building";"BarracksTechLab";NA;147
"Building";"BarracksTechLab";NA;147
"Unit";"Marine";"Barracks";147
"Unit";"Marine";"Barracks";148
"Unit";"Marauder";"Barracks";150
"Unit";"Marine";"Barracks";154
"Unit";"Marine";"Barracks";155
"Unit";"Marine";"Barracks";156
