"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Refinery";NA;15
"Building";"Barracks";NA;16
"Unit";"Reaper";"Barracks";19
"Building";"CommandCenter";NA;20
"Building";"Factory";NA;20
"Building";"Refinery";NA;21
"Building";"BarracksReactor";NA;21
"Building";"Starport";NA;24
"Unit";"Marine";"Barracks";24
"Unit";"Marine";"Barracks";25
"Unit";"Marine";"Barracks";27
"Unit";"Marine";"Barracks";29
"Building";"FactoryTechLab";NA;30
"Unit";"Medivac";"Starport";31
"Unit";"Marine";"Barracks";33
"Unit";"Marine";"Barracks";34
"Unit";"Hellion";"Factory";39
"Unit";"Hellion";"Factory";41
"Building";"BarracksTechLab";NA;44
"Unit";"Raven";"Starport";46
"Unit";"Hellion";"Factory";49
"Unit";"Hellion";"Factory";51
"Building";"CommandCenter";NA;57
"Upgrade";"Stimpack";"TechLab";59
"Building";"FactoryReactor";NA;59
"Building";"Barracks";NA;60
"Building";"Barracks";NA;60
"Unit";"Marine";"Barracks";60
"Unit";"Raven";"Starport";63
"Building";"EngineeringBay";NA;65
"Building";"Refinery";NA;65
"Building";"EngineeringBay";NA;65
"Building";"Refinery";NA;65
"Unit";"Marine";"Barracks";67
"Building";"FactoryReactor";NA;70
"Unit";"Marine";"Barracks";70
"Building";"Barracks";NA;74
"Building";"Barracks";NA;74
"Building";"StarportReactor";NA;74
"Unit";"Marine";"Barracks";74
"Unit";"Marine";"Barracks";75
"Unit";"Marine";"Barracks";76
"Unit";"Marine";"Barracks";77
"Unit";"Marine";"Barracks";78
"Unit";"Marine";"Barracks";81
"Upgrade";"TerranInfantryWeaponsLevel1";"EngineeringBay";82
"Unit";"Marine";"Barracks";82
"Unit";"Marine";"Barracks";83
"Unit";"Marine";"Barracks";84
"Unit";"Marine";"Barracks";85
"Unit";"Medivac";"Starport";88
"Unit";"Medivac";"Starport";90
"Unit";"Marine";"Barracks";95
"Building";"Armory";NA;96
"Building";"BarracksReactor";NA;96
"Building";"BarracksReactor";NA;96
