"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;14;0
"Building";"Refinery";NA;16;0
"Building";"Barracks";NA;15;0
"Unit";"Marine";"Barracks";20;1
"Building";"Bunker";NA;20;0
"Unit";"Marine";"Barracks";20;1
"Building";"Factory";NA;20;0
"Unit";"Marine";"Barracks";22;1
"Unit";"Marine";"Barracks";23;1
"Building";"FactoryReactor";NA;22;0
"Building";"Factory";NA;21;0
"Building";"Bunker";NA;23;0
"Unit";"Marine";"Barracks";26;1
"Building";"Armory";NA;26;0
"Unit";"Cyclone";"Factory";29;3
"Building";"FactoryReactor";NA;27;0
"Unit";"Cyclone";"Factory";29;3
"Unit";"Cyclone";"Factory";33;3
"Unit";"Cyclone";"Factory";33;3
"Unit";"Cyclone";"Factory";43;3
"Unit";"Cyclone";"Factory";43;3
"Unit";"Hellion";"Factory";49;2
"Unit";"Cyclone";"Factory";49;3
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";40;0
"Unit";"Cyclone";"Factory";49;3
"Unit";"Cyclone";"Factory";51;3
"Unit";"Cyclone";"Factory";57;3
