"Type";"UnitName";"OnBuilding";"TotalSupply";"Supply"
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";12;1
"Unit";"SCV";"Command Center";13;1
"Building";"SupplyDepot";NA;13;0
"Unit";"SCV";"Command Center";15;1
"Unit";"SCV";"Command Center";15;1
"Building";"Refinery";NA;15;0
"Unit";"SCV";"Command Center";16;1
"Building";"Barracks";NA;15;0
"Unit";"SCV";"Command Center";17;1
"Unit";"Reaper";"Barracks";19;1
"Unit";"SCV";"Command Center";19;1
"Building";"SupplyDepot";NA;19;0
"Unit";"SCV";"Command Center";20;1
"Unit";"Marine";"Barracks";19;1
"Unit";"SCV";"Command Center";21;1
"Unit";"SCV";"Command Center";23;1
"Building";"Factory";NA;21;0
"Building";"CommandCenter";NA;19;0
"Unit";"SCV";"Command Center";24;1
"Building";"BarracksReactor";NA;23;0
"Unit";"SCV";"Command Center";26;1
"Unit";"SCV";"Command Center";26;1
"Unit";"SCV";"Command Center";28;1
"Unit";"SCV";"Command Center";28;1
"Building";"Refinery";NA;27;0
"Unit";"Hellion";"Factory";28;2
"Unit";"Hellion";"Factory";28;2
"Unit";"SCV";"Command Center";28;1
"Unit";"SCV";"Command Center";29;1
"Building";"BarracksTechLab";NA;28;0
"Building";"Starport";NA;27;0
"Unit";"SCV";"Command Center";34;1
"Unit";"SCV";"Command Center";35;1
"Unit";"Hellion";"Factory";30;2
"Unit";"Hellion";"Factory";32;2
"Unit";"SCV";"Command Center";36;1
"Unit";"SCV";"Command Center";37;1
"Building";"CommandCenter";NA;26;0
"Unit";"SCV";"Command Center";44;1
"Unit";"SCV";"Command Center";44;1
"Unit";"SCV";"Command Center";46;1
"Unit";"SCV";"Command Center";46;1
"Unit";"Marine";"Barracks";46;1
"Building";"FactoryReactor";NA;44;0
"Building";"Barracks";NA;42;0
"Unit";"SCV";"Command Center";46;1
"Unit";"SCV";"Command Center";47;1
"Building";"Barracks";NA;42;0
"Unit";"SCV";"Command Center";48;1
"Building";"StarportReactor";NA;46;0
