"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;14;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Factory";NA;19;0
"Building";"BarracksReactor";NA;20;0
"Building";"Refinery";NA;21;0
"Building";"CommandCenter";NA;19;0
"Building";"BarracksTechLab";NA;24;0
"Unit";"Hellion";"Factory";24;2
"Unit";"Hellion";"Factory";24;2
"Building";"Starport";NA;23;0
"Unit";"Hellion";"Factory";29;2
"Unit";"Hellion";"Factory";29;2
"Unit";"Hellion";"Factory";34;2
"Unit";"Hellion";"Factory";34;2
"Unit";"Hellion";"Factory";37;2
"Unit";"Hellion";"Factory";39;2
"Unit";"Hellion";"Factory";48;2
"Unit";"Hellion";"Factory";49;2
"Unit";"Liberator";"Starport";43;3
"Building";"BarracksTechLab";NA;62;0
"Building";"Refinery";NA;62;0
"Building";"Refinery";NA;63;0
"Unit";"Cyclone";"Factory";63;3
"Unit";"Cyclone";"Factory";63;3
"Unit";"Hellion";"Factory";73;2
"Unit";"Hellion";"Factory";73;2
"Building";"CommandCenter";NA;58;0
"Unit";"Hellion";"Factory";81;2
"Unit";"Hellion";"Factory";81;2
"Building";"Armory";NA;74;0
"Building";"Armory";NA;74;0
"Building";"StarportReactor";NA;76;0
"Building";"Factory";NA;75;0
"Building";"Factory";NA;76;0
"Building";"Refinery";NA;89;0
"Building";"Refinery";NA;89;0
"Unit";"Thor";"Factory";89;6
"Unit";"Thor";"Factory";91;6
"Unit";"Medivac";"Starport";94;2
"Unit";"Medivac";"Starport";94;2
"Unit";"Hellion";"Factory";103;2
"Unit";"Hellion";"Factory";103;2
"Building";"Factory";NA;94;0
"Building";"Factory";NA;95;0
"Unit";"Hellion";"Factory";122;2
"Unit";"Hellion";"Factory";122;2
"Unit";"Medivac";"Starport";117;2
"Unit";"Medivac";"Starport";117;2
"Building";"FactoryTechLab";NA;124;0
"Building";"FactoryTechLab";NA;124;0
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";92;0
"Unit";"Hellion";"Factory";132;2
"Unit";"Hellion";"Factory";132;2
"Unit";"Medivac";"Starport";132;2
"Unit";"Medivac";"Starport";132;2
"Unit";"Hellion";"Factory";132;2
"Unit";"Hellion";"Factory";132;2
"Unit";"Hellion";"Factory";132;2
"Unit";"Hellion";"Factory";134;2
"Unit";"Hellion";"Factory";147;2
"Unit";"Hellion";"Factory";147;2
"Unit";"Hellion";"Factory";147;2
"Unit";"Hellion";"Factory";151;2
"Unit";"Hellion";"Factory";151;2
"Building";"EngineeringBay";NA;151;0
"Unit";"Hellion";"Factory";163;2
"Unit";"Hellion";"Factory";163;2
"Unit";"Thor";"Factory";158;6
"Building";"SensorTower";NA;166;0
"Unit";"Hellion";"Factory";171;2
"Unit";"Hellion";"Factory";171;2
"Building";"CommandCenter";NA;151;0
"Unit";"Thor";"Factory";166;6
"Unit";"Hellion";"Factory";180;2
"Unit";"Hellion";"Factory";180;2
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";151;0
"Building";"SensorTower";NA;184;0
"Unit";"Thor";"Factory";173;6
"Unit";"Hellion";"Factory";194;2
"Unit";"Hellion";"Factory";194;2
"Building";"Refinery";NA;194;0
"Building";"Refinery";NA;194;0
"Unit";"Hellion";"Factory";194;2
"Unit";"Hellion";"Factory";194;2
"Unit";"Thor";"Factory";184;6
"Unit";"Hellion";"Factory";200;2
"Unit";"Hellion";"Factory";208;2
"Unit";"Hellion";"Factory";208;2
"Unit";"Thor";"Factory";200;6
"Unit";"Hellion";"Factory";216;2
"Unit";"Thor";"Factory";204;6
"Unit";"Hellion";"Factory";216;2
"Unit";"Hellion";"Factory";218;2
"Unit";"Hellion";"Factory";220;2
"Building";"SensorTower";NA;228;0
"Unit";"Hellion";"Factory";226;2
"Unit";"Hellion";"Factory";228;2
"Unit";"Hellion";"Factory";234;2
"Unit";"Hellion";"Factory";236;2
"Unit";"Hellion";"Factory";239;2
"Unit";"Hellion";"Factory";241;2
"Unit";"Medivac";"Starport";234;2
"Unit";"Hellion";"Factory";244;2
"Building";"SensorTower";NA;249;0
"Unit";"Hellion";"Factory";249;2
"Unit";"Hellion";"Factory";251;2
"Unit";"Hellion";"Factory";253;2
"Unit";"Hellion";"Factory";261;2
"Unit";"Hellion";"Factory";271;2
"Unit";"Hellion";"Factory";271;2
"Unit";"Hellion";"Factory";271;2
"Unit";"Hellion";"Factory";271;2
"Unit";"Hellion";"Factory";271;2
