"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Barracks";NA;16
"Building";"Refinery";NA;16
"Unit";"Reaper";"Barracks";19
"Building";"CommandCenter";NA;20
"Unit";"Marine";"Barracks";21
"Building";"Factory";NA;22
"Building";"Refinery";NA;23
"Building";"BarracksReactor";NA;24
"Building";"Starport";NA;26
"Unit";"Hellion";"Factory";28
"Unit";"Hellion";"Factory";30
"Building";"BarracksTechLab";NA;32
"Unit";"Hellion";"Factory";34
"Unit";"Hellion";"Factory";36
"Unit";"Banshee";"Starport";40
"Unit";"Marine";"Barracks";47
"Unit";"Marine";"Barracks";48
"Building";"FactoryTechLab";NA;49
"Building";"EngineeringBay";NA;50
"Building";"EngineeringBay";NA;50
"Unit";"Marine";"Barracks";50
"Unit";"Marine";"Barracks";51
"Unit";"Banshee";"Starport";54
"Unit";"Marine";"Barracks";57
"Unit";"Marine";"Barracks";58
"Building";"CommandCenter";NA;61
"Building";"Barracks";NA;63
"Building";"FactoryReactor";NA;63
"Upgrade";"TerranInfantryWeaponsLevel1";"EngineeringBay";63
"Building";"Refinery";NA;63
"Building";"Refinery";NA;63
"Building";"Barracks";NA;63
"Building";"StarportReactor";NA;63
"Unit";"Marine";"Barracks";64
"Unit";"Marine";"Barracks";68
"Upgrade";"Stimpack";"TechLab";69
"Unit";"Marine";"Barracks";71
"Unit";"Marine";"Barracks";72
"Building";"Barracks";NA;73
"Unit";"Marine";"Barracks";73
"Building";"Barracks";NA;74
"Unit";"Marine";"Barracks";76
"Unit";"Marine";"Barracks";77
"Unit";"Medivac";"Starport";80
"Unit";"Medivac";"Starport";82
"Unit";"Marine";"Barracks";84
"Unit";"Marine";"Barracks";86
"Unit";"Marine";"Barracks";87
"Unit";"Marine";"Barracks";88
"Unit";"Marine";"Barracks";90
"Unit";"Marine";"Barracks";92
"Unit";"Marine";"Barracks";95
"Unit";"Marine";"Barracks";96
"Unit";"Marine";"Barracks";97
"Unit";"Marine";"Barracks";98
"Building";"BarracksReactor";NA;99
"Building";"Armory";NA;100
"Building";"BarracksReactor";NA;100
"Unit";"Marine";"Barracks";101
"Unit";"Marine";"Barracks";102
"Unit";"Marine";"Barracks";103
"Unit";"Marine";"Barracks";104
"Unit";"Marine";"Barracks";107
"Unit";"Marine";"Barracks";108
"Unit";"Marine";"Barracks";110
"Unit";"Marine";"Barracks";112
"Unit";"Marine";"Barracks";113
"Unit";"Marine";"Barracks";115
"Unit";"Medivac";"Starport";116
"Unit";"Medivac";"Starport";118
"Unit";"Marine";"Barracks";120
"Unit";"Marine";"Barracks";121
"Unit";"Marine";"Barracks";125
"Unit";"Marine";"Barracks";126
"Upgrade";"SprayTerran";NA;128
"Upgrade";"SprayTerran";NA;128
"Upgrade";"SprayTerran";NA;128
"Upgrade";"BansheeCloak";NA;128
"Upgrade";"SprayTerran";NA;128
"Upgrade";"TerranInfantryArmorsLevel1";NA;128
