"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Barracks";NA;16
"Building";"Refinery";NA;16
"Unit";"Reaper";"Barracks";19
"Building";"CommandCenter";NA;20
"Unit";"Marine";"Barracks";21
"Building";"Factory";NA;23
"Building";"Refinery";NA;24
"Building";"BarracksReactor";NA;24
"Building";"Starport";NA;26
"Unit";"Hellion";"Factory";26
"Unit";"Hellion";"Factory";28
"Building";"BarracksTechLab";NA;31
"Unit";"Hellion";"Factory";32
"Unit";"Hellion";"Factory";34
"Unit";"Banshee";"Starport";40
"Building";"BarracksTechLab";NA;44
"Building";"CommandCenter";NA;47
"Unit";"Marine";"Barracks";47
"Unit";"Banshee";"Starport";51
"Building";"Barracks";NA;54
"Building";"FactoryTechLab";NA;56
"Unit";"Marine";"Barracks";56
"Building";"Barracks";NA;57
"Upgrade";"Stimpack";"TechLab";57
"Building";"Bunker";NA;59
"Unit";"Marine";"Barracks";59
"Building";"Bunker";NA;62
"Unit";"Marine";"Barracks";63
"Building";"StarportReactor";NA;64
"Unit";"Marine";"Barracks";64
"Unit";"Marine";"Barracks";65
"Unit";"Marine";"Barracks";67
"Unit";"Marine";"Barracks";69
"Unit";"Marine";"Barracks";70
"Building";"EngineeringBay";NA;71
"Building";"EngineeringBay";NA;71
"Unit";"Marine";"Barracks";71
"Building";"Refinery";NA;73
"Building";"Refinery";NA;73
"Unit";"Marine";"Barracks";74
"Building";"BarracksReactor";NA;75
"Unit";"Marine";"Barracks";76
"Unit";"Medivac";"Starport";77
"Unit";"Marine";"Barracks";79
"Unit";"Medivac";"Starport";80
"Unit";"Marine";"Barracks";82
"Unit";"Marine";"Barracks";86
"Unit";"Marine";"Barracks";87
"Unit";"Marine";"Barracks";91
"Unit";"Marine";"Barracks";92
"Unit";"Marine";"Barracks";93
"Unit";"Marine";"Barracks";97
"Unit";"Marine";"Barracks";98
"Unit";"Marine";"Barracks";101
"Upgrade";"TerranInfantryWeaponsLevel1";"EngineeringBay";103
"Unit";"Marine";"Barracks";103
"Unit";"Marine";"Barracks";104
"Unit";"Medivac";"Starport";105
"Unit";"Medivac";"Starport";107
"Unit";"Marine";"Barracks";111
"Building";"Barracks";NA;113
"Building";"Barracks";NA;113
"Building";"MissileTurret";NA;113
"Unit";"Marine";"Barracks";115
"Unit";"Marine";"Barracks";116
"Unit";"Marine";"Barracks";117
"Unit";"Medivac";"Starport";121
"Unit";"Medivac";"Starport";123
"Unit";"Marine";"Barracks";125
"Unit";"Marine";"Barracks";126
"Building";"Armory";NA;127
"Unit";"Marine";"Barracks";127
"Building";"Refinery";NA;129
"Unit";"Marine";"Barracks";129
"Unit";"Marine";"Barracks";130
"Unit";"Marauder";"Barracks";131
"Building";"CommandCenter";NA;133
"Unit";"Marine";"Barracks";133
"Unit";"Marine";"Barracks";134
"Building";"BarracksReactor";NA;135
"Building";"BarracksReactor";NA;135
"Unit";"Medivac";"Starport";135
"Unit";"Marine";"Barracks";137
"Unit";"Marine";"Barracks";138
"Unit";"Marauder";"Barracks";139
"Unit";"Marine";"Barracks";141
"Unit";"Marine";"Barracks";142
"Unit";"Marine";"Barracks";143
"Unit";"Marine";"Barracks";144
"Unit";"Marine";"Barracks";145
"Unit";"Marauder";"Barracks";146
"Unit";"Marine";"Barracks";148
"Building";"Barracks";NA;149
"Unit";"Marine";"Barracks";149
"Unit";"Marine";"Barracks";150
"Unit";"Marine";"Barracks";151
"Building";"Barracks";NA;152
"Building";"Barracks";NA;152
"Unit";"Marine";"Barracks";152
"Unit";"Marine";"Barracks";153
"Unit";"Marine";"Barracks";154
"Unit";"Marine";"Barracks";155
"Building";"Refinery";NA;156
"Unit";"Marine";"Barracks";156
"Unit";"Marine";"Barracks";157
"Unit";"Marine";"Barracks";158
"Unit";"Marine";"Barracks";159
"Unit";"Marine";"Barracks";160
"Unit";"Marine";"Barracks";161
"Unit";"Marine";"Barracks";162
"Unit";"Marine";"Barracks";163
"Unit";"Marine";"Barracks";164
