"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;14;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Refinery";NA;19;0
"Building";"Factory";NA;19;0
"Building";"BarracksReactor";NA;21;0
"Building";"CommandCenter";NA;19;0
"Building";"Starport";NA;23;0
"Unit";"Hellion";"Factory";24;2
"Unit";"Hellion";"Factory";24;2
"Building";"BarracksTechLab";NA;25;0
"Unit";"Hellion";"Factory";31;2
"Unit";"Hellion";"Factory";31;2
"Unit";"Banshee";"Starport";31;3
"Unit";"Hellion";"Factory";35;2
"Unit";"Cyclone";"Factory";49;3
"Unit";"Banshee";"Starport";44;3
"Unit";"Cyclone";"Factory";49;3
"Building";"Refinery";NA;59;0
"Building";"Refinery";NA;59;0
"Unit";"Cyclone";"Factory";62;3
"Building";"EngineeringBay";NA;62;0
"Unit";"Cyclone";"Factory";63;3
"Building";"CommandCenter";NA;57;0
"Building";"StarportReactor";NA;69;0
"Building";"MissileTurret";NA;75;0
"Unit";"Cyclone";"Factory";74;3
"Building";"MissileTurret";NA;75;0
"Building";"Factory";NA;65;0
"Building";"MissileTurret";NA;76;0
"Unit";"Cyclone";"Factory";78;3
"Unit";"Cyclone";"Factory";83;3
"Building";"StarportTechLab";NA;88;0
"Unit";"Cyclone";"Factory";84;3
"Building";"Factory";NA;81;0
"Unit";"Hellion";"Factory";93;2
"Unit";"Cyclone";"Factory";93;3
"Unit";"Hellion";"Factory";94;2
"Building";"Refinery";NA;106;0
"Building";"Refinery";NA;108;0
"Unit";"Cyclone";"Factory";108;3
"Building";"MissileTurret";NA;109;0
"Building";"Armory";NA;94;0
"Building";"Armory";NA;97;0
"Unit";"Hellion";"Factory";110;2
"Unit";"Hellion";"Factory";118;2
"Unit";"Hellion";"Factory";118;2
"Unit";"Hellion";"Factory";118;2
"Unit";"Hellion";"Factory";118;2
"Unit";"Cyclone";"Factory";118;3
"Unit";"Hellion";"Factory";121;2
"Unit";"Raven";"Starport";118;2
"Unit";"Cyclone";"Factory";133;3
"Unit";"Cyclone";"Factory";133;3
"Unit";"Cyclone";"Factory";135;3
"Unit";"Cyclone";"Factory";137;3
"Unit";"Cyclone";"Factory";140;3
"Unit";"Hellion";"Factory";149;2
"Unit";"Hellion";"Factory";152;2
"Unit";"Cyclone";"Factory";157;3
"Unit";"Cyclone";"Factory";157;3
"Unit";"Raven";"Starport";140;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";121;0
"Building";"CommandCenter";NA;94;0
"Building";"Factory";NA;157;0
"Building";"Factory";NA;157;0
"Unit";"Cyclone";"Factory";173;3
"Unit";"Hellion";"Factory";173;2
"Unit";"Hellion";"Factory";173;2
"Building";"Factory";NA;158;0
"Unit";"Cyclone";"Factory";175;3
"Building";"CommandCenter";NA;139;0
"Building";"CommandCenter";NA;140;0
"Unit";"Cyclone";"Factory";175;3
"Building";"FactoryTechLab";NA;175;0
"Building";"FactoryTechLab";NA;178;0
"Building";"MissileTurret";NA;185;0
"Building";"Refinery";NA;185;0
"Unit";"Cyclone";"Factory";188;3
"Building";"MissileTurret";NA;188;0
"Building";"Refinery";NA;188;0
"Building";"Refinery";NA;188;0
"Unit";"Hellion";"Factory";188;2
"Unit";"Hellion";"Factory";188;2
"Unit";"Cyclone";"Factory";188;3
"Unit";"Cyclone";"Factory";188;3
"Unit";"Cyclone";"Factory";188;3
"Building";"Refinery";NA;185;0
"Unit";"Cyclone";"Factory";188;3
"Unit";"Hellion";"Factory";188;2
"Building";"FactoryReactor";NA;188;0
"Unit";"Hellion";"Factory";191;2
"Unit";"Hellion";"Factory";193;2
"Unit";"Hellion";"Factory";195;2
"Unit";"Hellion";"Factory";198;2
"Unit";"Hellion";"Factory";201;2
"Unit";"Hellion";"Factory";204;2
"Building";"Starport";NA;191;0
"Building";"Starport";NA;191;0
"Unit";"Cyclone";"Factory";219;3
"Unit";"Hellion";"Factory";221;2
"Unit";"Cyclone";"Factory";221;3
"Unit";"Cyclone";"Factory";221;3
"Building";"StarportTechLab";NA;221;0
"Building";"StarportTechLab";NA;221;0
"Unit";"Cyclone";"Factory";221;3
"Unit";"Cyclone";"Factory";221;3
"Unit";"Cyclone";"Factory";221;3
"Unit";"Cyclone";"Factory";221;3
"Unit";"Cyclone";"Factory";221;3
"Unit";"Hellion";"Factory";221;2
"Unit";"Hellion";"Factory";224;2
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";188;0
"Unit";"Cyclone";"Factory";247;3
"Unit";"Cyclone";"Factory";247;3
"Unit";"Cyclone";"Factory";247;3
"Unit";"Cyclone";"Factory";251;3
"Unit";"Cyclone";"Factory";251;3
"Unit";"Cyclone";"Factory";251;3
"Unit";"Hellion";"Factory";260;2
"Unit";"Hellion";"Factory";263;2
"Unit";"Hellion";"Factory";266;2
"Unit";"Cyclone";"Factory";269;3
"Unit";"Cyclone";"Factory";269;3
"Unit";"Cyclone";"Factory";269;3
"Unit";"Cyclone";"Factory";269;3
"Unit";"Cyclone";"Factory";269;3
"Unit";"Cyclone";"Factory";269;3
"Building";"Refinery";NA;293;0
"Building";"Refinery";NA;293;0
"Building";"CommandCenter";NA;293;0
