"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Barracks";NA;16
"Building";"Refinery";NA;16
"Unit";"Reaper";"Barracks";19
"Building";"CommandCenter";NA;20
"Building";"Barracks";NA;20
"Building";"BarracksReactor";NA;21
"Building";"Refinery";NA;21
"Building";"Factory";NA;24
"Unit";"Marine";"Barracks";24
"Unit";"Marine";"Barracks";25
"Building";"BarracksTechLab";NA;26
"Unit";"Marine";"Barracks";27
"Unit";"Marine";"Barracks";28
"Unit";"Marine";"Barracks";29
"Unit";"Marine";"Barracks";31
"Unit";"Marine";"Barracks";32
"Unit";"Marine";"Barracks";34
"Building";"Starport";NA;35
"Building";"FactoryReactor";NA;35
"Upgrade";"Stimpack";"TechLab";37
"Unit";"Marine";"Barracks";37
"Unit";"Marine";"Barracks";38
"Unit";"Marine";"Barracks";41
"Unit";"Marine";"Barracks";42
"Unit";"Marine";"Barracks";43
"Unit";"Marine";"Barracks";46
"Unit";"Marine";"Barracks";47
"Unit";"Medivac";"Starport";48
"Unit";"Medivac";"Starport";50
"Unit";"Marine";"Barracks";52
"Building";"Barracks";NA;55
"Unit";"Marine";"Barracks";57
"Building";"FactoryTechLab";NA;58
"Unit";"Marine";"Barracks";58
"Unit";"Marine";"Barracks";59
"Unit";"Marine";"Barracks";60
"Unit";"Marine";"Barracks";63
"Unit";"Marine";"Barracks";64
"Unit";"Marine";"Barracks";65
"Building";"BarracksReactor";NA;68
"Unit";"Marine";"Barracks";68
"Unit";"Marine";"Barracks";69
"Unit";"Marine";"Barracks";70
"Building";"Barracks";NA;73
"Building";"Barracks";NA;73
"Building";"Refinery";NA;73
"Building";"Refinery";NA;73
"Unit";"Medivac";"Starport";75
"Unit";"Medivac";"Starport";77
"Unit";"Marine";"Barracks";79
"Unit";"Marine";"Barracks";80
"Unit";"Marine";"Barracks";81
"Unit";"Marine";"Barracks";82
"Unit";"Marine";"Barracks";83
"Unit";"Marine";"Barracks";86
"Unit";"Marine";"Barracks";88
"Unit";"Marine";"Barracks";89
"Unit";"Marine";"Barracks";90
"Unit";"Marine";"Barracks";91
"Unit";"Marine";"Barracks";92
"Unit";"Medivac";"Starport";93
"Unit";"Medivac";"Starport";95
"Building";"BarracksReactor";NA;97
"Unit";"Marine";"Barracks";97
"Unit";"Marine";"Barracks";98
"Building";"BarracksReactor";NA;99
"Unit";"Marine";"Barracks";100
"Unit";"Marine";"Barracks";101
"Unit";"Marine";"Barracks";102
"Unit";"Marine";"Barracks";103
"Unit";"Marine";"Barracks";104
"Unit";"Marine";"Barracks";105
"Unit";"Marine";"Barracks";106
"Unit";"Marine";"Barracks";107
"Unit";"Marine";"Barracks";108
"Unit";"Marine";"Barracks";109
"Unit";"Marine";"Barracks";110
"Unit";"Marine";"Barracks";111
"Unit";"Medivac";"Starport";112
"Unit";"Medivac";"Starport";114
"Unit";"Marine";"Barracks";116
"Unit";"Marine";"Barracks";117
"Unit";"Marine";"Barracks";118
"Unit";"Marine";"Barracks";119
"Unit";"Marine";"Barracks";120
"Unit";"Marine";"Barracks";121
"Upgrade";"SprayTerran";NA;122
"Upgrade";"SprayTerran";NA;122
"Upgrade";"ShieldWall";NA;122
"Upgrade";"SprayTerran";NA;122
