"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"Marine";"Barracks";19;1
"Building";"Refinery";NA;21;0
"Building";"Factory";NA;21;0
"Building";"CommandCenter";NA;19;0
"Building";"BarracksReactor";NA;23;0
"Unit";"Hellion";"Factory";26;2
"Unit";"Hellion";"Factory";26;2
"Building";"Starport";NA;26;0
"Building";"BarracksTechLab";NA;27;0
"Unit";"Hellion";"Factory";32;2
"Unit";"Hellion";"Factory";32;2
"Unit";"Hellion";"Factory";40;2
"Unit";"Hellion";"Factory";40;2
"Unit";"Banshee";"Starport";34;3
"Unit";"Hellion";"Factory";47;2
"Unit";"Hellion";"Factory";47;2
"Unit";"Banshee";"Starport";52;3
"Unit";"Cyclone";"Factory";59;3
"Unit";"Cyclone";"Factory";59;3
"Unit";"Hellion";"Factory";73;2
"Unit";"Hellion";"Factory";73;2
"Building";"Armory";NA;61;0
"Building";"Refinery";NA;74;0
"Building";"Refinery";NA;74;0
"Building";"Factory";NA;74;0
"Building";"Factory";NA;74;0
"Building";"CommandCenter";NA;73;0
"Building";"FactoryTechLab";NA;87;0
"Unit";"Hellion";"Factory";87;2
"Unit";"Hellion";"Factory";87;2
"Building";"StarportReactor";NA;87;0
"Unit";"Thor";"Factory";87;6
"Unit";"Hellion";"Factory";95;2
"Unit";"Hellion";"Factory";95;2
"Building";"Refinery";NA;96;0
"Building";"Refinery";NA;96;0
"Building";"Factory";NA;94;0
"Building";"Factory";NA;95;0
"Unit";"Thor";"Factory";96;6
"Unit";"Medivac";"Starport";109;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";86;0
"Unit";"Medivac";"Starport";109;2
"Building";"FactoryTechLab";NA;125;0
"Building";"FactoryTechLab";NA;125;0
"Unit";"Medivac";"Starport";126;2
"Unit";"Hellion";"Factory";130;2
"Unit";"Hellion";"Factory";130;2
"Unit";"Hellion";"Factory";140;2
"Unit";"Hellion";"Factory";140;2
"Unit";"Hellion";"Factory";144;2
"Unit";"Hellion";"Factory";144;2
"Unit";"Hellion";"Factory";144;2
"Building";"CommandCenter";NA;132;0
