"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;14;0
"Building";"EngineeringBay";NA;20;0
"Building";"Barracks";NA;19;0
"Building";"CommandCenter";NA;19;0
"Unit";"Marine";"Barracks";23;1
"Building";"Refinery";NA;23;0
"Building";"Factory";NA;23;0
"Building";"FactoryTechLab";NA;29;0
"Building";"Starport";NA;27;0
"Building";"CommandCenter";NA;28;0
"Unit";"Banshee";"Starport";35;3
"Building";"Refinery";NA;41;0
"Building";"Refinery";NA;41;0
"Building";"CommandCenter";NA;37;0
"Building";"FactoryTechLab";NA;52;0
"Building";"Starport";NA;50;0
"Building";"Starport";NA;50;0
"Building";"Starport";NA;50;0
"Building";"MissileTurret";NA;52;0
"Building";"StarportTechLab";NA;54;0
"Building";"StarportTechLab";NA;54;0
"Building";"StarportTechLab";NA;54;0
"Building";"MissileTurret";NA;56;0
"Building";"Refinery";NA;62;0
"Building";"MissileTurret";NA;65;0
"Unit";"Raven";"Starport";60;2
"Building";"MissileTurret";NA;65;0
"Building";"MissileTurret";NA;65;0
"Building";"Refinery";NA;65;0
"Building";"SensorTower";NA;66;0
"Building";"MissileTurret";NA;75;0
"Unit";"Raven";"Starport";68;2
"Building";"MissileTurret";NA;75;0
"Building";"MissileTurret";NA;75;0
"Building";"MissileTurret";NA;75;0
"Building";"MissileTurret";NA;75;0
"Building";"Armory";NA;72;0
"Building";"Armory";NA;72;0
"Building";"Factory";NA;72;0
"Building";"Factory";NA;75;0
"Building";"MissileTurret";NA;77;0
"Unit";"Raven";"Starport";75;2
"Building";"MissileTurret";NA;77;0
"Building";"MissileTurret";NA;77;0
"Building";"MissileTurret";NA;77;0
"Unit";"Raven";"Starport";77;2
"Building";"MissileTurret";NA;77;0
"Unit";"Raven";"Starport";77;2
"Building";"FactoryReactor";NA;77;0
"Building";"FactoryReactor";NA;77;0
"Building";"CommandCenter";NA;75;0
"Building";"MissileTurret";NA;83;0
"Building";"MissileTurret";NA;83;0
"Building";"MissileTurret";NA;83;0
"Unit";"Hellion";"Factory";83;2
"Unit";"Hellion";"Factory";84;2
"Building";"MissileTurret";NA;88;0
"Building";"MissileTurret";NA;88;0
"Unit";"Raven";"Starport";83;2
"Unit";"Raven";"Starport";83;2
"Building";"CommandCenter";NA;79;0
"Building";"Refinery";NA;90;0
"Building";"Refinery";NA;90;0
"Unit";"Raven";"Starport";88;2
"Unit";"Hellion";"Factory";92;2
"Unit";"Hellion";"Factory";92;2
"Unit";"Hellion";"Factory";92;2
"Unit";"Hellion";"Factory";92;2
"Unit";"Raven";"Starport";88;2
"Unit";"Hellion";"Factory";92;2
"Building";"MissileTurret";NA;92;0
"Unit";"Hellion";"Factory";101;2
"Unit";"Hellion";"Factory";101;2
"Unit";"Hellion";"Factory";101;2
"Unit";"Hellion";"Factory";113;2
"Unit";"Hellion";"Factory";113;2
"Unit";"Raven";"Starport";92;2
"Unit";"Raven";"Starport";92;2
"Unit";"Hellion";"Factory";117;2
"Unit";"Hellion";"Factory";117;2
"Building";"SensorTower";NA;129;0
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";89;0
"Unit";"Raven";"Starport";116;2
"Building";"MissileTurret";NA;137;0
"Unit";"Raven";"Starport";133;2
"Unit";"Raven";"Starport";133;2
"Building";"CommandCenter";NA;116;0
"Unit";"Raven";"Starport";137;2
"Unit";"Raven";"Starport";137;2
"Unit";"Raven";"Starport";143;2
"Unit";"Raven";"Starport";143;2
"Unit";"Raven";"Starport";143;2
"Unit";"Raven";"Starport";145;2
"Unit";"Hellion";"Factory";161;2
"Unit";"Hellion";"Factory";161;2
"Unit";"Hellion";"Factory";161;2
"Unit";"Hellion";"Factory";161;2
"Unit";"Hellion";"Factory";161;2
"Building";"Refinery";NA;161;0
"Building";"MissileTurret";NA;163;0
