"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"Marine";"Barracks";19;1
"Building";"Refinery";NA;22;0
"Building";"Factory";NA;21;0
"Building";"CommandCenter";NA;19;0
"Building";"BarracksReactor";NA;23;0
"Unit";"Marine";"Barracks";27;1
"Unit";"Hellion";"Factory";26;2
"Unit";"Hellion";"Factory";26;2
"Building";"Starport";NA;26;0
"Unit";"Marine";"Barracks";33;1
"Unit";"Hellion";"Factory";33;2
"Unit";"Hellion";"Factory";33;2
"Unit";"Medivac";"Starport";35;2
"Unit";"Marine";"Barracks";41;1
"Unit";"Hellion";"Factory";41;2
"Unit";"Hellion";"Factory";41;2
"Building";"Armory";NA;35;0
"Building";"StarportTechLab";NA;44;0
"Unit";"Hellion";"Factory";49;2
"Unit";"Hellion";"Factory";49;2
"Unit";"Hellion";"Factory";55;2
"Unit";"Hellion";"Factory";57;2
"Unit";"Banshee";"Starport";51;3
"Building";"Refinery";NA;61;0
"Building";"Refinery";NA;64;0
"Unit";"Hellion";"Factory";66;2
"Unit";"Hellion";"Factory";66;2
"Building";"CommandCenter";NA;55;0
"Building";"BarracksTechLab";NA;70;0
"Unit";"Banshee";"Starport";66;3
"Unit";"Hellion";"Factory";74;2
"Unit";"Hellion";"Factory";74;2
"Building";"Factory";NA;70;0
"Building";"Factory";NA;74;0
"Unit";"Hellion";"Factory";85;2
"Unit";"Hellion";"Factory";85;2
"Unit";"Hellion";"Factory";91;2
"Unit";"Hellion";"Factory";91;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";74;0
"Building";"StarportReactor";NA;91;0
"Building";"EngineeringBay";NA;93;0
"Unit";"Thor";"Factory";91;6
"Unit";"Thor";"Factory";91;6
"Building";"Factory";NA;93;0
"Building";"Factory";NA;93;0
"Building";"Refinery";NA;97;0
"Building";"Refinery";NA;112;0
"Unit";"Hellion";"Factory";112;2
"Unit";"Hellion";"Factory";112;2
"Unit";"Medivac";"Starport";100;2
"Unit";"Medivac";"Starport";100;2
"Building";"FactoryTechLab";NA;119;0
"Unit";"Hellion";"Factory";125;2
"Unit";"Hellion";"Factory";125;2
"Building";"FactoryReactor";NA;119;0
"Building";"MissileTurret";NA;135;0
"Building";"MissileTurret";NA;135;0
"Building";"MissileTurret";NA;135;0
"Unit";"Hellion";"Factory";137;2
"Unit";"Hellion";"Factory";137;2
"Unit";"Hellion";"Factory";137;2
"Unit";"Hellion";"Factory";137;2
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";121;0
"Building";"SensorTower";NA;147;0
"Unit";"Hellion";"Factory";147;2
"Unit";"Thor";"Factory";147;6
"Unit";"Hellion";"Factory";149;2
"Unit";"Hellion";"Factory";149;2
"Unit";"Hellion";"Factory";149;2
"Unit";"Hellion";"Factory";149;2
"Building";"Refinery";NA;149;0
"Building";"Refinery";NA;149;0
"Building";"CommandCenter";NA;147;0
"Unit";"Hellion";"Factory";163;2
"Unit";"Hellion";"Factory";163;2
"Unit";"Hellion";"Factory";163;2
"Unit";"Hellion";"Factory";163;2
"Building";"Armory";NA;155;0
"Unit";"Cyclone";"Factory";171;3
"Unit";"Cyclone";"Factory";171;3
"Unit";"Cyclone";"Factory";171;3
"Unit";"Cyclone";"Factory";171;3
"Unit";"Hellion";"Factory";183;2
"Unit";"Hellion";"Factory";183;2
"Unit";"Cyclone";"Factory";183;3
"Unit";"Cyclone";"Factory";183;3
"Unit";"Hellion";"Factory";187;2
"Unit";"Hellion";"Factory";187;2
"Unit";"Hellion";"Factory";193;2
