"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Unit";"Marine";"Barracks";20;1
"Building";"Refinery";NA;22;0
"Building";"Factory";NA;21;0
"Building";"CommandCenter";NA;19;0
"Building";"BarracksReactor";NA;23;0
"Building";"BarracksTechLab";NA;27;0
"Unit";"Hellion";"Factory";27;2
"Unit";"Hellion";"Factory";27;2
"Building";"Starport";NA;26;0
"Unit";"Hellion";"Factory";33;2
"Unit";"Hellion";"Factory";33;2
"Unit";"Banshee";"Starport";34;3
"Unit";"Hellion";"Factory";42;2
"Unit";"Hellion";"Factory";42;2
"Unit";"Hellion";"Factory";47;2
"Unit";"Hellion";"Factory";49;2
"Unit";"Banshee";"Starport";44;3
"Unit";"Cyclone";"Factory";60;3
"Unit";"Cyclone";"Factory";60;3
"Building";"Refinery";NA;70;0
"Building";"Refinery";NA;70;0
"Building";"BarracksTechLab";NA;72;0
"Unit";"Hellion";"Factory";72;2
"Unit";"Hellion";"Factory";72;2
"Building";"Armory";NA;64;0
"Building";"CommandCenter";NA;60;0
"Building";"EngineeringBay";NA;78;0
"Building";"Factory";NA;72;0
"Unit";"Hellion";"Factory";80;2
"Building";"Factory";NA;74;0
"Unit";"Hellion";"Factory";80;2
"Building";"StarportReactor";NA;83;0
"Unit";"Hellion";"Factory";87;2
"Unit";"Hellion";"Factory";87;2
"Unit";"Thor";"Factory";83;6
"Unit";"Hellion";"Factory";101;2
"Unit";"Hellion";"Factory";101;2
"Unit";"Thor";"Factory";89;6
"Building";"MissileTurret";NA;117;0
"Building";"MissileTurret";NA;119;0
"Building";"Refinery";NA;117;0
"Unit";"Hellion";"Factory";120;2
"Unit";"Hellion";"Factory";120;2
"Building";"Refinery";NA;120;0
"Unit";"Medivac";"Starport";120;2
"Unit";"Medivac";"Starport";120;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";103;0
"Building";"MissileTurret";NA;130;0
"Building";"MissileTurret";NA;135;0
"Building";"MissileTurret";NA;136;0
"Building";"MissileTurret";NA;136;0
"Building";"MissileTurret";NA;136;0
"Building";"Factory";NA;128;0
"Building";"Factory";NA;128;0
"Unit";"Hellion";"Factory";139;2
"Unit";"Hellion";"Factory";139;2
"Building";"FactoryTechLab";NA;139;0
"Building";"FactoryTechLab";NA;139;0
"Unit";"Medivac";"Starport";139;2
"Unit";"Medivac";"Starport";139;2
"Building";"CommandCenter";NA;130;0
"Building";"Armory";NA;139;0
"Building";"Factory";NA;139;0
"Unit";"Hellion";"Factory";147;2
"Unit";"Hellion";"Factory";147;2
"Unit";"Medivac";"Starport";147;2
"Unit";"Hellion";"Factory";151;2
"Unit";"Hellion";"Factory";151;2
"Building";"MissileTurret";NA;153;0
"Building";"MissileTurret";NA;153;0
"Building";"Refinery";NA;153;0
"Building";"Refinery";NA;153;0
"Unit";"Medivac";"Starport";151;2
"Unit";"Hellion";"Factory";153;2
"Building";"FactoryReactor";NA;151;0
"Unit";"Hellion";"Factory";157;2
"Unit";"Hellion";"Factory";157;2
"Unit";"Hellion";"Factory";157;2
"Building";"MissileTurret";NA;153;0
"Unit";"Hellion";"Factory";161;2
