"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;14;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Refinery";NA;19;0
"Building";"Factory";NA;19;0
"Building";"BarracksReactor";NA;20;0
"Building";"CommandCenter";NA;19;0
"Unit";"Hellion";"Factory";24;2
"Unit";"Hellion";"Factory";24;2
"Building";"Starport";NA;23;0
"Unit";"Hellion";"Factory";25;2
"Unit";"Hellion";"Factory";27;2
"Unit";"Hellion";"Factory";37;2
"Unit";"Hellion";"Factory";37;2
"Unit";"Medivac";"Starport";39;2
"Unit";"Hellion";"Factory";45;2
"Unit";"Hellion";"Factory";45;2
"Building";"StarportTechLab";NA;57;0
"Unit";"Hellion";"Factory";57;2
"Unit";"Hellion";"Factory";57;2
"Building";"Refinery";NA;59;0
"Building";"Refinery";NA;59;0
"Unit";"Hellion";"Factory";67;2
"Unit";"Hellion";"Factory";67;2
"Building";"Armory";NA;59;0
"Unit";"Hellion";"Factory";71;2
"Unit";"Hellion";"Factory";73;2
"Building";"BarracksTechLab";NA;75;0
"Building";"EngineeringBay";NA;71;0
"Building";"CommandCenter";NA;57;0
"Unit";"Banshee";"Starport";69;3
"Unit";"Hellion";"Factory";79;2
"Unit";"Hellion";"Factory";81;2
"Building";"BarracksTechLab";NA;85;0
"Building";"MissileTurret";NA;88;0
"Unit";"Hellion";"Factory";88;2
"Unit";"Hellion";"Factory";92;2
"Building";"Factory";NA;88;0
"Building";"Factory";NA;88;0
"Unit";"Banshee";"Starport";88;3
"Unit";"Hellion";"Factory";96;2
"Unit";"Hellion";"Factory";98;2
"Building";"BarracksReactor";NA;100;0
"Unit";"Hellion";"Factory";113;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";88;0
"Building";"Armory";NA;103;0
"Unit";"Hellion";"Factory";116;2
"Building";"Factory";NA;105;0
"Building";"Factory";NA;105;0
"Building";"FactoryTechLab";NA;122;0
"Unit";"Hellion";"Factory";122;2
"Unit";"Hellion";"Factory";122;2
"Unit";"Hellion";"Factory";124;2
"Unit";"Hellion";"Factory";125;2
"Unit";"Raven";"Starport";122;2
"Building";"Refinery";NA;131;0
"Building";"Refinery";NA;134;0
"Unit";"Hellion";"Factory";134;2
"Building";"CommandCenter";NA;122;0
"Unit";"Hellion";"Factory";145;2
"Unit";"Hellion";"Factory";145;2
"Unit";"Hellion";"Factory";145;2
