"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;16;0
"Unit";"Reaper";"Barracks";19;1
"Building";"CommandCenter";NA;20;0
"Building";"Factory";NA;21;0
"Building";"BarracksReactor";NA;21;0
"Building";"Refinery";NA;23;0
"Unit";"Marine";"Barracks";24;1
"Unit";"Marine";"Barracks";25;1
"Unit";"Hellion";"Factory";26;2
"Building";"Starport";NA;29;0
"Unit";"Marine";"Barracks";30;1
"Unit";"Marine";"Barracks";31;1
"Unit";"Marine";"Barracks";33;1
"Unit";"Marine";"Barracks";34;1
"Unit";"Medivac";"Starport";37;2
"Unit";"Hellion";"Factory";40;2
"Unit";"Hellion";"Factory";42;2
"Building";"Armory";NA;44;0
"Unit";"Liberator";"Starport";46;3
"Unit";"Hellion";"Factory";49;2
"Unit";"Hellion";"Factory";51;2
"Unit";"Hellion";"Factory";56;2
"Unit";"Hellion";"Factory";58;2
"Building";"CommandCenter";NA;64;0
"Unit";"Liberator";"Starport";64;3
"Unit";"Hellion";"Factory";69;2
"Unit";"Hellion";"Factory";71;2
"Unit";"Hellion";"Factory";76;2
"Unit";"Hellion";"Factory";78;2
"Building";"Factory";NA;81;0
"Building";"Factory";NA;81;0
"Unit";"Hellion";"Factory";83;2
"Unit";"Hellion";"Factory";85;2
"Unit";"Liberator";"Starport";87;3
"Building";"Refinery";NA;92;0
"Building";"Refinery";NA;92;0
"Building";"Refinery";NA;92;0
"Building";"Refinery";NA;94;0
"Building";"FactoryTechLab";NA;94;0
"Building";"FactoryTechLab";NA;94;0
"Unit";"Hellion";"Factory";95;2
"Unit";"Hellion";"Factory";97;2
"Unit";"Hellion";"Factory";104;2
"Unit";"Hellion";"Factory";106;2
"Building";"Factory";NA;108;0
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";108;0
"Unit";"Hellion";"Factory";108;2
"Building";"Factory";NA;112;0
"Building";"CommandCenter";NA;112;0
"Building";"Factory";NA;112;0
"Unit";"Hellion";"Factory";112;2
"Unit";"Hellion";"Factory";114;2
"Unit";"Liberator";"Starport";118;3
"Building";"FactoryTechLab";NA;123;0
"Building";"Factory";NA;126;0
"Building";"Factory";NA;126;0
"Building";"FactoryTechLab";NA;126;0
"Building";"FactoryReactor";NA;126;0
"Unit";"Hellion";"Factory";126;2
"Unit";"Hellion";"Factory";128;2
"Unit";"Hellion";"Factory";130;2
"Unit";"Hellion";"Factory";132;2
"Building";"Refinery";NA;136;0
"Building";"Refinery";NA;136;0
"Unit";"Hellion";"Factory";136;2
"Unit";"Hellion";"Factory";138;2
"Unit";"Hellion";"Factory";140;2
"Unit";"Hellion";"Factory";142;2
"Building";"StarportReactor";NA;144;0
"Unit";"Hellion";"Factory";144;2
"Unit";"Hellion";"Factory";146;2
"Unit";"Hellion";"Factory";148;2
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";150;0
"Building";"FactoryTechLab";NA;150;0
"Unit";"Hellion";"Factory";150;2
"Unit";"Hellion";"Factory";152;2
"Unit";"Hellion";"Factory";154;2
"Unit";"Hellion";"Factory";156;2
"Unit";"Hellion";"Factory";158;2
"Unit";"Hellion";"Factory";160;2
"Unit";"Hellion";"Factory";162;2
"Unit";"Hellion";"Factory";164;2
"Unit";"Hellion";"Factory";166;2
"Unit";"Hellion";"Factory";168;2
"Unit";"Hellion";"Factory";170;2
"Building";"Starport";NA;172;0
"Building";"Starport";NA;172;0
"Upgrade";"SprayTerran";NA;172;0
"Upgrade";"SprayTerran";NA;172;0
"Upgrade";"SprayTerran";NA;172;0
"Upgrade";"SprayTerran";NA;172;0
"Upgrade";"SprayTerran";NA;172;0
"Upgrade";"SprayTerran";NA;172;0
"Upgrade";"HighCapacityBarrels";NA;172;0
