"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;14;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";19;1
"Building";"Refinery";NA;21;0
"Building";"Factory";NA;19;0
"Building";"BarracksReactor";NA;21;0
"Building";"CommandCenter";NA;19;0
"Building";"BarracksTechLab";NA;25;0
"Building";"Starport";NA;24;0
"Unit";"Hellion";"Factory";26;2
"Unit";"Hellion";"Factory";26;2
"Unit";"Hellion";"Factory";27;2
"Unit";"Hellion";"Factory";29;2
"Unit";"Banshee";"Starport";33;3
"Unit";"Banshee";"Starport";44;3
"Building";"Refinery";NA;49;0
"Building";"Refinery";NA;49;0
"Building";"BarracksTechLab";NA;49;0
"Unit";"Hellion";"Factory";49;2
"Unit";"Hellion";"Factory";49;2
"Building";"CommandCenter";NA;41;0
"Building";"Armory";NA;49;0
"Building";"Armory";NA;49;0
"Building";"StarportReactor";NA;60;0
"Building";"EngineeringBay";NA;61;0
"Building";"Factory";NA;63;0
"Building";"Factory";NA;63;0
"Unit";"Hellion";"Factory";65;2
"Unit";"Hellion";"Factory";65;2
"Unit";"Medivac";"Starport";65;2
"Unit";"Medivac";"Starport";65;2
"Building";"Refinery";NA;65;0
"Building";"Refinery";NA;67;0
"Building";"Bunker";NA;67;0
"Unit";"Hellion";"Factory";73;2
"Unit";"Hellion";"Factory";73;2
"Unit";"Hellion";"Factory";84;2
"Unit";"Hellion";"Factory";84;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";65;0
"Unit";"Thor";"Factory";79;6
"Building";"MissileTurret";NA;89;0
"Unit";"Thor";"Factory";86;6
"Unit";"Hellion";"Factory";99;2
"Unit";"Hellion";"Factory";99;2
"Building";"CommandCenter";NA;84;0
"Unit";"Hellion";"Factory";115;2
"Unit";"Hellion";"Factory";115;2
"Building";"Factory";NA;111;0
"Building";"Factory";NA;111;0
"Unit";"Hellion";"Factory";125;2
"Building";"SensorTower";NA;125;0
"Building";"Refinery";NA;125;0
"Building";"Refinery";NA;125;0
"Building";"FactoryTechLab";NA;125;0
"Unit";"Hellion";"Factory";129;2
"Unit";"Hellion";"Factory";129;2
"Building";"FactoryReactor";NA;125;0
"Building";"MissileTurret";NA;129;0
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";115;0
"Unit";"Hellion";"Factory";133;2
"Unit";"Hellion";"Factory";133;2
"Unit";"Hellion";"Factory";133;2
"Unit";"Hellion";"Factory";133;2
"Unit";"Hellion";"Factory";141;2
"Unit";"Hellion";"Factory";141;2
"Unit";"Hellion";"Factory";141;2
"Unit";"Hellion";"Factory";141;2
"Unit";"Hellion";"Factory";141;2
"Unit";"Hellion";"Factory";143;2
"Building";"CommandCenter";NA;133;0
"Unit";"Hellion";"Factory";149;2
"Unit";"Hellion";"Factory";149;2
"Building";"Starport";NA;149;0
"Unit";"Hellion";"Factory";153;2
"Building";"Starport";NA;149;0
"Unit";"Hellion";"Factory";155;2
"Building";"Starport";NA;149;0
"Unit";"Hellion";"Factory";157;2
"Unit";"Hellion";"Factory";159;2
"Building";"StarportTechLab";NA;165;0
"Building";"StarportTechLab";NA;165;0
"Building";"StarportTechLab";NA;165;0
"Unit";"Hellion";"Factory";165;2
"Unit";"Hellion";"Factory";165;2
"Unit";"Hellion";"Factory";165;2
"Unit";"Hellion";"Factory";171;2
"Unit";"Hellion";"Factory";173;2
"Building";"CommandCenter";NA;161;0
"Unit";"Raven";"Starport";173;2
"Unit";"Raven";"Starport";173;2
"Unit";"Raven";"Starport";173;2
"Unit";"Hellion";"Factory";179;2
"Unit";"Hellion";"Factory";190;2
"Unit";"Hellion";"Factory";190;2
"Unit";"Hellion";"Factory";190;2
"Unit";"Hellion";"Factory";190;2
"Unit";"Liberator";"Starport";182;3
"Unit";"Liberator";"Starport";184;3
"Unit";"Liberator";"Starport";186;3
"Unit";"Thor";"Factory";190;6
"Unit";"Hellion";"Factory";198;2
"Unit";"Hellion";"Factory";198;2
"Unit";"Hellion";"Factory";198;2
"Unit";"Hellion";"Factory";198;2
"Unit";"Thor";"Factory";190;6
"Unit";"Hellion";"Factory";213;2
"Unit";"Hellion";"Factory";221;2
"Unit";"Hellion";"Factory";221;2
"Unit";"Hellion";"Factory";221;2
"Building";"SensorTower";NA;227;0
"Building";"Refinery";NA;227;0
"Building";"Refinery";NA;227;0
