"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Reaper";"Barracks";18;1
"Unit";"Marine";"Barracks";20;1
"Building";"Refinery";NA;23;0
"Building";"CommandCenter";NA;19;0
"Building";"BarracksReactor";NA;23;0
"Building";"Factory";NA;23;0
"Building";"Bunker";NA;26;0
"Unit";"Hellion";"Factory";27;2
"Unit";"Hellion";"Factory";27;2
"Unit";"Marine";"Barracks";28;1
"Building";"Starport";NA;27;0
"Unit";"Hellion";"Factory";28;2
"Unit";"Hellion";"Factory";30;2
"Building";"StarportTechLab";NA;36;0
"Unit";"Hellion";"Factory";42;2
"Unit";"Hellion";"Factory";43;2
"Unit";"Banshee";"Starport";43;3
"Unit";"Hellion";"Factory";51;2
"Unit";"Hellion";"Factory";51;2
"Unit";"Cyclone";"Factory";62;3
"Unit";"Cyclone";"Factory";64;3
"Unit";"Banshee";"Starport";57;3
"Building";"Armory";NA;62;0
"Unit";"Hellion";"Factory";69;2
"Unit";"Hellion";"Factory";69;2
"Building";"BarracksTechLab";NA;77;0
"Building";"Refinery";NA;78;0
"Building";"Refinery";NA;79;0
"Building";"Factory";NA;76;0
"Building";"CommandCenter";NA;62;0
"Building";"Factory";NA;76;0
"Building";"StarportReactor";NA;92;0
"Building";"Refinery";NA;92;0
"Building";"Refinery";NA;94;0
"Unit";"Hellion";"Factory";94;2
"Unit";"Hellion";"Factory";94;2
"Building";"EngineeringBay";NA;96;0
"Unit";"Hellion";"Factory";100;2
"Unit";"Hellion";"Factory";102;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";89;0
"Building";"Factory";NA;94;0
"Unit";"Medivac";"Starport";102;2
"Unit";"Medivac";"Starport";102;2
"Building";"Factory";NA;96;0
"Unit";"Hellion";"Factory";110;2
"Unit";"Hellion";"Factory";110;2
"Building";"CommandCenter";NA;94;0
"Unit";"Hellion";"Factory";115;2
"Unit";"Hellion";"Factory";115;2
"Building";"Factory";NA;110;0
"Unit";"Hellion";"Factory";118;2
"Unit";"Hellion";"Factory";122;2
"Unit";"Hellion";"Factory";122;2
"Building";"MissileTurret";NA;123;0
"Building";"MissileTurret";NA;127;0
"Unit";"Hellion";"Factory";127;2
"Unit";"Hellion";"Factory";127;2
"Building";"SensorTower";NA;127;0
"Building";"MissileTurret";NA;127;0
"Unit";"Hellion";"Factory";127;2
"Building";"Refinery";NA;133;0
"Building";"Refinery";NA;133;0
"Unit";"Hellion";"Factory";133;2
"Unit";"Hellion";"Factory";133;2
"Building";"FactoryTechLab";NA;139;0
"Building";"FactoryTechLab";NA;139;0
"Unit";"Medivac";"Starport";133;2
"Unit";"Medivac";"Starport";133;2
"Building";"FactoryReactor";NA;133;0
"Unit";"Hellion";"Factory";142;2
"Unit";"Hellion";"Factory";144;2
"Unit";"Hellion";"Factory";148;2
"Unit";"Hellion";"Factory";150;2
"Unit";"Hellion";"Factory";154;2
"Unit";"Hellion";"Factory";154;2
"Unit";"Hellion";"Factory";154;2
"Unit";"Hellion";"Factory";154;2
"Unit";"Hellion";"Factory";156;2
"Upgrade";"TerranVehicleWeaponsLevel2";"Armory";129;0
