"type";"unit_name";"on_building";"total_supply";"supply"
"Building";"Refinery";NA;15;0
"Building";"Barracks";NA;15;0
"Unit";"Marine";"Barracks";19;1
"Unit";"Marine";"Barracks";20;1
"Unit";"Marine";"Barracks";22;1
"Building";"Bunker";NA;22;0
"Building";"CommandCenter";NA;19;0
"Unit";"Marine";"Barracks";23;1
"Building";"Bunker";NA;23;0
"Building";"Factory";NA;23;0
"Unit";"Marine";"Barracks";24;1
"Building";"CommandCenter";NA;22;0
"Building";"Bunker";NA;25;0
"Unit";"Marine";"Barracks";26;1
"Building";"Refinery";NA;26;0
"Building";"FactoryTechLab";NA;27;0
"Unit";"Marine";"Barracks";30;1
"Unit";"Marine";"Barracks";34;1
"Unit";"Marine";"Barracks";40;1
"Building";"Starport";NA;37;0
"Unit";"Marine";"Barracks";43;1
"Unit";"Cyclone";"Factory";45;3
"Unit";"Marine";"Barracks";46;1
"Building";"StarportTechLab";NA;52;0
"Unit";"Marine";"Barracks";52;1
"Building";"Refinery";NA;61;0
"Building";"Refinery";NA;61;0
"Building";"Refinery";NA;61;0
"Building";"Refinery";NA;61;0
"Building";"EngineeringBay";NA;62;0
"Unit";"Banshee";"Starport";59;3
"Building";"BarracksReactor";NA;62;0
"Building";"Armory";NA;62;0
"Building";"CommandCenter";NA;63;0
"Building";"CommandCenter";NA;64;0
"Building";"Refinery";NA;77;0
"Building";"Refinery";NA;77;0
"Building";"Refinery";NA;77;0
"Building";"Armory";NA;72;0
"Building";"Refinery";NA;78;0
"Building";"MissileTurret";NA;80;0
"Building";"MissileTurret";NA;81;0
"Unit";"Thor";"Factory";77;6
"Building";"MissileTurret";NA;86;0
"Unit";"Liberator";"Starport";93;3
"Building";"Factory";NA;93;0
"Building";"Factory";NA;93;0
"Building";"SensorTower";NA;102;0
"Unit";"Hellion";"Factory";102;2
"Building";"MissileTurret";NA;102;0
"Building";"FactoryTechLab";NA;114;0
"Unit";"Hellion";"Factory";111;2
"Upgrade";"TerranVehicleWeaponsLevel1";"Armory";86;0
"Building";"SensorTower";NA;118;0
"Building";"FactoryReactor";NA;114;0
"Unit";"Raven";"Starport";114;2
"Unit";"Hellion";"Factory";120;2
"Unit";"Hellion";"Factory";120;2
"Building";"Factory";NA;115;0
"Building";"Factory";NA;118;0
"Building";"Factory";NA;118;0
"Building";"FusionCore";NA;118;0
"Building";"Starport";NA;121;0
"Building";"Starport";NA;122;0
"Unit";"Hellion";"Factory";129;2
"Unit";"Hellion";"Factory";129;2
"Unit";"Hellion";"Factory";129;2
"Unit";"Hellion";"Factory";129;2
"Unit";"Hellion";"Factory";129;2
"Unit";"Hellion";"Factory";131;2
"Unit";"Hellion";"Factory";133;2
"Unit";"Raven";"Starport";129;2
"Building";"CommandCenter";NA;122;0
"Building";"FactoryTechLab";NA;160;0
"Unit";"Thor";"Factory";142;6
"Building";"FactoryTechLab";NA;160;0
"Building";"FactoryTechLab";NA;160;0
"Building";"MissileTurret";NA;160;0
"Building";"MissileTurret";NA;160;0
"Building";"StarportTechLab";NA;160;0
"Unit";"Hellion";"Factory";160;2
"Unit";"Hellion";"Factory";160;2
"Unit";"Hellion";"Factory";160;2
"Building";"StarportReactor";NA;160;0
"Unit";"Hellion";"Factory";160;2
"Building";"MissileTurret";NA;167;0
