"type";"unit_name";"on_building";"total_supply_lag"
"Building";"Refinery";NA;15
"Building";"Barracks";NA;16
"Unit";"Reaper";"Barracks";19
"Building";"CommandCenter";NA;20
"Building";"Factory";NA;20
"Building";"Refinery";NA;21
"Building";"BarracksReactor";NA;21
"Building";"Starport";NA;24
"Unit";"Hellion";"Factory";25
"Unit";"Hellion";"Factory";27
"Building";"BarracksTechLab";NA;30
"Unit";"Hellion";"Factory";32
"Unit";"Hellion";"Factory";34
"Unit";"Banshee";"Starport";37
"Unit";"Hellion";"Factory";43
"Unit";"Hellion";"Factory";46
"Building";"BarracksTechLab";NA;50
"Unit";"Banshee";"Starport";50
"Unit";"Hellion";"Factory";54
"Unit";"Hellion";"Factory";56
"Building";"CommandCenter";NA;61
"Unit";"Hellion";"Factory";62
"Unit";"Hellion";"Factory";64
"Unit";"Marine";"Barracks";68
"Unit";"Hellion";"Factory";69
"Unit";"Banshee";"Starport";71
"Unit";"Marine";"Barracks";76
"Building";"Barracks";NA;77
"Building";"FactoryReactor";NA;79
"Building";"Refinery";NA;79
"Building";"EngineeringBay";NA;79
"Building";"EngineeringBay";NA;79
"Building";"Refinery";NA;79
"Building";"Barracks";NA;79
"Unit";"Marine";"Barracks";79
"Upgrade";"Stimpack";"TechLab";83
"Unit";"Marine";"Barracks";83
"Building";"StarportReactor";NA;84
"Unit";"Marine";"Barracks";84
"Unit";"Marine";"Barracks";85
"Unit";"Marine";"Barracks";86
"Building";"Barracks";NA;87
"Building";"Barracks";NA;89
"Unit";"Marine";"Barracks";89
"Unit";"Marine";"Barracks";90
"Unit";"Marine";"Barracks";91
"Unit";"Marine";"Barracks";92
"Unit";"Marine";"Barracks";93
"Upgrade";"TerranInfantryWeaponsLevel1";"EngineeringBay";94
"Unit";"Marine";"Barracks";96
"Unit";"Marine";"Barracks";97
"Unit";"Marine";"Barracks";99
"Unit";"Marine";"Barracks";100
"Unit";"Marine";"Barracks";101
"Unit";"Medivac";"Starport";102
"Unit";"Medivac";"Starport";104
