"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";12;0
"Unit";"Overlord";"Larva";22;0
"Building";"SpawningPool";NA;20;0
"Unit";"Overlord";"Larva";22;0
"Building";"Hatchery";NA;19;0
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Zergling";"Larva";22;1
"Unit";"Queen";"Hatchery";22;2
"Building";"RoachWarren";NA;27;0
"Unit";"Overlord";"Larva";32;0
"Unit";"Queen";"Hatchery";29;2
"Building";"Extractor";NA;32;0
"Building";"SpineCrawler";NA;32;0
"Building";"CreepTumorQueen";NA;39;0
"Building";"Extractor";NA;37;0
"Unit";"Roach";"Larva";39;2
"Building";"CreepTumor";NA;44;0
"Building";"Extractor";NA;44;0
"Building";"Extractor";NA;44;0
"Unit";"Roach";"Larva";46;2
"Unit";"Roach";"Larva";46;2
"Unit";"Roach";"Larva";46;2
"Unit";"Overlord";"Larva";48;0
"Unit";"Overlord";"Larva";48;0
"Building";"CreepTumorQueen";NA;55;0
"Unit";"Overlord";"Larva";55;0
"Building";"CreepTumor";NA;59;0
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";58;2
"Unit";"Roach";"Larva";58;2
"Unit";"Queen";"Hatchery";58;2
"Unit";"Roach";"Larva";69;2
"Unit";"Roach";"Larva";69;2
"Unit";"Roach";"Larva";69;2
"Building";"SpineCrawler";NA;59;0
"Building";"SpineCrawler";NA;67;0
"Building";"SporeCrawler";NA;71;0
"Building";"SpineCrawler";NA;69;0
"Unit";"Roach";"Larva";81;2
"Unit";"Roach";"Larva";81;2
"Building";"SpineCrawler";NA;81;0
"Building";"SpineCrawler";NA;81;0
"Building";"Spire";NA;81;0
"Building";"Hatchery";NA;88;0
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Mutalisk";"Larva";92;2
"Unit";"Overlord";"Larva";92;0
"Unit";"Mutalisk";"Larva";100;2
"Unit";"Mutalisk";"Larva";100;2
"Unit";"Mutalisk";"Larva";100;2
"Unit";"Mutalisk";"Larva";104;2
"Unit";"Mutalisk";"Larva";109;2
"Unit";"Mutalisk";"Larva";109;2
"Unit";"Overlord";"Larva";114;0
"Unit";"Overlord";"Larva";114;0
"Unit";"Overlord";"Larva";114;0
"Unit";"Overlord";"Larva";118;0
"Unit";"Overlord";"Larva";118;0
"Unit";"Overlord";"Larva";118;0
"Unit";"Mutalisk";"Larva";118;2
"Unit";"Mutalisk";"Larva";118;2
"Unit";"Mutalisk";"Larva";118;2
"Unit";"Mutalisk";"Larva";118;2
"Unit";"Mutalisk";"Larva";118;2
"Unit";"Mutalisk";"Larva";118;2
"Unit";"Mutalisk";"Larva";120;2
"Unit";"Mutalisk";"Larva";120;2
"Building";"SpineCrawler";NA;122;0
"Unit";"Mutalisk";"Larva";135;2
"Unit";"Mutalisk";"Larva";135;2
"Unit";"Mutalisk";"Larva";135;2
"Unit";"Mutalisk";"Larva";135;2
"Unit";"Mutalisk";"Larva";135;2
"Unit";"Mutalisk";"Larva";135;2
"Unit";"Mutalisk";"Larva";135;2
"Unit";"Mutalisk";"Larva";135;2
"Unit";"Corruptor";"Larva";151;2
"Unit";"Corruptor";"Larva";151;2
"Unit";"Mutalisk";"Larva";156;2
"Unit";"Mutalisk";"Larva";156;2
"Unit";"Mutalisk";"Larva";156;2
"Unit";"Mutalisk";"Larva";156;2
"Unit";"Mutalisk";"Larva";161;2
"Unit";"Mutalisk";"Larva";161;2
"Building";"Extractor";NA;169;0
"Building";"Extractor";NA;173;0
"Building";"SpineCrawler";NA;169;0
"Building";"SpineCrawler";NA;169;0
"Building";"SpineCrawler";NA;169;0
"Unit";"Mutalisk";"Larva";173;2
"Unit";"Mutalisk";"Larva";173;2
"Building";"SporeCrawler";NA;173;0
"Unit";"Mutalisk";"Larva";177;2
"Unit";"Mutalisk";"Larva";177;2
"Unit";"Mutalisk";"Larva";177;2
"Unit";"Mutalisk";"Larva";177;2
"Building";"SpineCrawler";NA;177;0
"Building";"SpineCrawler";NA;177;0
"Unit";"Mutalisk";"Larva";185;2
"Unit";"Mutalisk";"Larva";185;2
