"type";"unit_name";"on_building";"total_supply_lag"
"Unit";"Overlord";"Larva";13
"Building";"Hatchery";NA;17
"Building";"Extractor";NA;19
"Building";"SpawningPool";NA;19
"Unit";"Overlord";"Larva";22
"Unit";"Queen";"Hatchery";23
"Unit";"Zergling";"Larva";25
"Unit";"Zergling";"Larva";26
"Unit";"Queen";"Hatchery";27
"Unit";"Zergling";"Larva";29
"Unit";"Zergling";"Larva";30
"Unit";"Queen";"Hatchery";37
"Unit";"Overlord";"Larva";39
"Unit";"Zergling";"Larva";41
"Unit";"Zergling";"Larva";42
"Building";"CreepTumorQueen";NA;48
"Unit";"Overlord";"Larva";48
"Building";"Extractor";NA;50
"Unit";"Overlord";"Larva";51
"Building";"CreepTumor";NA;53
"Unit";"Queen";"Hatchery";53
"Building";"RoachWarren";NA;60
"Building";"SporeCrawler";NA;60
"Building";"Extractor";NA;63
"Building";"Extractor";NA;63
"Unit";"Overlord";"Larva";63
"Unit";"Queen";"Hatchery";65
"Unit";"Queen";"Hatchery";69
"Building";"SporeCrawler";NA;71
"Unit";"Overlord";"Larva";72
"Building";"NydusNetwork";NA;72
"Unit";"Overlord";"Larva";72
"Building";"CreepTumorQueen";NA;72
"Unit";"Roach";"Larva";72
"Unit";"Roach";"Larva";74
"Unit";"Roach";"Larva";76
"Unit";"Roach";"Larva";78
"Unit";"Roach";"Larva";80
"Unit";"Roach";"Larva";82
"Unit";"Roach";"Larva";84
"Unit";"Roach";"Larva";86
"Upgrade";"GlialReconstitution";"RoachWarren";88
"Unit";"Roach";"Larva";88
"Unit";"Overlord";"Larva";90
"Unit";"Roach";"Larva";90
"Building";"NydusCanal";NA;92
"Unit";"Roach";"Larva";92
"Unit";"Overlord";"Larva";94
"Unit";"Roach";"Larva";94
"Unit";"Roach";"Larva";96
"Unit";"Overlord";"Larva";98
"Unit";"Overlord";"Larva";98
"Building";"CreepTumorQueen";NA;98
"Unit";"Overlord";"Larva";98
"Unit";"Overlord";"Larva";98
"Unit";"Overlord";"Larva";98
"Building";"SporeCrawler";NA;102
"Building";"SporeCrawler";NA;102
"Building";"SporeCrawler";NA;102
"Unit";"Roach";"Larva";102
"Unit";"Roach";"Larva";104
"Unit";"Roach";"Larva";106
"Building";"CreepTumor";NA;108
"Building";"HydraliskDen";NA;108
"Unit";"Roach";"Larva";108
"Unit";"Roach";"Larva";110
"Unit";"Roach";"Larva";112
"Building";"CreepTumorQueen";NA;114
"Unit";"Roach";"Larva";114
"Unit";"Roach";"Larva";116
"Unit";"Roach";"Larva";120
"Unit";"Roach";"Larva";122
"Unit";"Roach";"Larva";124
"Unit";"Roach";"Larva";126
"Unit";"Queen";"Hatchery";128
"Unit";"Zergling";"Larva";130
"Unit";"Zergling";"Larva";131
"Unit";"Zergling";"Larva";132
"Unit";"Zergling";"Larva";133
"Building";"SporeCrawler";NA;134
"Building";"SporeCrawler";NA;134
"Building";"CreepTumor";NA;134
"Unit";"Zergling";"Larva";134
"Unit";"Zergling";"Larva";135
"Unit";"Queen";"Hatchery";136
"Unit";"Overlord";"Larva";138
"Unit";"Zergling";"Larva";139
"Unit";"Zergling";"Larva";140
"Unit";"Hydralisk";"Larva";141
"Unit";"Hydralisk";"Larva";143
"Unit";"Hydralisk";"Larva";145
"Unit";"Overlord";"Larva";147
"Unit";"Hydralisk";"Larva";147
"Building";"CreepTumor";NA;149
"Building";"CreepTumor";NA;149
"Unit";"Overlord";"Larva";149
"Building";"Hatchery";NA;149
"Unit";"Hydralisk";"Larva";149
"Unit";"Hydralisk";"Larva";151
"Unit";"Overlord";"Larva";153
"Unit";"Zergling";"Larva";153
"Unit";"Zergling";"Larva";154
"Unit";"Zergling";"Larva";155
"Unit";"Zergling";"Larva";156
"Unit";"Zergling";"Larva";157
"Unit";"Zergling";"Larva";158
"Unit";"Hydralisk";"Larva";159
"Unit";"Zergling";"Larva";161
"Unit";"Zergling";"Larva";162
"Unit";"Zergling";"Larva";163
"Unit";"Zergling";"Larva";164
"Unit";"Zergling";"Larva";165
"Unit";"Zergling";"Larva";166
"Unit";"Hydralisk";"Larva";167
"Unit";"Hydralisk";"Larva";169
"Unit";"Hydralisk";"Larva";171
"Unit";"Hydralisk";"Larva";173
"Unit";"Hydralisk";"Larva";175
"Building";"CreepTumorQueen";NA;177
"Building";"EvolutionChamber";NA;177
"Unit";"Hydralisk";"Larva";177
"Unit";"Overlord";"Larva";179
"Unit";"Overlord";"Larva";179
"Unit";"Overlord";"Larva";179
"Unit";"Zergling";"Larva";179
"Unit";"Zergling";"Larva";180
"Building";"CreepTumor";NA;181
"Building";"CreepTumorQueen";NA;181
"Unit";"Zergling";"Larva";181
"Unit";"Zergling";"Larva";182
"Unit";"Zergling";"Larva";183
"Unit";"Zergling";"Larva";184
"Unit";"Zergling";"Larva";185
"Unit";"Zergling";"Larva";186
"Unit";"Zergling";"Larva";187
"Unit";"Zergling";"Larva";188
"Unit";"Zergling";"Larva";189
"Unit";"Zergling";"Larva";190
"Unit";"Zergling";"Larva";191
"Unit";"Zergling";"Larva";192
"Unit";"Zergling";"Larva";193
"Unit";"Zergling";"Larva";194
"Unit";"Zergling";"Larva";195
"Unit";"Zergling";"Larva";196
"Unit";"Zergling";"Larva";197
"Unit";"Zergling";"Larva";198
"Unit";"Zergling";"Larva";199
"Unit";"Zergling";"Larva";200
"Unit";"Zergling";"Larva";201
"Unit";"Zergling";"Larva";202
"Building";"CreepTumor";NA;203
"Unit";"Zergling";"Larva";203
"Unit";"Zergling";"Larva";204
"Unit";"Zergling";"Larva";205
"Unit";"Zergling";"Larva";206
"Unit";"Overlord";"Larva";207
"Building";"CreepTumor";NA;207
"Building";"CreepTumor";NA;207
"Building";"CreepTumorQueen";NA;207
"Unit";"Overlord";"Larva";207
"Building";"CreepTumorQueen";NA;207
"Unit";"Overlord";"Larva";207
"Unit";"Overlord";"Larva";207
"Unit";"Overlord";"Larva";207
"Unit";"Zergling";"Larva";207
"Unit";"Zergling";"Larva";208
"Unit";"Queen";"Hatchery";209
"Unit";"Zergling";"Larva";211
"Unit";"Zergling";"Larva";212
"Unit";"Zergling";"Larva";213
"Unit";"Zergling";"Larva";214
"Unit";"Zergling";"Larva";215
"Unit";"Zergling";"Larva";216
"Unit";"Zergling";"Larva";217
"Unit";"Zergling";"Larva";218
"Unit";"Zergling";"Larva";219
"Unit";"Zergling";"Larva";220
"Unit";"Zergling";"Larva";221
"Unit";"Zergling";"Larva";222
"Unit";"Zergling";"Larva";223
"Unit";"Zergling";"Larva";224
"Unit";"Roach";"Larva";225
"Unit";"Roach";"Larva";227
"Unit";"Roach";"Larva";229
"Unit";"Roach";"Larva";231
"Unit";"Roach";"Larva";233
"Unit";"Roach";"Larva";235
"Building";"CreepTumor";NA;237
"Unit";"Zergling";"Larva";237
"Unit";"Zergling";"Larva";238
"Building";"CreepTumor";NA;239
"Unit";"Zergling";"Larva";239
"Unit";"Zergling";"Larva";240
"Unit";"Zergling";"Larva";241
"Unit";"Zergling";"Larva";242
"Unit";"Zergling";"Larva";243
"Unit";"Zergling";"Larva";244
"Unit";"Zergling";"Larva";245
"Unit";"Zergling";"Larva";246
"Unit";"Zergling";"Larva";247
"Unit";"Zergling";"Larva";248
"Building";"SporeCrawler";NA;249
"Unit";"Roach";"Larva";249
"Unit";"Roach";"Larva";251
"Upgrade";"SprayZerg";NA;253
"Upgrade";"SprayZerg";NA;253
"Upgrade";"zerglingmovementspeed";NA;253
"Upgrade";"SprayZerg";NA;253
"Upgrade";"SprayZerg";NA;253
"Upgrade";"ZergMissileWeaponsLevel1";NA;253
