"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;15;0
"Building";"SpawningPool";NA;16;0
"Unit";"Zergling";"Larva";19;1
"Unit";"Zergling";"Larva";19;1
"Unit";"Zergling";"Larva";19;1
"Unit";"Zergling";"Larva";19;1
"Unit";"Zergling";"Larva";19;1
"Unit";"Zergling";"Larva";19;1
"Building";"Hatchery";NA;19;0
"Unit";"Queen";"Hatchery";26;2
"Unit";"Overlord";"Larva";34;0
"Unit";"Overlord";"Larva";34;0
"Unit";"Queen";"Hatchery";34;2
"Building";"Hatchery";NA;29;0
"Unit";"Overlord";"Larva";44;0
"Unit";"Queen";"Hatchery";42;2
"Building";"RoachWarren";NA;44;0
"Building";"CreepTumorQueen";NA;57;0
"Building";"Extractor";NA;46;0
"Unit";"Overlord";"Larva";57;0
"Unit";"Overlord";"Larva";57;0
"Building";"Extractor";NA;57;0
"Unit";"Queen";"Hatchery";46;2
"Unit";"Roach";"Larva";57;2
"Unit";"Roach";"Larva";57;2
"Unit";"Roach";"Larva";57;2
"Unit";"Roach";"Larva";57;2
"Building";"CreepTumor";NA;70;0
"Unit";"Roach";"Larva";62;2
"Unit";"Roach";"Larva";62;2
"Unit";"Roach";"Larva";62;2
"Unit";"Roach";"Larva";62;2
"Unit";"Overlord";"Larva";70;0
"Building";"CreepTumor";NA;84;0
"Building";"CreepTumorQueen";NA;84;0
"Unit";"Zergling";"Larva";81;1
"Unit";"Zergling";"Larva";81;1
"Unit";"Zergling";"Larva";82;1
"Unit";"Zergling";"Larva";82;1
"Unit";"Zergling";"Larva";83;1
"Unit";"Zergling";"Larva";83;1
"Building";"EvolutionChamber";NA;84;0
"Unit";"Overlord";"Larva";90;0
"Building";"Extractor";NA;90;0
"Upgrade";"GlialReconstitution";"RoachWarren";84;0
"Building";"Extractor";NA;103;0
"Building";"CreepTumorQueen";NA;106;0
"Building";"CreepTumorQueen";NA;106;0
"Unit";"Overlord";"Larva";106;0
"Unit";"Overlord";"Larva";106;0
"Building";"Extractor";NA;106;0
"Unit";"Overlord";"Larva";106;0
"Building";"HydraliskDen";NA;106;0
"Building";"Spire";NA;103;0
"Unit";"Roach";"Larva";120;2
"Unit";"Roach";"Larva";120;2
"Unit";"Roach";"Larva";120;2
"Unit";"Roach";"Larva";120;2
"Unit";"Roach";"Larva";120;2
"Unit";"Roach";"Larva";120;2
"Unit";"Roach";"Larva";120;2
"Unit";"Roach";"Larva";120;2
"Unit";"Roach";"Larva";120;2
"Unit";"Overlord";"Larva";120;0
"Unit";"Overlord";"Larva";120;0
"Unit";"Overlord";"Larva";120;0
"Unit";"Queen";"Hatchery";120;2
"Building";"CreepTumorQueen";NA;120;0
"Building";"CreepTumorQueen";NA;126;0
"Building";"CreepTumorQueen";NA;138;0
"Upgrade";"ZergMissileWeaponsLevel1";"EvolutionChamber";106;0
"Unit";"Mutalisk";"Larva";120;2
"Unit";"Mutalisk";"Larva";120;2
"Unit";"Mutalisk";"Larva";120;2
"Unit";"Mutalisk";"Larva";120;2
"Unit";"Mutalisk";"Larva";120;2
"Unit";"Mutalisk";"Larva";140;2
"Unit";"Mutalisk";"Larva";140;2
"Building";"EvolutionChamber";NA;150;0
"Upgrade";"EvolveGroovedSpines";"HydraliskDen";140;0
"Unit";"Mutalisk";"Larva";154;2
"Unit";"Mutalisk";"Larva";154;2
"Unit";"Mutalisk";"Larva";154;2
"Unit";"Hydralisk";"Larva";154;2
"Unit";"Hydralisk";"Larva";154;2
"Unit";"Hydralisk";"Larva";154;2
"Unit";"Mutalisk";"Larva";160;2
"Unit";"Mutalisk";"Larva";160;2
"Unit";"Mutalisk";"Larva";160;2
"Building";"Hatchery";NA;140;0
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Zergling";"Larva";172;1
"Unit";"Mutalisk";"Larva";166;2
"Upgrade";"EvolveMuscularAugments";"HydraliskDen";166;0
"Unit";"Zergling";"Larva";196;1
"Unit";"Zergling";"Larva";196;1
"Unit";"Zergling";"Larva";196;1
"Unit";"Zergling";"Larva";196;1
"Unit";"Overlord";"Larva";196;0
"Unit";"Overlord";"Larva";196;0
"Unit";"Overlord";"Larva";196;0
"Unit";"Overlord";"Larva";196;0
"Unit";"Overlord";"Larva";196;0
"Unit";"Overlord";"Larva";196;0
"Upgrade";"ZergMissileWeaponsLevel2";"EvolutionChamber";160;0
"Building";"LurkerDenMP";NA;166;0
"Unit";"Roach";"Larva";203;2
"Unit";"Roach";"Larva";203;2
"Unit";"Roach";"Larva";203;2
"Unit";"Roach";"Larva";203;2
"Unit";"Roach";"Larva";203;2
"Unit";"Roach";"Larva";203;2
"Unit";"Roach";"Larva";203;2
"Unit";"Roach";"Larva";203;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Unit";"Mutalisk";"Larva";219;2
"Building";"Hatchery";NA;237;0
"Building";"SpawningPool";NA;244;0
"Unit";"Zergling";"Larva";247;1
"Unit";"Zergling";"Larva";247;1
"Unit";"Zergling";"Larva";247;1
"Unit";"Zergling";"Larva";247;1
"Unit";"Zergling";"Larva";247;1
"Unit";"Zergling";"Larva";247;1
"Building";"Hatchery";NA;244;0
"Unit";"Zergling";"Larva";253;1
"Unit";"Zergling";"Larva";253;1
"Unit";"Zergling";"Larva";253;1
"Unit";"Zergling";"Larva";253;1
"Unit";"Zergling";"Larva";253;1
"Unit";"Zergling";"Larva";253;1
"Unit";"Zergling";"Larva";255;1
"Unit";"Zergling";"Larva";255;1
"Unit";"Zergling";"Larva";257;1
"Unit";"Zergling";"Larva";257;1
"Building";"Hatchery";NA;247;0
"Unit";"Zergling";"Larva";265;1
"Unit";"Zergling";"Larva";265;1
"Unit";"Zergling";"Larva";265;1
"Unit";"Zergling";"Larva";265;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";271;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
"Unit";"Zergling";"Larva";279;1
