"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";12;0
"Building";"Extractor";NA;17;0
"Building";"SpawningPool";NA;19;0
"Building";"Hatchery";NA;17;0
"Unit";"Overlord";"Larva";23;0
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Queen";"Hatchery";23;2
"Unit";"Queen";"Hatchery";23;2
"Building";"CreepTumorQueen";NA;33;0
"Unit";"Zergling";"Larva";31;1
"Unit";"Zergling";"Larva";31;1
"Unit";"Overlord";"Larva";33;0
"Unit";"Queen";"Hatchery";33;2
"Unit";"Overlord";"Larva";36;0
"Building";"CreepTumor";NA;40;0
"Building";"CreepTumorQueen";NA;43;0
"Building";"Hatchery";NA;31;0
"Building";"SporeCrawler";NA;48;0
"Building";"SporeCrawler";NA;48;0
"Building";"CreepTumor";NA;52;0
"Building";"Extractor";NA;50;0
"Building";"Extractor";NA;51;0
"Unit";"Overlord";"Larva";55;0
"Unit";"Queen";"Hatchery";51;2
"Building";"CreepTumor";NA;63;0
"Building";"SporeCrawler";NA;61;0
"Building";"CreepTumorQueen";NA;69;0
"Unit";"Overlord";"Larva";68;0
"Unit";"Overlord";"Larva";71;0
"Building";"Extractor";NA;69;0
"Building";"CreepTumorQueen";NA;74;0
"Unit";"Overlord";"Larva";71;0
"Building";"RoachWarren";NA;64;0
"Unit";"Overlord";"Larva";74;0
"Unit";"Overlord";"Larva";74;0
"Building";"CreepTumorQueen";NA;79;0
"Building";"CreepTumor";NA;79;0
"Unit";"Roach";"Larva";79;2
"Unit";"Roach";"Larva";79;2
"Unit";"Overlord";"Larva";79;0
"Unit";"Roach";"Larva";79;2
"Unit";"Roach";"Larva";79;2
"Unit";"Roach";"Larva";79;2
"Unit";"Roach";"Larva";79;2
"Unit";"Overlord";"Larva";79;0
"Unit";"Overlord";"Larva";79;0
"Unit";"Roach";"Larva";79;2
"Unit";"Roach";"Larva";79;2
"Building";"EvolutionChamber";NA;79;0
