"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;19;0
"Building";"SpawningPool";NA;19;0
"Unit";"Overlord";"Larva";22;0
"Building";"Hatchery";NA;18;0
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";23;1
"Unit";"Queen";"Hatchery";23;2
"Building";"Hatchery";NA;19;0
"Unit";"Queen";"Hatchery";23;2
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Zergling";"Larva";36;1
"Unit";"Queen";"Hatchery";35;2
"Unit";"Overlord";"Larva";36;0
"Unit";"Overlord";"Larva";36;0
"Building";"Extractor";NA;61;0
"Unit";"Overlord";"Larva";67;0
"Building";"EvolutionChamber";NA;64;0
"Building";"SporeCrawler";NA;70;0
"Building";"SporeCrawler";NA;70;0
"Building";"SporeCrawler";NA;71;0
"Unit";"Overlord";"Larva";71;0
"Building";"Extractor";NA;82;0
"Unit";"Overlord";"Larva";82;0
"Unit";"Overlord";"Larva";82;0
"Building";"HydraliskDen";NA;81;0
"Building";"Extractor";NA;82;0
"Unit";"Overlord";"Larva";82;0
"Unit";"Overlord";"Larva";82;0
"Building";"Extractor";NA;82;0
"Building";"Extractor";NA;82;0
"Unit";"Overlord";"Larva";86;0
"Unit";"Overlord";"Larva";99;0
"Unit";"Overlord";"Larva";99;0
"Unit";"Overlord";"Larva";99;0
"Unit";"Overlord";"Larva";99;0
"Upgrade";"EvolveMuscularAugments";"HydraliskDen";96;0
"Upgrade";"ZergMissileWeaponsLevel1";"EvolutionChamber";86;0
"Unit";"Hydralisk";"Larva";103;2
"Unit";"Hydralisk";"Larva";103;2
"Unit";"Hydralisk";"Larva";103;2
