"type";"unit_name";"on_building";"total_supply";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Extractor";NA;17;0
"Building";"SpawningPool";NA;17;0
"Building";"Extractor";NA;21;0
"Unit";"Queen";"Hatchery";21;2
"Building";"RoachWarren";NA;23;0
"Unit";"Overlord";"Larva";26;0
"Building";"Hatchery";NA;21;0
"Unit";"Roach";"Larva";26;2
"Unit";"Roach";"Larva";26;2
"Unit";"Overlord";"Larva";26;0
"Unit";"Overlord";"Larva";28;0
"Unit";"Roach";"Larva";28;2
"Unit";"Queen";"Hatchery";26;2
"Unit";"Roach";"Larva";30;2
"Building";"CreepTumorQueen";NA;36;0
"Unit";"Roach";"Larva";32;2
"Unit";"Roach";"Larva";36;2
"Unit";"Roach";"Larva";36;2
"Unit";"Roach";"Larva";36;2
"Unit";"Roach";"Larva";36;2
"Unit";"Roach";"Larva";36;2
"Unit";"Roach";"Larva";36;2
"Unit";"Roach";"Larva";36;2
"Unit";"Overlord";"Larva";52;0
"Unit";"Overlord";"Larva";52;0
"Unit";"Overlord";"Larva";52;0
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Unit";"Roach";"Larva";52;2
"Unit";"Queen";"Hatchery";52;2
