"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Hatchery";NA;16;0
"Building";"Extractor";NA;19;0
"Building";"SpawningPool";NA;19;0
"Unit";"Overlord";"Larva";23;0
"Unit";"Zergling";"Larva";23;1
"Unit";"Zergling";"Larva";24;1
"Unit";"Zergling";"Larva";25;1
"Unit";"Zergling";"Larva";26;1
"Unit";"Queen";"Hatchery";27;2
"Unit";"Queen";"Hatchery";29;2
"Building";"Hatchery";NA;37;0
"Unit";"Overlord";"Larva";37;0
"Building";"CreepTumorQueen";NA;42;0
"Unit";"Queen";"Hatchery";48;2
"Unit";"Overlord";"Larva";50;0
"Building";"SporeCrawler";NA;50;0
"Building";"CreepTumor";NA;51;0
"Building";"SporeCrawler";NA;51;0
"Unit";"Queen";"Hatchery";58;2
"Unit";"Overlord";"Larva";60;0
"Unit";"Queen";"Hatchery";60;2
"Building";"EvolutionChamber";NA;64;0
"Building";"CreepTumor";NA;66;0
"Building";"SporeCrawler";NA;66;0
"Unit";"Overlord";"Larva";68;0
"Unit";"Overlord";"Larva";68;0
"Unit";"Queen";"Hatchery";68;2
"Building";"Extractor";NA;70;0
"Building";"Extractor";NA;70;0
"Unit";"Overlord";"Larva";72;0
"Building";"CreepTumor";NA;72;0
"Unit";"Queen";"Hatchery";72;2
"Unit";"Overlord";"Larva";74;0
"Building";"CreepTumorQueen";NA;82;0
"Building";"CreepTumorQueen";NA;82;0
"Building";"BanelingNest";NA;82;0
"Building";"CreepTumor";NA;87;0
"Unit";"Zergling";"Larva";87;1
"Unit";"Zergling";"Larva";88;1
"Unit";"Zergling";"Larva";89;1
"Unit";"Zergling";"Larva";90;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";92;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";94;1
"Unit";"Zergling";"Larva";95;1
"Unit";"Zergling";"Larva";96;1
"Unit";"Zergling";"Larva";97;1
"Unit";"Zergling";"Larva";98;1
"Unit";"Zergling";"Larva";99;1
"Unit";"Zergling";"Larva";100;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Zergling";"Larva";102;1
"Building";"CreepTumor";NA;103;0
"Building";"Extractor";NA;103;0
"Building";"Extractor";NA;105;0
"Building";"CreepTumor";NA;106;0
"Building";"CreepTumor";NA;109;0
"Unit";"Baneling";"Zergling";113;0
"Unit";"Baneling";"Zergling";113;0
"Unit";"Baneling";"Zergling";113;0
"Unit";"Baneling";"Zergling";113;0
"Unit";"Zergling";"Larva";113;1
"Unit";"Zergling";"Larva";114;1
"Building";"SpineCrawler";NA;115;0
"Unit";"Overlord";"Larva";115;0
"Unit";"Overlord";"Larva";115;0
"Building";"CreepTumor";NA;115;0
"Unit";"Overlord";"Larva";115;0
"Building";"SpineCrawler";NA;115;0
"Unit";"Baneling";"Zergling";115;0
"Unit";"Baneling";"Zergling";115;0
"Unit";"Overlord";"Larva";115;0
"Building";"HydraliskDen";NA;123;0
"Building";"Hatchery";NA;123;0
"Building";"Extractor";NA;123;0
"Unit";"Zergling";"Larva";126;1
"Unit";"Zergling";"Larva";127;1
"Unit";"Zergling";"Larva";128;1
"Unit";"Zergling";"Larva";129;1
"Unit";"Zergling";"Larva";130;1
"Unit";"Zergling";"Larva";131;1
"Unit";"Zergling";"Larva";132;1
"Unit";"Zergling";"Larva";133;1
"Building";"CreepTumor";NA;134;0
"Building";"CreepTumor";NA;134;0
"Unit";"Overlord";"Larva";134;0
"Unit";"Zergling";"Larva";134;1
"Unit";"Zergling";"Larva";135;1
"Unit";"Zergling";"Larva";136;1
"Unit";"Zergling";"Larva";137;1
"Unit";"Zergling";"Larva";138;1
"Unit";"Zergling";"Larva";139;1
"Unit";"Zergling";"Larva";140;1
"Unit";"Zergling";"Larva";141;1
"Unit";"Overlord";"Larva";142;0
"Building";"CreepTumor";NA;142;0
"Building";"Spire";NA;142;0
"Building";"CreepTumorQueen";NA;142;0
"Building";"CreepTumorQueen";NA;142;0
"Building";"CreepTumorQueen";NA;142;0
"Building";"CreepTumorQueen";NA;142;0
"Building";"CreepTumorQueen";NA;142;0
"Building";"Hatchery";NA;142;0
"Building";"CreepTumor";NA;142;0
"Unit";"Hydralisk";"Larva";142;2
"Unit";"Hydralisk";"Larva";144;2
"Unit";"Hydralisk";"Larva";146;2
"Unit";"Hydralisk";"Larva";148;2
"Unit";"Hydralisk";"Larva";150;2
"Unit";"Hydralisk";"Larva";152;2
"Building";"CreepTumorQueen";NA;154;0
"Building";"CreepTumorQueen";NA;154;0
"Unit";"Hydralisk";"Larva";154;2
"Unit";"Hydralisk";"Larva";156;2
"Unit";"Hydralisk";"Larva";158;2
"Unit";"Hydralisk";"Larva";160;2
"Unit";"Overlord";"Larva";162;0
"Unit";"Hydralisk";"Larva";162;2
"Unit";"Hydralisk";"Larva";164;2
"Unit";"Hydralisk";"Larva";166;2
"Unit";"Hydralisk";"Larva";168;2
"Unit";"Overlord";"Larva";170;0
"Building";"CreepTumorQueen";NA;170;0
"Building";"CreepTumorQueen";NA;170;0
"Unit";"Overlord";"Larva";177;0
"Building";"CreepTumor";NA;177;0
"Building";"CreepTumor";NA;177;0
"Building";"Extractor";NA;177;0
"Building";"Extractor";NA;177;0
"Unit";"Zergling";"Larva";177;1
"Unit";"Zergling";"Larva";178;1
"Unit";"Zergling";"Larva";179;1
"Unit";"Zergling";"Larva";180;1
"Unit";"Zergling";"Larva";181;1
"Unit";"Zergling";"Larva";182;1
"Unit";"Zergling";"Larva";183;1
"Unit";"Zergling";"Larva";184;1
"Unit";"Zergling";"Larva";185;1
"Unit";"Zergling";"Larva";186;1
"Unit";"Zergling";"Larva";187;1
"Unit";"Zergling";"Larva";188;1
"Unit";"Zergling";"Larva";189;1
"Unit";"Zergling";"Larva";190;1
"Unit";"Zergling";"Larva";191;1
