"type";"unit_name";"on_building";"total_supply_lag";"supply"
"Unit";"Overlord";"Larva";13;0
"Building";"Hatchery";NA;17;0
"Building";"Extractor";NA;19;0
"Building";"SpawningPool";NA;19;0
"Unit";"Overlord";"Larva";22;0
"Unit";"Queen";"Hatchery";23;2
"Unit";"Zergling";"Larva";25;1
"Unit";"Zergling";"Larva";26;1
"Unit";"Queen";"Hatchery";27;2
"Unit";"Zergling";"Larva";29;1
"Unit";"Zergling";"Larva";30;1
"Unit";"Zergling";"Larva";33;1
"Unit";"Zergling";"Larva";34;1
"Unit";"Queen";"Hatchery";38;2
"Building";"Hatchery";NA;40;0
"Unit";"Overlord";"Larva";40;0
"Unit";"Overlord";"Larva";43;0
"Unit";"Queen";"Hatchery";51;2
"Building";"CreepTumorQueen";NA;53;0
"Unit";"Overlord";"Larva";56;0
"Building";"SporeCrawler";NA;57;0
"Building";"RoachWarren";NA;57;0
"Building";"CreepTumor";NA;61;0
"Unit";"Overlord";"Larva";61;0
"Building";"SporeCrawler";NA;63;0
"Building";"CreepTumorQueen";NA;63;0
"Unit";"Overlord";"Larva";66;0
"Unit";"Zergling";"Larva";66;1
"Unit";"Zergling";"Larva";67;1
"Unit";"Zergling";"Larva";68;1
"Unit";"Zergling";"Larva";69;1
"Unit";"Zergling";"Larva";70;1
"Unit";"Zergling";"Larva";71;1
"Unit";"Zergling";"Larva";72;1
"Unit";"Zergling";"Larva";73;1
"Unit";"Zergling";"Larva";74;1
"Unit";"Zergling";"Larva";75;1
"Unit";"Zergling";"Larva";76;1
"Unit";"Zergling";"Larva";77;1
"Building";"EvolutionChamber";NA;78;0
"Unit";"Roach";"Larva";78;2
"Unit";"Roach";"Larva";80;2
"Unit";"Roach";"Larva";82;2
"Unit";"Overlord";"Larva";84;0
"Unit";"Roach";"Larva";84;2
"Building";"Extractor";NA;87;0
"Unit";"Zergling";"Larva";87;1
"Unit";"Zergling";"Larva";88;1
"Unit";"Zergling";"Larva";89;1
"Unit";"Zergling";"Larva";90;1
"Unit";"Zergling";"Larva";91;1
"Unit";"Zergling";"Larva";92;1
"Unit";"Zergling";"Larva";93;1
"Unit";"Zergling";"Larva";94;1
"Unit";"Roach";"Larva";98;2
"Unit";"Zergling";"Larva";100;1
"Unit";"Zergling";"Larva";101;1
"Unit";"Roach";"Larva";102;2
"Unit";"Queen";"Hatchery";104;2
"Building";"Extractor";NA;117;0
"Unit";"Roach";"Larva";117;2
"Unit";"Roach";"Larva";119;2
"Unit";"Roach";"Larva";121;2
"Unit";"Overlord";"Larva";123;0
"Unit";"Overlord";"Larva";123;0
"Building";"CreepTumor";NA;123;0
"Building";"Extractor";NA;123;0
"Building";"CreepTumor";NA;123;0
"Building";"CreepTumorQueen";NA;123;0
"Unit";"Roach";"Larva";123;2
"Unit";"Roach";"Larva";125;2
"Unit";"Roach";"Larva";127;2
"Unit";"Roach";"Larva";129;2
"Unit";"Roach";"Larva";131;2
"Unit";"Roach";"Larva";133;2
"Unit";"Overlord";"Larva";135;0
"Unit";"Overlord";"Larva";135;0
"Unit";"Overlord";"Larva";135;0
"Unit";"Overlord";"Larva";135;0
"Unit";"Overlord";"Larva";135;0
"Unit";"Queen";"Hatchery";135;2
"Building";"Extractor";NA;141;0
"Building";"Extractor";NA;145;0
"Building";"HydraliskDen";NA;151;0
"Upgrade";"GlialReconstitution";"RoachWarren";154;0
"Building";"SporeCrawler";NA;154;0
"Building";"EvolutionChamber";NA;155;0
"Building";"BanelingNest";NA;155;0
"Building";"CreepTumor";NA;155;0
"Building";"CreepTumor";NA;155;0
"Unit";"Overlord";"Larva";155;0
"Unit";"Overlord";"Larva";155;0
"Unit";"Overlord";"Larva";155;0
"Unit";"Overlord";"Larva";155;0
"Building";"Hatchery";NA;157;0
"Unit";"Roach";"Larva";157;2
"Unit";"Roach";"Larva";159;2
"Unit";"Roach";"Larva";161;2
"Unit";"Roach";"Larva";163;2
"Unit";"Roach";"Larva";165;2
"Unit";"Roach";"Larva";167;2
"Unit";"Overlord";"Larva";169;0
"Unit";"Roach";"Larva";169;2
"Unit";"Roach";"Larva";171;2
"Unit";"Roach";"Larva";173;2
"Unit";"Roach";"Larva";175;2
"Unit";"Roach";"Larva";177;2
"Unit";"Overlord";"Larva";179;0
"Unit";"Overlord";"Larva";179;0
"Building";"CreepTumor";NA;179;0
"Unit";"Roach";"Larva";179;2
"Unit";"Roach";"Larva";181;2
"Unit";"Roach";"Larva";183;2
"Unit";"Roach";"Larva";185;2
"Unit";"Roach";"Larva";187;2
"Unit";"Roach";"Larva";189;2
"Unit";"Roach";"Larva";191;2
"Unit";"Roach";"Larva";193;2
"Unit";"Roach";"Larva";195;2
"Unit";"Roach";"Larva";197;2
"Unit";"Roach";"Larva";199;2
"Unit";"Roach";"Larva";201;2
"Unit";"Roach";"Larva";203;2
"Unit";"Roach";"Larva";205;2
"Unit";"Roach";"Larva";207;2
"Unit";"Roach";"Larva";209;2
"Building";"CreepTumor";NA;211;0
"Unit";"Queen";"Hatchery";211;2
"Unit";"Overlord";"Larva";213;0
"Unit";"Overlord";"Larva";213;0
"Building";"CreepTumorQueen";NA;221;0
"Building";"Extractor";NA;221;0
"Building";"Extractor";NA;221;0
"Unit";"Hydralisk";"Larva";221;2
"Unit";"Hydralisk";"Larva";223;2
"Unit";"Hydralisk";"Larva";225;2
"Unit";"Hydralisk";"Larva";227;2
"Unit";"Hydralisk";"Larva";229;2
"Building";"SporeCrawler";NA;231;0
"Building";"SpineCrawler";NA;231;0
"Building";"Hatchery";NA;232;0
"Building";"CreepTumor";NA;232;0
"Unit";"Hydralisk";"Larva";232;2
"Unit";"Hydralisk";"Larva";234;2
"Unit";"Hydralisk";"Larva";236;2
"Unit";"Hydralisk";"Larva";238;2
"Unit";"Hydralisk";"Larva";240;2
"Unit";"Hydralisk";"Larva";242;2
"Unit";"Hydralisk";"Larva";244;2
"Building";"Hatchery";NA;246;0
"Building";"SpineCrawler";NA;246;0
"Building";"CreepTumorQueen";NA;246;0
"Building";"CreepTumor";NA;246;0
"Building";"CreepTumorQueen";NA;246;0
"Unit";"Hydralisk";"Larva";246;2
"Unit";"Hydralisk";"Larva";248;2
"Unit";"Hydralisk";"Larva";250;2
"Unit";"Hydralisk";"Larva";252;2
"Unit";"Hydralisk";"Larva";254;2
"Building";"CreepTumor";NA;256;0
"Building";"CreepTumor";NA;256;0
"Upgrade";"TunnelingClaws";"RoachWarren";261;0
"Unit";"Hydralisk";"Larva";261;2
"Unit";"Hydralisk";"Larva";263;2
"Unit";"Hydralisk";"Larva";265;2
"Unit";"Hydralisk";"Larva";267;2
"Unit";"Hydralisk";"Larva";269;2
"Unit";"Hydralisk";"Larva";271;2
"Unit";"Hydralisk";"Larva";273;2
"Unit";"Hydralisk";"Larva";275;2
"Unit";"Hydralisk";"Larva";277;2
"Unit";"Hydralisk";"Larva";279;2
"Unit";"Hydralisk";"Larva";281;2
"Unit";"Hydralisk";"Larva";283;2
"Unit";"Hydralisk";"Larva";285;2
"Unit";"Hydralisk";"Larva";287;2
"Unit";"Hydralisk";"Larva";289;2
"Unit";"Hydralisk";"Larva";291;2
"Unit";"Hydralisk";"Larva";293;2
"Upgrade";"Burrow";"Hatchery";295;0
"Unit";"Hydralisk";"Larva";295;2
"Unit";"Hydralisk";"Larva";297;2
"Unit";"Hydralisk";"Larva";299;2
"Unit";"Hydralisk";"Larva";301;2
"Unit";"Hydralisk";"Larva";303;2
"Unit";"Hydralisk";"Larva";305;2
"Unit";"Hydralisk";"Larva";307;2
"Unit";"Hydralisk";"Larva";309;2
"Unit";"Hydralisk";"Larva";311;2
"Unit";"Overlord";"Larva";313;0
"Unit";"Overlord";"Larva";313;0
"Unit";"Overlord";"Larva";313;0
"Unit";"Overlord";"Larva";313;0
"Building";"Spire";NA;313;0
"Building";"SpineCrawler";NA;313;0
"Building";"SpineCrawler";NA;313;0
"Building";"SpineCrawler";NA;313;0
"Building";"SporeCrawler";NA;313;0
"Building";"SpineCrawler";NA;313;0
"Building";"SpineCrawler";NA;313;0
"Building";"CreepTumor";NA;313;0
"Building";"CreepTumorQueen";NA;313;0
"Building";"CreepTumorQueen";NA;313;0
"Unit";"Hydralisk";"Larva";313;2
"Unit";"Hydralisk";"Larva";315;2
"Unit";"Hydralisk";"Larva";317;2
"Unit";"Hydralisk";"Larva";319;2
"Unit";"Hydralisk";"Larva";321;2
"Unit";"Hydralisk";"Larva";323;2
"Unit";"Hydralisk";"Larva";325;2
"Unit";"Hydralisk";"Larva";327;2
"Unit";"Hydralisk";"Larva";329;2
"Building";"CreepTumor";NA;331;0
"Building";"CreepTumor";NA;331;0
"Building";"CreepTumor";NA;331;0
"Building";"CreepTumorQueen";NA;331;0
"Building";"CreepTumorQueen";NA;331;0
"Building";"Hatchery";NA;331;0
"Building";"Extractor";NA;331;0
"Building";"Extractor";NA;331;0
"Building";"CreepTumorQueen";NA;331;0
"Building";"CreepTumor";NA;331;0
"Building";"CreepTumor";NA;331;0
"Unit";"Hydralisk";"Larva";331;2
"Unit";"Hydralisk";"Larva";333;2
"Unit";"Zergling";"Larva";335;1
"Unit";"Zergling";"Larva";336;1
"Unit";"Zergling";"Larva";337;1
"Unit";"Zergling";"Larva";338;1
"Unit";"Zergling";"Larva";339;1
"Unit";"Zergling";"Larva";340;1
"Unit";"Zergling";"Larva";341;1
"Unit";"Zergling";"Larva";342;1
"Unit";"Zergling";"Larva";343;1
"Unit";"Zergling";"Larva";344;1
"Unit";"Zergling";"Larva";345;1
"Unit";"Zergling";"Larva";346;1
"Unit";"Zergling";"Larva";347;1
"Unit";"Zergling";"Larva";348;1
"Unit";"Zergling";"Larva";349;1
"Unit";"Zergling";"Larva";350;1
"Unit";"Baneling";"Zergling";351;0
"Unit";"Baneling";"Zergling";351;0
"Unit";"Baneling";"Zergling";351;0
"Unit";"Hydralisk";"Larva";351;2
"Unit";"Hydralisk";"Larva";353;2
"Unit";"Hydralisk";"Larva";355;2
"Unit";"Hydralisk";"Larva";357;2
"Unit";"Hydralisk";"Larva";359;2
"Unit";"Hydralisk";"Larva";361;2
"Unit";"Hydralisk";"Larva";363;2
"Unit";"Hydralisk";"Larva";365;2
"Building";"SpineCrawler";NA;367;0
"Building";"SporeCrawler";NA;376;0
"Unit";"Zergling";"Larva";376;1
"Unit";"Zergling";"Larva";377;1
"Unit";"Zergling";"Larva";378;1
"Unit";"Zergling";"Larva";379;1
"Unit";"Zergling";"Larva";380;1
"Unit";"Zergling";"Larva";381;1
"Unit";"Zergling";"Larva";382;1
"Unit";"Zergling";"Larva";383;1
"Unit";"Zergling";"Larva";384;1
"Unit";"Zergling";"Larva";385;1
"Unit";"Zergling";"Larva";386;1
"Unit";"Zergling";"Larva";387;1
"Unit";"Zergling";"Larva";388;1
"Unit";"Zergling";"Larva";389;1
"Unit";"Zergling";"Larva";390;1
"Unit";"Zergling";"Larva";391;1
"Unit";"Zergling";"Larva";392;1
"Unit";"Zergling";"Larva";393;1
"Unit";"Zergling";"Larva";394;1
"Unit";"Zergling";"Larva";395;1
"Building";"SpineCrawler";NA;396;0
"Unit";"Baneling";"Zergling";396;0
"Unit";"Mutalisk";"Larva";396;2
"Unit";"Mutalisk";"Larva";398;2
"Unit";"Mutalisk";"Larva";400;2
"Unit";"Mutalisk";"Larva";402;2
"Unit";"Mutalisk";"Larva";404;2
"Unit";"Mutalisk";"Larva";406;2
"Unit";"Mutalisk";"Larva";408;2
"Unit";"Mutalisk";"Larva";410;2
"Unit";"Mutalisk";"Larva";412;2
"Unit";"Mutalisk";"Larva";414;2
"Unit";"Mutalisk";"Larva";416;2
"Unit";"Mutalisk";"Larva";418;2
"Unit";"Mutalisk";"Larva";420;2
"Unit";"Mutalisk";"Larva";422;2
"Unit";"Mutalisk";"Larva";424;2
"Unit";"Mutalisk";"Larva";426;2
"Unit";"Mutalisk";"Larva";428;2
"Unit";"Mutalisk";"Larva";430;2
"Unit";"Mutalisk";"Larva";432;2
"Unit";"Mutalisk";"Larva";434;2
"Unit";"Mutalisk";"Larva";436;2
"Unit";"Mutalisk";"Larva";438;2
"Unit";"Mutalisk";"Larva";440;2
"Unit";"Mutalisk";"Larva";442;2
"Unit";"Mutalisk";"Larva";444;2
"Unit";"Mutalisk";"Larva";446;2
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"zerglingmovementspeed";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"ZergMissileWeaponsLevel1";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"EvolveMuscularAugments";NA;448;0
"Upgrade";"ZergMeleeWeaponsLevel1";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"overlordspeed";NA;448;0
"Upgrade";"CentrificalHooks";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"ZergMissileWeaponsLevel2";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"ZergMeleeWeaponsLevel2";NA;448;0
"Upgrade";"ZergGroundArmorsLevel1";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"ZergFlyerWeaponsLevel1";NA;448;0
"Upgrade";"SprayZerg";NA;448;0
"Upgrade";"ZergGroundArmorsLevel2";NA;448;0
"Upgrade";"ZergFlyerWeaponsLevel2";NA;448;0
